报告日,流动资产,货币资金,结算备付金,拆出资金,交易性金融资产,买入返售金融资产,衍生金融资产,应收票据及应收账款,应收票据,应收账款,应收款项融资,预付款项,应收股利,应收利息,应收保费,应收分保账款,应收分保合同准备金,应收出口退税,应收补贴款,应收保证金,内部应收款,其他应收款,其他应收款(合计),存货,划分为持有待售的资产,待摊费用,待处理流动资产损益,一年内到期的非流动资产,其他流动资产,流动资产合计,非流动资产,发放贷款及垫款,债权投资,其他债权投资,以公允价值计量且其变动计入其他综合收益的金融资产,以摊余成本计量的金融资产,可供出售金融资产,长期股权投资,投资性房地产,长期应收款,其他权益工具投资,其他非流动金融资产,其他长期投资,固定资产原值,累计折旧,固定资产净值,固定资产减值准备,在建工程合计,在建工程,工程物资,固定资产净额,固定资产清理,固定资产及清理合计,生产性生物资产,公益性生物资产,油气资产,合同资产,使用权资产,无形资产,开发支出,商誉,长期待摊费用,股权分置流通权,递延所得税资产,其他非流动资产,非流动资产合计,资产总计,流动负债,短期借款,向中央银行借款,吸收存款及同业存放,拆入资金,交易性金融负债,衍生金融负债,应付票据及应付账款,应付票据,应付账款,预收款项,合同负债,卖出回购金融资产款,应付手续费及佣金,应付职工薪酬,应交税费,应付利息,应付股利,应付保证金,内部应付款,其他应付款,其他应付款合计,其他应交款,担保责任赔偿准备金,应付分保账款,保险合同准备金,代理买卖证券款,代理承销证券款,国际票证结算,国内票证结算,预提费用,预计流动负债,应付短期债券,划分为持有待售的负债,一年内的递延收益,一年内到期的非流动负债,其他流动负债,流动负债合计,非流动负债,长期借款,应付债券,应付债券：优先股,应付债券：永续债,租赁负债,长期应付职工薪酬,长期应付款,长期应付款合计,专项应付款,预计非流动负债,长期递延收益,递延所得税负债,其他非流动负债,非流动负债合计,负债合计,所有者权益,实收资本(或股本),其他权益工具,优先股,永续债,资本公积,减:库存股,其他综合收益,专项储备,盈余公积,一般风险准备,未确定的投资损失,未分配利润,拟分配现金股利,外币报表折算差额,归属于母公司股东权益合计,少数股东权益,所有者权益(或股东权益)合计,负债和所有者权益(或股东权益)总计,数据源,是否审计,公告日期,币种,类型,更新日期
20251231,,6129702.97,,,,,,100802119.14,,100802119.14,,24826955.99,,,,,,,,,,283516742.08,283516742.08,5631520.28,,,,,22872334.28,531885001.76,,,,,,,,336701224.03,107586300.0,,37036920.43,29201231.56,,,,,,7635922.01,7635922.01,,341651570.13,,341651570.13,,,,88105627.02,101314299.94,156351581.67,,15712348.91,63284288.65,,63916239.6,35116834.56,1295508761.49,1827393763.25,,1155063983.76,,,,,,371852749.49,,371852749.49,10875301.18,4647977.99,,,22931653.58,251791640.15,861043019.81,2024064.91,,,1353611657.57,2216678742.29,,,,,,,,,,,,,,699876081.09,,4733718129.53,,,,,,88364027.3,,,,,980977.79,101770542.22,26461171.24,,217576718.55,4951294848.08,,877697557.0,,,,373120895.51,,27777689.32,,98602786.68,,,-4460267449.67,,,-3083068521.16,-40832563.67,-3123901084.83,1827393763.25,定期报告,是,20260430,CNY,合并期末,2026-04-30T15:44:05
20250630,,19046930.64,,,,,,126300729.56,,126300729.56,,27880961.08,,,,,,,,,,294469003.76,294469003.76,4803253.77,,,,,22524824.82,603947821.72,,,,,,,,345484009.79,223223534.24,,38287059.51,32041026.5,,,,,,7635922.01,7635922.01,,366318320.19,,366318320.19,,,,108922118.09,110874505.98,240984605.71,,80768348.91,66483694.21,,59883589.38,501424155.33,2073408771.76,2677356593.48,,1155063983.76,,,,,,382209902.25,,382209902.25,8505400.95,4647977.99,,,22321803.4,252606338.3,868268552.35,3424064.91,,,1351039967.59,2222732584.85,,,,,,,,,,,,,,690896746.78,,4738984738.28,,,,,,98663195.26,,,,,980977.79,117884318.8,30935642.38,,248464134.23,4987448872.51,,877697557.0,,,,373120895.51,,70482165.93,,98602786.68,,,-3697909285.32,,,-2278005880.2,-32086398.83,-2310092279.03,2677356593.48,定期报告,未审计,20250827,CNY,合并期末,2025-08-27T15:38:17
20241231,,11650369.43,,,,,,215733351.31,,215733351.31,,26101217.86,,,,,,,,,,300027790.74,300027790.74,6837425.61,,,,,23188953.35,694642012.1,,,,,,,,345760250.57,223223534.24,,38287059.51,33481090.34,,,,,,7635922.01,7635922.01,,374953065.21,,374953065.21,,,,111102903.8,219587910.49,247052977.02,,80768348.91,122802330.68,,57525019.78,501974155.33,2253051664.09,2947693676.19,,1266673067.67,,,,,,359336610.2,,359336610.2,15308402.6,4647977.99,,,16274013.81,255541229.27,881826330.5,4024064.91,,,894261983.12,1780112378.53,,,,,,,,,,,,,,905036892.89,,4602930572.96,,,,,,208993004.02,,,,,1244311.88,125636260.05,30935642.38,,366809218.33,4969739791.29,,877697557.0,,,,373120895.51,,70482165.93,,98602786.68,,,-3422696223.8,,,-2002792818.68,-19253296.42,-2022046115.1,2947693676.19,定期报告,是,20260430,CNY,合并期末,2025-04-30T19:22:04
20240630,,20189221.52,,,,,,221348833.38,,221348833.38,,65508524.61,,,,,,,,,,394334038.02,394334038.02,8563382.52,,,,,23309202.2,864903034.7,,,,,,,,406908819.61,248107734.24,,23335825.3,34982350.45,,,,,,7305922.01,7305922.01,,342963637.13,,342963637.13,,,,131649832.45,193834931.17,252942402.99,,140827722.23,128176724.49,,55588047.25,501974155.33,2336948272.2,3201851306.9,,1266673067.67,,,,,,353120689.8,,353120689.8,16684543.93,4647977.99,,,21538510.2,250942762.81,759245103.95,4024064.91,,,850791925.84,1614061094.7,,,,,,,,,,,,,,654760213.61,,4182428860.71,,250750000.0,,,,186938801.05,,,,,1292338.57,142306706.0,32716333.83,,614004179.45,4796433040.16,,877697557.0,,,,373120896.51,,59268740.27,,98602786.68,,,-2992523696.51,,,-1583833716.05,-10748017.21,-1594581733.26,3201851306.9,定期报告,未审计,20240826,CNY,合并期末,2024-08-26T15:45:13
20231231,,36584648.44,,,,,,253601777.24,,253601777.24,,65758323.93,,,,,,,,,,368835488.13,368835488.13,13402281.07,,,,,23333530.64,895662355.64,,,,,,,,407525250.41,248107734.24,,23335825.3,35620405.6,,,,,,14754658.24,14754658.24,,550791848.82,,550791848.82,,,,134146306.19,208294454.67,274721657.06,,140827682.92,167680516.69,,56343816.9,501974155.33,2629978006.18,3525640361.82,,1270607855.18,,,,,,372443953.07,,372443953.07,18216334.83,9147977.99,,,21054038.2,254294501.34,643979662.7,2024064.91,,,954376505.99,1600380233.6,,,,,,,,,,,,,,656964213.61,,4203109107.82,,320200000.0,,,,197664155.66,,,,,1502460.36,154431650.51,32716333.83,,706514600.36,4909623708.18,,877697557.0,,,,373120895.51,,59268740.27,,98602786.68,,,-2796866986.98,,,-1388177007.52,4193661.16,-1383983346.36,3525640361.82,定期报告,是,20250430,CNY,合并期末,2024-08-26T15:45:13
20230930,,42065803.56,,,,,,279745638.67,,279745638.67,,66200069.86,,,,,,,,,,,376024959.81,15080796.01,,,,,16424567.4,932527432.83,,,,,,,,403995724.76,285982917.64,,23335825.3,26312218.58,,,,,,14754658.24,,,,,553349518.07,,,,136985597.52,308134581.54,278345369.65,,250303142.92,170616686.3,,52019375.03,612656201.16,2979806219.19,3912333652.02,,1270607855.18,,,,,,391945435.75,,391945435.75,8017902.43,9147977.99,,,21230324.24,241659859.97,587558729.21,2024064.91,,,,1509850660.45,,,,,,,,,,,,,,642829685.61,,4095289701.62,,321201084.83,,,,298162680.26,,,,,6992585.61,171770795.18,41849204.68,,839976350.56,4935266052.18,,877697557.0,,,,373120895.51,,59268740.27,,98602786.68,,,-2442852210.55,,,-1034162231.09,11229830.93,-1022932400.16,3912333652.02,定期报告,未审计,20231030,CNY,合并期末,2023-10-30T15:35:03
20230630,,37796364.62,,,,,,295171242.28,,295171242.28,,64472295.09,,,,,,,,,,396495879.61,396495879.61,11193702.85,,,,,16544374.29,959750407.4,,,,,,,,406659902.13,285982917.64,,23335825.3,26312218.58,,,,,,15540573.74,15540573.74,,566091314.69,,566091314.69,,,,138076548.66,317431344.96,283363293.12,,250303142.92,174604383.88,,50756158.9,612656201.16,3013037277.02,3972787684.42,,1270607855.18,,,,,,384620771.39,,384620771.39,27247829.32,11134908.99,,,23184482.32,243070586.51,543051071.89,2024064.91,,,902292626.15,1447367762.95,,,,,,,,,,,,,,645836066.05,,4053070262.71,,321201084.83,,,,294330074.66,,,,,7071723.22,167714968.75,41849204.68,,832167056.14,4885237318.85,,877697557.0,,,,373120895.51,,59268740.27,,98602786.68,,,-2344777037.49,,,-936087058.03,23637423.6,-912449634.43,3972787684.42,定期报告,未审计,20230825,CNY,合并期末,2023-08-25T16:00:35
20230331,,41591816.08,,,,,,291486632.92,,291486632.92,,65084481.17,,,,,,,,,,,405221790.28,11700337.35,,,,,16917684.75,973378769.0,,,,,,,,406840579.24,285982917.64,,23335825.3,31162262.49,,,,,,15540573.74,,,,,573397028.21,,,,141376026.45,326728108.35,285919699.72,,250303142.92,176497930.63,,50722457.82,612656201.16,3039086727.22,4012465496.22,,1270615179.8,,,,,,388166070.1,,388166070.1,27086658.57,15884908.99,,,24726383.7,243883902.12,492464986.92,2077812.91,,,,1388519405.18,,,,,,,,,,,,,,649722928.85,,4008605437.31,,322713008.13,,,,296639908.97,,,,,7107637.72,171065039.26,41849204.68,,839374798.76,4847980236.07,,877697557.0,,,,373120895.51,,59268740.27,,98602786.68,,,-2266615869.21,,,-857925889.75,22411149.9,-835514739.85,4012465496.22,定期报告,未审计,20230429,CNY,合并期末,2023-04-28T22:20:12
20221231,,74461055.22,,,,,,283276059.1,,283276059.1,,61771775.92,0.0,0.0,,,,,,,,433885002.92,433885002.92,13392912.2,,,,,22400475.09,1029822314.92,,,,,,,,406840579.23,285982917.64,,23335825.3,31162262.49,,904634558.97,318034821.8,586599737.17,5353797.53,16660573.74,16660573.74,,581245939.64,,581245939.64,,,,140635034.47,336024871.75,288942206.57,,250303142.92,180810761.37,,50515519.2,612609021.16,3064433621.01,4094255935.93,,1272762924.21,,,,,,401192116.33,,401192116.33,30499990.87,15884908.99,,,32131968.56,252369605.65,444047013.91,33824064.91,,,885257299.37,1363128378.19,,,,,,,,,,,,,,644858752.65,,4012828645.45,,322713008.13,,,,297706418.34,,,,,7362366.76,176026259.21,41849204.68,,845657257.12,4858485902.57,,877697557.0,,,,373120895.51,,59268740.27,,98602786.68,,,-2188581007.88,,,-779891028.42,15661061.78,-764229966.64,4094255935.93,定期报告,是,20230429,CNY,合并期末,2023-04-28T22:20:12
20220930,,75015882.34,,,,,,337676298.07,,337676298.07,,432169743.06,,,,,,,,,,,510015927.04,15135129.28,,,,,17737848.54,1612267857.94,,,,,,,,426957675.85,306813892.55,,,88244146.6,,,,,,13747926.44,,,,,591731509.16,,,,224517029.61,,292878257.66,,327479295.81,283693461.62,,101951846.1,99178934.56,2532676946.35,4144944804.29,,1475771011.16,,,,,,478018108.26,,478018108.26,28405020.17,4281843.5,,,32993395.07,249651126.36,436845343.76,13383619.97,,,,1332345109.48,,,,,,,,,,,,,,367664878.74,,3969130492.74,,566021693.18,,,,,,,,,3771846.94,188704906.0,36774687.29,,795273133.41,4764403626.15,,877697557.0,,,,321090606.67,,41766872.05,,98602786.68,,,-2044973025.89,,,-705815203.49,86356381.63,-619458821.86,4144944804.29,定期报告,未审计,20221027,CNY,合并期末,2022-10-26T19:51:37
