报告日,经营活动产生的现金流量,客户贷款及垫款净减少额,客户存款和同业存放款项净增加额,吸收的存款,同业及其他金融机构存放款净增加额,拆入资金收到的现金,卖出回购证券收到的现金,买入返售证券到期返售收到的现金,收回存放同业及其他金融机构净额,收回拆出资金收到的现金,汇兑净收益收到的现金,贵金属现金流入,保户储金及投资款净增加额,处置交易性金融资产净增加额,收取利息、手续费及佣金的现金,利息收入收到的现金,手续费收入收到的现金,金融企业往来收入收到的现金,证券投资收到的现金,保证金流入的现金,收回的委托资金净额,收回的已于以前年度核销的贷款及应收款项,基金管理费收入收到的现金,销售商品、提供劳务收到的现金,其他营业及营业外净收入收到的现金,收到的税费返还,收到的其他与经营活动有关的现金,经营活动现金流入小计,客户贷款及垫款净增加额,存放中央银行和同业款项净增加额,偿还中央银行借款,拆出资金支付的现金,偿还同业及其他金融机构拆入净额,贵金属现金流出,卖出回购证券到期回购支付的现金,买入返售证券支付的现金,处置可供出售金融资产净减少额,为交易目的而持有的金融资产净增加额,支付利息、手续费及佣金的现金,利息支出支付的现金,手续费支出支付的现金,金融企业往来支出支付的现金,证券投资支付的现金,以现金支付的营业费用,委托资金减少支付的现金,购买商品、接受劳务支付的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付的其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,投资活动产生的现金流量,收回投资所收到的现金,取得投资收益所收到的现金,分得股利或利润收到的现金,处置固定资产、无形资产和其他长期资产而收到的现金净额,处置子公司及其他营业单位收到的现金,收到的其他与投资活动有关的现金,投资活动现金流入小计,投资所支付的现金,权益性投资支付的现金,债权性投资支付的现金,购建固定资产、无形资产和其他长期资产所支付的现金,购买子公司及其他营业单位支付的现金,支付的其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,筹资活动产生的现金流量,吸收投资所收到的现金,借款所收到的现金,发行债券收到的现金,收到的其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务所支付的现金,发生筹资费用支付的现金,分配股利、利润或偿付利息所支付的现金,偿付利息支付的现金,支付的其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,汇率变动对现金的影响额,现金及现金等价物净增加额,现金的期末余额,现金的期初余额,现金等价物的期末余额,现金等价物的期初余额,期初现金及现金等价物余额,期末现金及现金等价物余额,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,,,,,,,-57869060.51,,,,,,,,596171161.99,,,,,,,,,,,,2510851.92,540812953.4,-846386937.14,,,,,,,,,-128551820.11,68629.17,,,,,,,,212372710.06,197884478.12,38929501.53,-525683438.37,1066496391.77,,4717149115.46,59207295.33,,50217.6,,,4776406628.39,1601548086.15,,,78381977.79,,,1679930063.94,3096476564.45,,,,,900000000.0,900000000.0,,,28962494.86,,4557262676.05,4586225170.91,-3686225170.91,,476747785.31,,,,,2477404805.96,2954152591.27,定期报告,未审计,20260425,CNY,合并期末,2026-04-24T20:03:04
20251231,,,,,,,14229442.27,,,,,,,,2422637986.76,,,,,,,,,,,,40666234.66,2477533663.69,2132541000.0,,,,,,,,,-267141080.5,665890.34,,,,,,,,534629066.12,795907087.89,160419628.21,3357021592.06,-879487928.37,,5832416397.81,801034689.76,,2035.39,,,6633453122.96,8993253671.27,,,220097292.7,,,9213350963.97,-2579897841.01,,,,,4987350789.05,4987350789.05,,,485872992.77,,1510788974.66,1996661967.43,2990688821.62,,-468696947.76,2477404805.96,2946101753.72,,,2946101753.72,2477404805.96,定期报告,是,20260210,CNY,合并期末,2026-02-09T20:13:41
20250930,,,,,,,-12077341.77,,,,,,,,1788806206.38,,,,,,,,,,,,598940662.57,2375669527.18,520559000.0,,,,,,,,,-394493268.22,435148.13,,,,,,,,448236288.14,661181187.53,110802309.19,1346720664.77,1028948862.41,,5616111748.38,692741657.48,,1101.24,,1515017442.88,7823871949.98,6976682734.37,,,184131689.52,,,7160814423.89,663057526.09,,,,,600000000.0,600000000.0,,,318952354.25,,1107123700.8,1426076055.05,-826076055.05,,865930333.45,,,,,2946101753.72,3812032087.17,定期报告,未审计,20251028,CNY,合并期末,2025-10-27T18:53:03
20250630,,,,,,,-127405668.05,,,,,,,,1196298690.47,,,,,,,,,,,,452867268.5,1521760290.92,-402307767.12,,,,,,,,,7040499.86,316421.58,,,,,,,,361649930.17,498225816.07,76119155.74,541044056.3,980716234.62,,3549609851.29,323352662.72,,1101.24,,1100152216.26,4973115831.51,5034778143.43,,,179707803.79,,,5214485947.22,-241370115.71,,,,,600000000.0,600000000.0,,,314018132.03,,1104328426.94,1418346558.97,-818346558.97,,-79000440.06,2867101313.66,2946101753.72,,,2946101753.72,2867101313.66,定期报告,未审计,20250827,CNY,合并期末,2025-08-26T21:13:03
20250331,,,,,,,-34731985.69,,,,,,,,637731703.57,,,,,,,,,,,,181330887.82,784330605.7,-557981000.0,,,,,,,,,123442590.38,220617.07,,,,,,,,235277942.32,395631918.3,29149596.71,225741664.78,558588940.92,,996138341.47,224983344.0,,921.24,,419828931.04,1640951537.75,1173705572.34,,,174108486.72,,,1347814059.06,293137478.69,,,,,,0.0,,,9373263.9,,394276031.97,403649295.87,-403649295.87,,448077123.74,,,,,2946101753.72,3394178877.46,定期报告,未审计,20260425,CNY,合并期末,2025-04-24T18:43:05
20241231,,,,,,,698478803.52,,,,,,,,2674773070.61,,,,,,,,,,,,18012774.64,3391264648.77,321662407.13,,,,,,,,,-290138526.07,3694208.98,,,,,,,,621398157.26,647937983.92,236932011.04,1541486242.26,1849778406.51,,4934063966.94,752294922.92,,1630.0,,549483826.3,6235844346.16,5657845581.24,,,314134681.72,,,5971980262.96,263864083.2,,,,,1682100000.0,1682100000.0,,,625600572.52,,1654770694.99,2280371267.51,-598271267.51,,1515371222.2,2946101753.72,1430730531.52,,,1430730531.52,2946101753.72,定期报告,是,20260210,CNY,合并期末,2025-03-17T20:28:06
20240930,,,,,,,480180334.12,,,,,,,,1832756375.05,,,,,,,,,,,,4234917.89,2317171627.06,519010000.0,,,,,,,,,-844259191.71,2643454.51,,,,,,,,508830377.35,528015985.97,94810801.44,809051427.56,1508120199.5,,2029737777.13,655416450.4,,1000.31,,402564626.91,3087719854.75,3828890188.03,,,244167786.19,,,4073057974.22,-985338119.47,,,,,1392100000.0,1392100000.0,,,404833783.62,,1649637958.88,2054471742.5,-662371742.5,,-139589662.47,,,,,1430730531.52,1291140869.05,定期报告,未审计,20251028,CNY,合并期末,2024-10-28T18:53:02
20240630,,,,,,,273054340.85,,,,,,,,1262853080.01,,,,,,,,,,,,3986688.88,1539894109.74,-171100000.0,,,,,,,,,-589912598.46,2565116.36,,,,,,,,370960894.54,370419286.87,59840678.97,42773378.28,1497120731.46,,1682521222.9,422477431.72,,580.0,,599595269.96,2704594504.58,3358310451.7,,,90284691.34,,,3448595143.04,-744000638.46,,,,,1392100000.0,1392100000.0,,,396347741.95,,1644170793.12,2040518535.07,-648418535.07,,104701557.93,1535432089.45,1430730531.52,,,1430730531.52,1535432089.45,定期报告,未审计,20250827,CNY,合并期末,2024-08-26T19:53:02
20240331,,,,,,,239555813.84,,,,,,,,617257653.48,,,,,,,,,,,,2902945.81,859716413.13,662910000.0,,,,,,,,,-50770553.75,2234380.46,,,,,,,,254784733.16,185180329.43,16443695.33,1070782584.63,-211066171.5,,853659066.98,168698171.39,,,,1165474491.31,2187831729.68,2292585578.06,,,87753509.77,,,2380339087.83,-192507358.15,,,,,682100000.0,682100000.0,,,13441629.25,,1201702959.08,1215144588.33,-533044588.33,,-936618117.98,,,,,1430730531.52,494112413.54,定期报告,未审计,20250425,CNY,合并期末,2024-04-25T20:38:06
20231231,,,,,,,-710753387.37,,,,,,,,2595617785.76,,,,,,,,,,,,521255826.34,2406120224.73,-33410201.6,,,,,,,,,-119395330.64,9862677.91,,,,,,,,511551573.4,580437651.01,863849501.45,1812895871.53,593224353.2,,3506475498.66,651563588.88,,131420.0,,643969878.04,4802140385.58,5195301497.28,,,435472859.24,,,5630774356.52,-828633970.94,,,,,2283991600.0,2283991600.0,,,274624460.55,,2458646293.57,2733270754.12,-449279154.12,,-684688771.86,1430730531.52,2115419303.38,,,2115419303.38,1430730531.52,定期报告,是,20250318,CNY,合并期末,2024-03-17T15:38:04
