报告日,资产,货币资金,存放中央银行款项,存放同业款项,结算备付金,贵金属,拆出资金,交易性金融资产,买入返售金融资产,应收票据,应收账款,应收款项融资,预付账款,应收股利,应收利息,应收保费,应收代位追偿款,应收分保账款,应收分保合同准备金,应收分保未到期责任准备金,应收分保未决赔款准备金,应收分保寿险责任准备金,应收分保长期健康险责任准备金,应收保证金,应收投资款项,应收次级债,其他应收款,贴现,发放贷款及垫款净额,存货净额,保费准备金,农险保费准备金,其他保险责任准备金,保单质押贷款,划分为持有待售的资产,可供出售金融资产,长期股权投资,投资性房地产,债权投资,债权计划投资,其他债权投资,其他权益工具投资,以公允价值计量且其变动计入其他综合收益的金融资产,以摊余成本计量的金融资产,衍生金融资产,长期应收款,存出资本保证金,固定资产原值,减：累计折旧,固定资产净值,减：固定资产减值准备,在建工程,固定资产净额,固定资产合计,定期存款,合同资产,使用权资产,其中:交易席位费,无形资产,商誉,长期待摊费用,独立账户资产,递延税款借项,其他长期资产,资产总计,负债,短期借款,同业存放款项,拆入资金,吸收存款,交易性金融负债,卖出回购金融资产款,应付票据,应付账款,预收账款,应付手续费及佣金,应付职工薪酬,应交税金,应付利息,应付股利,其他应付款,应付保户红利,应付分保账款,应付赔付款,应付保证金,预收保费,代买卖证券款,代理承销证券款,预计负债,划分为持有待售的负债,衍生金融负债,长期借款,应付债券款,其中：应付次级债,应付债券：优先股,应付债券：永续债,保险合同准备金,未到期责任准备金,未决赔款准备金,寿险责任准备金,长期健康险责任准备金,应付长期保险保障基金,保户储金,独立账户负债,长期应付款,专项应付款,合同负债,租赁负债,长期递延收益,递延税款贷项,其他负债,负债合计,所有者权益,股本,其他权益工具,其中：优先股,其中：永续债,资本公积,其他综合收益,盈余公积,一般风险准备,未分配利润,外币折算差额,归属于母公司的股东权益合计,少数股东权益,所有者权益合计,负债及股东权益总计,数据源,是否审计,公告日期,币种,类型,更新日期
20240930,,8331527608.73,,,,,,2238211881.02,203849377.7,,98563706.99,,,,9723386713.65,520594636.65,,194427342.93,3071108988.73,381910.84,13659443.56,3044038972.86,13028661.47,,82398980034.02,,5687214504.3,,,3871282069.2,,,,1258420103.13,,120578543572.22,9857190421.16,20100131935.45,100000000.0,,,,,,,,969250000.0,,,,,716488.27,1385387023.76,1386103512.03,2030000000.0,,73347711.2,,259989236.79,6192539487.46,,4317887410.94,1309064410.87,382006427.91,285153621093.08,,,,,,,11976049799.9,,670955663.82,38948071.02,149301244.84,39058607.94,45572314.67,,,705801464.04,569792585.63,209177463.57,3033124076.92,,6406425.8,,,,,,,5510000000.0,,,,185858188296.28,2636115.47,174421522.09,182641738531.6,3039392127.12,,34522004934.53,4317887410.94,,,3697862.13,68985266.71,,1396770281.05,27029521.8,249148751291.59003,,4940629165.0,,,,11008118557.52,596342156.49,277523938.17,,4976940903.9,,21799554721.08,14205315080.41,36004869801.49,285153621093.08,定期报告,未审计,20241031,CNY,合并期末,2024-11-21T15:11:02
20240630,,11008051128.06,,,,,,2479314124.55,763028047.57,,106801701.85,,,,9387013157.18,1357110376.7,,210687567.89,40812281.97,335437.58,13817423.96,13676207.14,12983213.29,,81262200609.44,,4389992066.06,,,4357043724.4,,,,1197173102.31,,114378016720.68,9852138102.93,19322380077.39,100000000.0,,,,,,,,969250000.0,1587330066.97,183811176.64,1403518890.33,,716488.27,1403518890.33,1404235378.6,2035000000.0,,62950112.45,,265803650.6,6192539487.46,,4432500848.97,2229998828.01,490152535.29,278294193630.36,,,,,,,10930000000.0,,615152561.5,41254048.74,258979738.31,28372286.94,38749834.62,,,1117561641.95,705685688.39,213708563.48,3097804990.92,,31407430.86,,,,,,,5510000000.0,,,,181810032972.68,999057.98,176231351.66,178531382385.63,3101420177.41,,34603133604.88,4432500848.97,,,3396313.32,58786963.31,,1384078863.88,38213856.77,244918820209.52,,4940629165.0,,,,11009870158.12,-712075866.67,277523938.17,,4945021685.16,,20460969079.78,12914404341.06,33375373420.84,278294193630.36,定期报告,未审计,20240831,CNY,合并期末,2024-11-21T15:11:02
20240331,,21186579789.91,,,,,,1841122662.18,422121157.59,,103304425.38,,,,9494419877.04,1025209157.86,,201283156.39,468504635.22,326118.55,14510315.62,441385165.31,12283035.74,,82671281979.98,,4458237574.61,,,4294779396.76,,,,1136058140.99,,108792014994.11,9946685153.79,19324124843.55,100000000.0,,,,,,,,969250000.0,,,,,3383588.56,1386622558.4,1390006146.96,585000000.0,,64649985.43,,273588966.21,6192539487.46,,4513035290.92,2594048994.13,326495976.6,282374341793.07,,,,,,,16587830000.0,,635624057.02,33106424.05,398572459.03,76809983.24,50791615.87,,,1412518960.06,641031941.5,207608774.23,3459698368.39,,30214459.34,,,,,,1695530000.0,5510000000.0,,,,176146371945.5,1593692.33,176614411.76,173223809643.22,2744354198.19,,35908843379.58,4513035290.92,,,3290475.56,54201307.04,,1379341616.22,77650442.49,248822071500.04,,4940629165.0,,,,11040647564.59,-932424942.46,277523938.17,,5220169168.65,,20546544893.95,13005725399.08,33552270293.03,282374341793.07,其他,未审计,20240430,CNY,合并期末,2024-11-21T15:11:02
20231231,,28153618773.52,,,,,,1798411484.51,423505036.91,,77196571.2,,,,9481342001.17,957463169.86,,213703975.64,44133139.55,380215.73,17282743.14,14051691.64,12418489.04,,79161790312.67,,4277125451.82,,,4131948886.75,,,,1107482434.63,,125674336899.79,9921218092.69,19484172072.62,100000000.0,,,,,,,,969250000.0,1383055234.89,171053969.25,1212001265.64,,3383588.56,1212001265.64,1215384854.2,585221844.0,,75191765.37,,283200101.84,6192539487.46,,4655812758.4,2654012704.34,297868523.98,301935930342.92,,,,,,,18248100000.0,,949045355.74,33991660.64,263581056.39,136059309.96,78524724.67,,,1306468292.32,577204741.72,217591476.49,2635802667.93,,11989691.74,,,,,,1589220000.0,5510000000.0,,,,179576737371.98,1939384.56,172128949.98,176824737984.5,2577931052.94,,51021196412.75,4655812758.4,,,3738469.36,71557126.84,,1378200740.44,37355420.05,268302177277.42,,4940629165.0,,,,11040647564.59,-978790571.35,277523938.17,,5310045788.96,,20590055885.37,13043697180.13,33633753065.5,301935930342.92,定期报告,是,20241031,CNY,合并期末,2024-11-21T15:11:02
20230930,,25634594803.27,,,,,,2038748863.25,614655309.83,,71892161.4,,,,8698401010.16,614185780.06,,218119025.92,44196072.95,441748.32,16524373.79,14120723.54,13109227.3,,74523156592.92,,4490117028.35,,,3950490589.41,,,,1022988984.57,,130328031174.54,9963380108.51,19174429780.49,8453560081.91,,,,,,,,969250000.0,,,,,7246520.93,671044601.04,678291121.97,585221844.0,,88534369.35,,272667310.29,6192211156.66,,4980485486.22,2320507916.31,275563590.49,306203680162.83,,,,,,,18316288000.0,,955023655.63,48499884.08,309149922.37,51088487.83,73542508.39,,,1126817291.72,513164228.4,230208277.38,1102706521.9,,6176230.71,,,,,,1473900000.0,5510000000.0,,,,176650254523.88998,2068737.87,188762657.24,173571832360.82,2887590767.96,,59680152260.36,4980485486.22,,,3131209.2,84990764.37,,1338502738.78,46537385.94,272500619377.17,,4940629165.0,,,,11040661293.35,-1383515171.63,274250562.71,,5752082297.5,,20624108146.93,13078952638.73,33703060785.66,306203680162.83,其他,未审计,20231031,CNY,合并期末,2024-11-21T15:11:02
20230630,,38148969122.56,,,,,,1684743354.07,1646539595.89,,84831342.61,,,,8074619664.26,549784650.3,,213919714.59,42121621.94,382802.44,14837254.15,13845001.84,13056563.51,,73742115254.37,,4273298801.81,,,10812233943.43,,,,1013597449.35,,121526500348.98,9921108854.33,11271865806.38,8803323160.89,,,,,,,,969250000.0,827608090.58,154261426.01,673346664.57,,6278108.78,673346664.57,679624773.35,555221844.0,,90906045.64,,279939995.69,6192211156.66,,5050260887.01,2062408593.95,289485062.09,307978881044.15,,,,,,,21414487000.0,,76412263.01,46878353.06,663059933.07,30644577.33,55584737.32,,,889192224.11,473447535.82,223071552.1,964153199.64,,165066745.28,,,,,,1405210000.0,5510000000.0,,,,176122157731.27002,1392126.36,171175250.5,173675586652.87003,2274003701.54,,59246511240.25,5050260887.01,,,3036398.53,84151430.31,,1341474916.73,62098999.33,273826899724.17,,4940629165.0,,,,11093717800.86,-1176901559.06,274250562.71,,5777681013.13,,20909376982.64,13242604337.34,34151981319.98,307978881044.15,其他,未审计,20230831,CNY,合并期末,2024-11-21T15:11:02
20230331,,31777126584.59,,,,,,1462644163.74,1299790000.0,,58917427.67,,,,7776312442.53,503111757.81,,201493634.13,44115333.43,374976.78,16887068.89,14385703.02,12467584.74,,74826259736.4,,4726922693.24,,,10625047835.03,,,,920013488.33,,118738189045.49,10175712830.08,11185223760.14,8833033746.28,,,,,,,,969250000.0,,,,,95604120.14,674019741.56,769623861.7,558221844.0,,84207480.59,,287908039.33,6192211156.66,,5094845732.26,2040773092.56,263761928.09,299414717614.08,,,,,,,19654577000.0,,86103806.35,42654239.85,1069721545.28,134444373.86,90426558.19,,,1030272509.22,400811140.2,219691406.55,988790617.25,,122838299.77,,,,,,1302810000.0,5510000000.0,,,,169994893730.67,1136154.4,194203587.46,167681629121.9,2117924866.91,,56857297599.65,5094845732.26,,,22348731.42,81201967.92,,1348104373.42,99822120.52,264151655752.38,,4940629165.0,,,,11093620918.97,-1115243306.46,274250562.71,,6553752046.7,,21747009386.92,13516052474.78,35263061861.7,299414717614.08,其他,未审计,20230428,CNY,合并期末,2024-11-21T15:11:02
20221231,,26309323408.88,,,,,,2082502132.05,4355742423.05,,82683812.73,,,,6937689274.71,734902276.58,,200757853.28,48962727.0,442841.49,22949460.03,13091987.78,12478437.7,,72963370180.99,,3780638753.46,,,10504018961.81,,,,940364077.9,,112853453275.44,10139535453.39,11200167491.03,8832708858.04,,,,,,,,969250000.0,788979130.64,135619106.63,653360024.01,,95446996.52,653360024.01,748807020.53,628231844.0,,95258550.1,,299339640.68,6192211156.66,,5154232771.16,2280270771.84,264267471.98,288598690187.29,,,,,,,21189583000.0,,206898478.09,50276891.55,753902146.55,164541501.21,85106731.35,,,851701100.31,332319400.33,225771694.66,934095294.48,,181184533.71,,,,,,1278309332.2,5510000000.0,,,,163268031706.24,1392200.14,198847648.46,160898210663.26,2169581194.38,,52303515552.96,5154232771.16,,,10372276.83,89581431.89,,1347660074.51,58695506.18,253995779424.21,,4940629165.0,,,,11093651161.39,-1405122291.13,274250562.71,,6508546915.6,,21411955513.57,13190955249.51,34602910763.08,288598690187.29,定期报告,是,20240430,CNY,合并期末,2024-11-21T15:11:02
20220930,,24523905725.74,,,,,,2222632266.33,145621038.3,,51761520.69,,,,7340884187.92,497141303.06,,215136590.66,1876868969.53,480257.01,21920892.25,1841158291.17,13309529.1,,72228223839.18,,2795763128.43,,,10741549403.14,,,,909394059.21,,109253121603.17,10362670945.3,10753813174.73,8832631437.6,,,,,,,,969250000.0,,,,,93450435.01,638909358.77,732359793.78,756221844.0,,89296211.79,,264909526.82,6192211156.66,,5460054065.05,1976617094.11,256613396.51,279448652281.71,,,,,,,20562599000.0,,58471919.04,42733472.42,407309523.09,32718926.99,40989238.17,,,854204047.23,283486038.54,229687956.98,880190186.89,,90042375.65,,,,,,763900000.0,5510000000.0,,,,159243592462.72,1976432.96,201143385.35,157067700337.95,1972772306.46,,48339318690.95,5460054065.05,,,7614773.74,83122188.66,,1452594180.46,239174207.55,244581803254.13,,4940629165.0,,,,11093487387.77,-1555981297.02,206005013.09,,6540355201.94,,21224495470.78,13642353556.8,34866849027.58,279448652281.71,其他,未审计,20221029,CNY,合并期末,2024-11-21T15:11:02
20220630,,25358615970.8,,,,,,1972361135.82,255835117.91,,74518973.49,,,,6736827212.11,433388087.73,,202474225.63,1872264119.19,421728.83,21472796.51,1837006482.56,13363111.29,,70286540466.08,,4349926459.26,,,10587568550.26,,,,850801548.57,,102177552811.81,10444590999.24,10747463842.28,8832403189.27,,,,,,,,969250000.0,711550958.66,114963579.99,596587378.67,,96173900.17,596587378.67,692761278.84,1758221844.0,,98870067.59,,260406266.24,6192211156.66,,5580594263.86,1463269775.93,221018086.36,272419735448.93,,,,,,,17055126000.0,,57034919.08,42820171.39,388861432.57,28321458.06,65990050.47,304021961.78,,2869594350.17,258286264.46,222788747.38,908621385.81,,45347262.34,,,,,,654000000.0,5510000000.0,,,,154122105610.56,1271205.98,200914563.08,152119188686.99002,1800731154.51,,46686570728.93,5580594263.86,,,7238873.74,92769274.7,,1230748313.83,49139030.14,236179980099.27,,4940629165.0,,,,11093480263.09,-798507033.82,206005013.09,,6478883475.04,,21920490882.4,14319264467.26,36239755349.66,272419735448.93,其他,未审计,20220830,CNY,合并期末,2024-11-21T15:11:02
