报告日,经营活动产生的现金流量,收到原保险合同保费取得的现金,再保险业务产生的现金流入,保户储金及投资款净增加额,客户存款和同业存入款项净增加,买入返售业务资金净减少额,卖出回购金融资产净增加额,收取利息、手续费及佣金的现金,拆入资金净增加额,处置交易性金融资产净增加额,保证金现金流入,收到的现金资产管理费收入,收到税费返还,收到其他与经营活动有关的现金,经营活动现金流入小计,支付原保险合同赔付款项的现金,支付再保业务产生的现金流出,支付保单红利的现金,客户贷款及垫款净增加额,存放中央银行和同业款项净增加额,客户存款和同业存入款项净减少额,保户储金及投资款净减少额,拆入资金净减少额,卖出回购金融资产净减少额,买入返售业务资金净增加额,为交易目的而持有的金融资产净增加额,支付利息、手续费及佣金的现金,支付给职工以及为职工支付的现金,拆出资金净增加额,处置交易性金融资产的净减少额,保证金现金流出,支付的各项税费,支付其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,投资活动产生的现金流量,收回投资收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产收回的现金净额,处置子公司及其他营业单位收到的现金,买入返售金融资产收到的现金,收到的其他与投资活动有关的现金,投资活动现金流入小计,投资支付的现金,购建固定资产、无形资产和其他长期资产支付的现金,购买子公司及其他营业单位支付的现金净额,保户质押贷款净增加额,买入返售金融资产支付的现金,支付其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,筹资活动产生的现金流量,吸收投资收到的现金,卖出回购金融资产收到的现金,取得借款收到的现金,发行债券收到的现金,收到的其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,回购金融资产支付的现金,分配股利、利润或偿付利息所支付的现金,子公司支付给少数股东的股利,支付的其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,汇率变动对现金及现金等价物的影响,现金及现金等价物净增加(减少)额,现金的期末余额,现金的期初余额,现金等价物的期末余额,现金等价物的期初余额,期初现金及现金等价物余额,期末现金及现金等价物余额,数据源,是否审计,公告日期,币种,类型,更新日期
20240930,,30771015224.83,,-18645522387.43,,,,,,,,,,1009037042.43,13134529879.83,20350666180.29,3013637101.43,21295116.2,,,,,,,,,1422425171.99,512535231.36,,,,305358580.9,5781281360.29,31407198742.46,-18272668862.63,,83941420552.91,4963227944.93,563610.01,,,,88905212107.85,81934469090.73,23877603.51,,150937668.5,,,82109284362.74,6795927745.11,,,,,,106310000.0,106310000.0,1695530000.0,6272050200.1,466245172.94,10000000.0,,8433825373.04,-8327515373.04,-9592500.64,-19813848991.2,,,,,28145376599.93,8331527608.73,定期报告,未审计,20241031,CNY,合并期末,2024-11-21T15:12:02
20240630,,24225988870.1,,-17938073935.69,,,,,,,,,,786326882.99,7074241817.4,22825139393.19,8362290.23,16597464.18,,,,,,,,,1144824205.86,366258980.32,,,,226897803.29,566673560.8,25154753697.87,-18080511880.47,,59337768087.52,3505133437.99,482030.57,,,,62843383556.08,52321664681.43,11844647.35,,89690667.68,329623010.66,,52752823007.12,10090560548.96,,,,,,106310000.0,106310000.0,1695530000.0,7318100000.0,233296487.42,10000000.0,,9246926487.42,-9140616487.42,-6757652.94,-17137325471.87,11008051128.06,28145376599.93,,,28145376599.93,11008051128.06,定期报告,未审计,20240831,CNY,合并期末,2024-11-21T15:12:02
20240331,,15153550812.96,-8643625.96,-15922284094.91,,,,,,,,,3037337.29,462259861.13,-312079709.49,16453600158.32,,11140627.39,,,,,,,,,741579409.58,170860346.94,,,,101409501.8,2272596972.64,19751187016.67,-20063266726.16,,39984791335.74,1593077778.56,62595.7,,,,41577931710.0,26668312935.34,2757379.83,,28575706.36,48616120.68,,26748262142.21,14829669567.79,,,,,,106310000.0,106310000.0,,1660270000.0,171002455.98,,,1831272455.98,-1724962455.98,-237195.67,-6958796810.02,,,,,28145376599.93,21186579789.91,其他,未审计,20240430,CNY,合并期末,2024-11-21T15:12:02
20231231,,39637418947.27,2685279.37,-3038117355.08,,,,,,,,,,2121244556.5,38723231428.06,2345071511.04,,33815291.17,,,,,,,,,3829847893.47,705802359.39,,,,403017286.17,21871434770.49,29188989111.73,9534242316.33,,154689804574.93,3834053903.87,1621328.56,,,329729.24,158525809536.6,161933573609.34,67529338.65,,167118356.73,,,162168221304.72,-3642411768.12,,20000000.0,,,,313560000.0,333560000.0,,2941483000.0,1413018159.52,,55305186.36,4409806345.88,-4076246345.88,20468988.72,1836053191.05,28145376599.93,26309323408.88,,,26309323408.88,28145376599.93,定期报告,是,20240430,CNY,合并期末,2024-11-21T15:12:02
20230930,,34105161447.04,15382152.14,5267176386.08,,,,,,,,,,1719814608.51,41107534593.77,968935904.58,,27388652.39,,,,,,,,,3698599379.14,559834674.33,,,,336794684.62,20132663897.33,25724217192.39,15383317401.38,,109710969460.77,3033813330.94,1196324.12,,,,112745979115.83,124944869717.88,23159937.58,,82624906.67,,,125050654562.13,-12304675446.3,,20000000.0,,,,198240000.0,218240000.0,,2873295000.0,1119333139.69,,1000000.0,3993628139.69,-3775388139.69,22017579.0,-674728605.61,,,,,26309323408.88,25634594803.27,定期报告,未审计,20241031,CNY,合并期末,2024-11-21T15:12:02
20230630,,28542588090.71,,5485108386.76,,,,,,,,,,721512256.01,34749208733.48,15030719533.75,6367272.46,20922441.72,,,,,,,,,3102884076.25,392587354.12,,,,290372251.79,798095157.89,19641948087.98,15107260645.5,,68221313659.27,2647923048.96,1140433.5,,,,70870377141.73,73634836914.47,12654911.35,,73233371.45,,,73720725197.27,-2850348055.54,,20000000.0,224904000.0,,,129550000.0,374454000.0,,,815302929.49,,1000000.0,816302929.49,-441848929.49,24582053.21,11839645713.68,38148969122.56,26309323408.88,,,26309323408.88,38148969122.56,定期报告,未审计,20240831,CNY,合并期末,2024-11-21T15:12:02
20230331,,19311098151.99,,3864941051.71,,,,,,,,,,369396353.44,23545435557.14,387270207.74,14374612.14,11440909.75,,,,,,,,,2053064029.57,170779529.29,,,,188958936.18,11746714720.71,14572602945.38,8972832611.76,,29314923722.99,1330887276.61,18458.83,,,,30645829458.43,32506021978.17,5704457.64,,-20350589.57,,,32491375846.24,-1845546387.81,,6500000.0,,,,26150000.0,32650000.0,,1535006000.0,151601353.5,,,1686607353.5,-1653957353.5,-5525694.74,5467803175.71,,,,,26309323408.88,31777126584.59,其他,未审计,20240430,CNY,合并期末,2024-11-21T15:12:02
20221231,,37231694996.04,1893111662.99,3944819737.46,,,,,,,,,,2010295220.9,45079921617.39,1555844393.29,,57380122.04,,,,,,,,,3483556145.02,710905779.75,,,,300832239.93,31447205664.32,37555724344.35,7524197273.04,,76556732570.75,7569390117.73,215525.85,16958897.32,,,84143297111.65,97626836137.3,135060520.05,,39951492.07,1956457936.4,,99758306085.82,-15615008974.17,,,11763815000.0,,,695220000.0,12459035000.0,,,1328701535.12,629285562.5,52511081.42,1381212616.54,11077822383.46,72016331.54,3059027013.87,26309323408.88,23250296395.01,,,23250296395.01,26309323408.88,定期报告,是,20240430,CNY,合并期末,2024-11-21T15:12:02
20220930,,28266064143.83,22131082.8,921857746.03,,,,,,,,,,903549214.96,30113602187.62,1218246269.64,,49017446.42,,,,,,,,,3025786329.11,564076672.5,,,,267697272.47,25841045518.5,30965869508.64,-852267321.02,,62503980348.17,5363159900.64,199999.22,,,3031033.46,67870371281.49,76636655126.9,35231204.46,,8981473.38,,,76680867804.74,-8810496523.25,,,11136831000.0,,,182460000.0,11319291000.0,,,463083305.92,,1000000.0,464083305.92,10855207694.08,81165480.92,1273609330.73,,,,,23250296395.01,24523905725.74,其他,未审计,20231031,CNY,合并期末,2024-11-21T15:12:02
20220630,,21333528327.32,,53000288.88,,,,,,,,,,595442358.42,21981970974.62,23388275915.7,-14652474.13,36086346.27,,,,,,,,,2400009170.12,394269420.36,,,,203699899.41,569106253.27,26976794531.0,-4994823556.38,,41173490066.8,3614795899.13,124347.65,,,3031033.46,44791441347.04,45293688988.08,12758407.8,,-49611037.26,,,45256836358.62,-465395011.58,,,7629358000.0,,,72560000.0,7701918000.0,,,177037806.26,,1000000.0,178037806.26,7523880193.74,44657950.01,2108319575.79,25358615970.8,23250296395.01,,,23250296395.01,25358615970.8,其他,未审计,20230831,CNY,合并期末,2024-11-21T15:12:02
