报告日,营业收入,已赚保费,其中:保险业务收入,其中:分保费收入,减:分出保费,提取未到期责任准备金,银行业务利息净收入,银行业务利息收入,银行业务利息支出,手续费及佣金净收入,手续费及佣金收入,手续费及佣金支出,资产管理费收入,投资收益,对联营企业和合营企业的投资损失,以摊余成本计量的金融资产终止确认产生的收益,净敞口套期收益,公允价值变动收益,汇兑收益,其他业务收入,资产处置收益,其他收益,营业支出,退保金,赔付支出,减:摊回赔付支出,提取保险责任准备金,减:摊回保险责任准备金,保单红利支出,分保费用,手续费及佣金净支出(保险业务),营业税金及附加,业务及管理费,财务费用,研发费用,减:摊回分保费用,资产减值损失,信用减值损失,其他资产减值损失,其他业务成本,营业利润,加:营业外收入,减:营业外支出,利润总额,减:所得税费用,净利润,持续经营净利润,终止经营净利润,归属于母公司的净利润,少数股东权益,年初未分配利润,其他因素调整,其他综合收益,归属于母公司所有者的其他综合收益,（一）以后不能重分类进损益的其他综合收益,重新计量设定受益计划净负债或净资产的变动,权益法下在被投资单位不能重分类进损益的其他综合收益中享有的份额,其他权益工具投资公允价值变动,企业自身信用风险公允价值变动,（二）以后将重分类进损益的其他综合收益,权益法下在被投资单位以后将重分类进损益的其他综合收益中享有的份额,可供出售金融资产公允价值变动损益,其他债权投资公允价值变动,金融资产重分类计入其他综合收益的金额,其他债权投资信用减值准备,持有至到期投资重分类为可供出售金融资产损益,现金流量套期储备,现金流量套期损益的有效部分,外币财务报表折算差额,其他,归属于少数股东的其他综合收益,综合收益总额,归属于母公司所有者的综合收益总额,归属于少数股东的综合收益总额,基本每股收益,稀释每股收益,数据源,是否审计,公告日期,币种,类型,更新日期
20240930,33596118589.59,27286130293.48,30613877322.6,271779371.6,3327051993.32,695035.8,,,,,,,,5065907278.21,63577515.8,,,213767804.2,-9592500.64,1010596636.57,1760745.27,27548332.5,33849264738.93,4994197952.61,21822325527.66,31330713.53,6280754193.39,3026974154.07,5464231.13,,1264260487.91,74637889.81,1161319284.65,,,282188803.43,,,,1586798842.8,-253146149.34,6870466.2,35633541.79,-281909224.93,362551956.84,-644461181.77,-644461181.77,,-333104885.06,-311356296.71,,,3089360284.57,1575132727.84,,,,,,1575132727.84,-16888084.7,1578896760.24,,,,,,,,13124052.3,1514227556.73,2444899102.8,1242027842.78,1202871260.02,-0.0674,-0.0674,定期报告,未审计,20241031,CNY,合并期末,2024-11-21T15:12:02
20240630,29057924246.38,24754735770.96,24784475193.76,176916215.74,30634971.23,-895548.43,,,,,,,,3454684154.76,37825737.88,,,74344171.7,-6757652.94,752617781.38,1673686.16,26626334.36,29475061576.08,3444987818.53,20617645115.65,21824083.24,2234235927.28,-3276079.43,138910960.23,,1041542061.02,53141831.07,824254527.07,,,6439513.66,,,,1145330852.7,-417137329.7,6596936.72,25275063.87,-435815456.85,275346326.73,-711161783.58,-711161783.58,,-365024103.8,-346137679.78,5310045788.96,,523129994.75,266714704.68,,,,,,266714704.68,-8923507.32,263530943.7,,,,,,,,12107268.3,256415290.07,-188031788.83,-98309399.12,-89722389.71,-0.074,-0.074,定期报告,未审计,20240831,CNY,合并期末,2024-11-21T15:12:02
20240331,17487009354.33,15278862952.35,15294483719.17,88688741.56,15912361.87,-291595.05,,,,,,,,1687160632.26,25467061.09,,,57775754.07,-237195.67,441876913.39,1867827.87,19702470.06,17609191489.65,1977657427.83,17628995295.63,8885528.82,-3430019734.25,424425592.85,69984048.76,,697405702.61,25775069.63,406861177.44,,,111796.76,,,,665955420.43,-122182135.32,5849551.46,10536794.77,-126869378.63,45342868.76,-172212247.39,-172212247.39,,-89876620.31,-82335627.08,,,90729474.92,46365628.89,,,,,,46365628.89,,41474425.74,,,,,,,,4891203.15,44363846.03,-81482772.47,-43510991.42,-37971781.05,-0.0182,-0.0182,其他,未审计,20240430,CNY,合并期末,2024-11-21T15:12:02
20231231,49698873747.47,40321163622.68,40377945013.81,351761324.72,56171580.95,609810.18,,,,,,,,7265202417.05,104881282.65,,,151902208.59,20468988.72,1921803268.75,952829.41,17380412.27,51539723140.43,20600591716.86,3027307796.37,52683529.62,16308158481.32,-4766961.69,272405956.87,,3131475037.55,81515587.17,1765119135.08,,,6159404.3,2677531324.93,,,3729694076.51,-1840849392.96,10777382.39,37931470.38,-1868003480.95,-586504541.69,-1281498939.26,-1281498939.26,,-651758543.03,-629740396.23,6508546915.6,,835742371.51,426331719.78,,,,,,426331719.78,5476618.64,-52900275.72,,,,446733629.64,,,,27021747.22,409410651.73,-445756567.75,-225426823.25,-220329744.5,-0.13,-0.13,定期报告,是,20240430,CNY,合并期末,2024-11-21T15:12:02
20230930,41188010861.21,34378864564.01,34422568708.76,262959263.95,43026513.85,677630.9,,,,,,,,5100632345.84,146215335.04,,,197179105.89,22017579.0,1479447526.04,-82461.65,9952202.08,41616072947.35,19047936287.72,1268799260.13,37410114.94,13381546279.92,-4765560.88,203839632.41,,3005606368.06,52804842.82,1305451578.74,,,3040773.94,454376590.77,,,2931397434.78,-428062086.14,9299686.03,27965355.32,-446727755.43,-27290372.07,-419437383.36,-419437383.36,,-212995409.95,-206441973.41,,,42961616.68,21607119.5,,,,,,21607119.5,10752487.09,10051773.36,,,,,,,,802859.05,21354497.18,-376475766.68,-191388290.45,-185087476.23,-0.0431,-0.0431,定期报告,未审计,20241031,CNY,合并期末,2024-11-21T15:12:02
20230630,33432306515.06,28524316293.72,28552580915.59,175599948.06,28204656.6,59965.27,,,,,,,,3614521433.43,74420004.61,,,209953299.68,24582053.21,1050055125.91,-183714.44,9062023.55,33703867126.79,14353304139.22,873811859.22,27278281.52,12854126098.81,-6781066.01,159213987.92,,2566153428.93,37112127.25,802349457.66,,,318251.47,,,,2078611494.76,-271560611.73,8352407.09,21007104.38,-284215309.02,89948076.59,-374163385.61,-374163385.61,,-187396694.32,-186766691.29,6508546915.6,,446572485.04,228220732.07,,,,,,228220732.07,3581592.65,223836280.36,,,,,,,,802859.06,218351752.97,72409099.43,40824037.75,31585061.68,-0.038,-0.038,定期报告,未审计,20240831,CNY,合并期末,2024-11-21T15:12:02
20230331,21927557710.48,19212557399.07,19226862539.9,87372554.13,14493321.86,-188181.03,,,,,,,,1991628616.79,25584160.9,,,204160134.35,-5525694.74,520834412.14,-119688.63,4022531.5,21777324937.63,11327390400.59,511400619.46,15006728.31,6727118070.17,-4779528.86,77945366.24,,1604949172.73,19342762.28,451171482.85,,,240053.99,,,,1068474316.75,150232772.85,8803293.78,8837897.49,150198169.14,65466185.24,84731983.9,84731983.9,,45205131.1,39526852.8,,,568978413.58,289878984.67,,,,,,289878984.67,5432782.46,283635739.57,,,,,,,,810462.64,279099428.91,653710397.48,335084115.77,318626281.71,0.01,0.01,其他,未审计,20240430,CNY,合并期末,2024-11-21T15:12:02
20221231,49615695080.12,37767586683.58,37819750598.06,370308030.26,53159986.0,-996071.52,,,,,,,,10427148338.59,351183991.06,,,-431840347.67,72016331.54,1713066010.73,416413.6,67301649.75,49370104821.1,30336754014.02,1971287735.35,42310226.98,8487414663.23,-1808467108.15,251350101.75,,3061069057.84,76083776.38,1650860384.35,,,4743668.83,163937959.7,,,3473254869.2,245590259.02,23176467.57,43988635.52,224778091.07,-285841578.4,510619669.47,510619669.47,,274051117.04,236568552.43,6327444494.01,,-2726602155.81,-1390018486.61,,,,,,-1390018486.61,-20955239.57,-1394074032.25,,,,,,,,25010785.21,-1336583669.2,-2215982486.34,-1115967369.57,-1100015116.77,0.06,0.06,定期报告,是,20240430,CNY,合并期末,2024-11-21T15:12:02
20220930,37829601508.98,28581829162.28,28622530924.18,283823401.4,41151016.12,-449254.22,,,,,,,,8363650619.49,323702039.18,,,-469466329.63,81165480.92,1208065020.58,116547.59,64241007.75,37130756152.57,24991196080.16,1545887496.23,29666541.92,4462391186.89,19401718.86,194865811.28,,2387363994.2,55159705.13,1085053524.87,,,3443750.29,,,,2480784977.12,698845356.41,3653975.77,34053923.71,668445408.47,227465613.76,440979794.71,440979794.71,,237613853.76,203365940.95,,,-3022397336.88,-1540877492.5,,,,,,-1540877492.5,4867073.26,-1545744565.76,,,,,,,,,-1481519844.38,-2581417542.17,-1303263638.74,-1278153903.43,0.0481,0.0481,其他,未审计,20231031,CNY,合并期末,2024-11-21T15:12:02
20220630,27600238815.91,21553379625.06,21579879473.69,194599061.64,27595801.65,-1095953.02,,,,,,,,5519892857.36,263586964.51,,,-365197922.32,44657950.01,830326155.8,305410.81,16874739.19,27207338922.2,22587875757.05,1044985595.44,17523252.53,-658390438.29,14855396.7,157590983.77,,1767762857.37,38180967.46,664911193.23,,,3381595.06,,,,1650543854.85,392899893.71,1844089.69,25037457.38,369706526.02,41993210.02,327713316.0,327713316.0,,176142126.86,151571189.14,6327444494.01,,-1536210566.14,-783403229.3,,,,,,-783403229.3,35636589.72,-819039819.02,,,,,,,,,-752807336.84,-1208497250.14,-607261102.44,-601236147.7,0.036,0.036,其他,未审计,20230831,CNY,合并期末,2024-11-21T15:12:02
