报告日,资产,货币资金,客户资金存款,结算备付金,客户备付金,拆出资金,融出资金,融出证券,交易性金融资产,买入返售金融资产,应收票据及应收账款,应收账款,应收票据,应收款项融资,预付账款,应收股利,应收利息,应收保证金,应收投资款项,其他应收款,存货净额,待转承销费用,衍生金融资产,可供出售金融资产,划分为持有待售的资产,长期股权投资,投资性房地产,债权投资,其他债权投资,其他权益工具投资,以公允价值计量且其变动计入其他综合收益的金融资产,以摊余成本计量的金融资产,固定资产原值,累计折旧,固定资产净值,固定资产减值准备,固定资产净额,在建工程,固定资产清理,固定资产合计,合同资产,使用权资产,无形资产,商誉,开发支出,交易席位费,长期待摊费用,递延税款借项,其他长期资产,资产总计,负债,短期借款,质押借款,应付短期融资款,拆入资金,交易性金融负债,衍生金融负债,卖出回购金融资产款,应付票据及应付账款,应付账款,预收账款,应付职工薪酬,应交税金,应付股利,应付利息,其他应付款,代买卖证券款,代理承销证券款,代兑付证券款,信用交易代理买卖证券款,预提费用,预计负债,划分为持有待售的负债,长期递延收益,长期借款,应付债券款,应付债券：优先股,应付债券：永续债,长期应付职工薪酬,长期应付款,专项应付款,合同负债,租赁负债,递延税款贷项,其他负债,负债合计,股东权益,实收资本净额,其他权益工具,其中：优先股,其中：永续债,资本公积,库存股,其他综合收益,专项储备,盈余公积,一般风险准备,交易风险准备,未分配利润,外币折算差额,归属于母公司的股东权益合计,少数股东权益,所有者权益合计,负债及股东权益总计,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,,36023469285.35,31476244195.15,8213450225.57,6333321189.19,,19125642953.71,,39224164533.63,1729680929.1,611302368.07,611302368.07,,,,,,11196934699.55,,,,,791445738.58,,,1026651396.48,134590524.28,,368045776.34,6452383077.56,,,,,,,570395346.65,,,570395346.65,,168252253.95,384129904.31,75920803.93,,,,223656030.69,1057615732.49,127377731580.24,,11687975.02,,8314257990.81,9637237480.58,746016368.1,21053733.07,21278065338.42,712527639.81,712527639.81,,1417308594.36,120762456.98,,,,42804065814.52,,,,,4553424.55,,43921931.4,,9374685684.33,,,,,,27605504.31,160518453.21,11489614.76,11569781790.29,106255539794.52,,2340452915.0,,,,5746906471.63,,105575511.53,,1494125498.82,3546012935.89,,7427930783.95,,20661004116.82,461187668.9,21122191785.72,127377731580.24,定期报告,未审计,20260425,CNY,合并期末,2026-04-24T20:44:05
20251231,,31577502157.63,28724887405.27,4342338291.35,2766422464.32,,18303793339.19,,35701744898.43,1348467173.63,360978883.39,360978883.39,,,,,,10606711714.23,,,,,617014163.22,,,995278471.79,135921883.2,,369566664.83,6220992650.25,,,1326253832.11,743486676.29,582767155.82,,582767155.82,,,582767155.82,,182215055.87,396615337.8,75920803.93,,,,275338603.34,1154168116.39,113247335364.29,,10001023.85,,7810203205.86,8488033146.09,599448378.84,83863621.9,16813208995.21,1497902189.77,1497902189.77,,1367830213.93,180483342.76,,,,35743430156.8,,,,,4553424.55,,43481855.3,,8039294698.7,,,,,,41695933.3,175412364.57,14928970.75,11744750219.22,92658521741.4,,2340452915.0,,,,5746906471.63,,-13780345.53,,1494125498.82,3612640498.7,,6944798232.13,,20125143270.75,463670352.14,20588813622.89,113247335364.29,定期报告,是,20260425,CNY,合并期末,2026-04-24T20:44:05
20250930,,28804999767.74,19818439853.4,4122293077.5,2946640802.43,,18463039011.16,,36620173559.87,2821672449.95,349474858.47,349474858.47,,,,,,10911194408.44,,,,,563879442.61,,,1019478826.23,137253242.11,,131032098.96,3415273781.5,,,,,,,589439738.85,,,589439738.85,,197746510.23,383910475.42,75920803.93,,,,289548192.77,1161449817.21,110057780062.95,,,,7790981736.17,6043679870.02,456574376.27,233644254.45,18749259932.33,1101102836.55,1101102836.55,,1367304602.05,215698320.98,,,,32861872971.13,49510500.0,,,,4987254.51,,42731898.25,,8297844004.04,,,,,,34987452.69,194902868.47,22557675.84,12159096423.03,89626736976.78,,2340452915.0,,,,5746906471.63,,-52547591.56,,1369345733.17,3326385015.46,,7205099882.31,,19935642426.01,495400660.16,20431043086.17,110057780062.95,定期报告,未审计,20251029,CNY,合并期末,2025-10-28T20:10:04
20250630,,26316603459.49,22997584193.05,3631539092.57,2358792680.66,,14011536480.59,,40111583446.8,415451481.84,478831381.51,478831381.51,,,,,,8494511469.69,,,,,555486339.97,,,1001437303.13,138584601.03,,,1977656575.3,,,1307528690.24,704010130.11,603518560.13,,603518560.13,,,603518560.13,,215435634.79,398427283.44,75920803.93,,,,373010870.72,847776585.85,99647311370.78,,,,6501312585.33,4322484427.77,590763709.09,16485825.5,20132349153.49,971438856.05,971438856.05,,1222115854.51,126255944.02,,,,29135333866.59,,,,,4987254.51,,42264170.41,,6975977035.32,,,,,,32394759.41,208242417.29,16775706.66,9542109080.3,79841290646.25,,2340452915.0,,,,5746906471.63,,-28545103.32,,1369345733.17,3315227164.04,,6580258670.91,,19323645851.43,482374873.1,19806020724.53,99647311370.78,定期报告,未审计,20250828,CNY,合并期末,2025-08-27T21:10:05
20250331,,24290170363.1,16198522021.27,2852754479.26,2422354254.3,,14331891063.18,,29819633907.48,1944714329.78,2719843207.24,2719843207.24,,,,,,8128109801.94,,,,,467966607.89,,,976030146.02,139915959.94,,,8133021.0,,,,,,,619768508.62,,,619768508.62,,227845292.31,403368194.6,75920803.93,,,,426285723.12,962239377.38,88394590786.79,,,,4458431194.91,6075781941.63,439751296.09,23494051.47,13691495720.92,357192253.19,357192253.19,,1120996747.74,110475669.0,,,,25354282037.24,,,,,1675254.51,,42236143.14,,6946687285.56,,,,,,37340618.07,218078160.7,5446448.58,9829509169.94,68712873992.69,,2340452915.0,,,,5746906471.63,,-84963955.84,,1369345733.17,3305163893.49,,6525827520.9,,19202732578.35,478984215.75,19681716794.1,88394590786.79,定期报告,未审计,20250426,CNY,合并期末,2025-04-25T23:06:21
20241231,,25518453102.91,20756378788.6,3880709597.58,1827689513.2,,13985668804.77,,33618094419.65,1123020090.54,311072232.39,311072232.39,,,,,,6609256354.1,,,,,421638212.52,,,948875093.85,141247318.86,,,9259611.0,,,1296648423.28,659914384.14,636734039.14,,636734039.14,,,636734039.14,,240528002.59,414946046.24,75920803.93,,,,413631271.94,676598092.92,89025653094.93,,,,3580959758.79,4308815291.65,808201539.63,9199813.45,15785450547.61,646416181.1,646416181.1,,1194061740.12,118793331.76,,,,25753638831.13,,,,,22070387.71,,42206564.73,,7882882369.92,,,,,,36144795.86,230140661.45,,9021162526.39,69440144341.3,,2340452915.0,,,,5746906471.63,,-84118212.77,,1369345733.17,3294538840.15,,6451182503.57,,19118308250.75,467200502.88,19585508753.63,89025653094.93,定期报告,是,20260425,CNY,合并期末,2025-04-25T23:06:21
20240930,,22806223845.15,18915264002.18,3029343846.77,1419925014.81,,10626449377.93,,36085006305.25,1290990017.83,471108008.98,471108008.98,,,,,,6329725158.02,,,,,328174296.0,,,987084276.49,142578677.77,,,10810470.0,,,,,,,633673481.41,,,633673481.41,,246937570.42,402278503.55,75920803.93,,,,474781267.13,918021481.7,84859107388.33,,,,5100592482.24,1695143705.56,1036481781.63,269815012.17,15451817290.45,2039738518.14,2039738518.14,,1027644433.2,51313177.68,,,,23066303653.97,,,,,1675254.51,,44356641.97,,6230493075.41,,,,,,34201429.71,242818636.67,5662962.59,9380711781.46,65678769837.36,,2340452915.0,,,,5746906471.63,,-83394206.42,,1263210449.15,3045203926.48,,6406623853.48,,18719003409.32,461334141.65,19180337550.97,84859107388.33,定期报告,未审计,20241029,CNY,合并期末,2024-10-28T19:52:04
20240630,,19438747154.18,14894338167.83,2027219263.63,1163406752.87,,10858155973.71,,39682326456.44,1773172879.37,247967904.98,247967904.98,,,,,,5589620251.64,,,,,419444102.59,,,947424426.2,143910036.69,,,11028597.0,,,1323592334.61,666152160.48,657440174.13,,657440174.13,,,657440174.13,,259635628.68,371590057.69,75920803.93,,,,654167289.84,895247366.51,84053018367.21,,,,5065623287.76,3160778027.78,1117192700.89,72153305.26,17074449576.41,1431673394.85,1431673394.85,,1099360153.53,62843162.91,,,,19086927198.31,,,,,1675254.51,,41920510.09,,7530790355.84,,,,,,29223560.67,254300482.13,,9196516295.43,65225427266.37,,2340452915.0,,,,5746906471.63,,-83020444.89,,1263210449.15,3032349985.77,,6077990802.48,,18377890179.14,449700921.7,18827591100.84,84053018367.21,定期报告,未审计,20240828,CNY,合并期末,2024-08-27T19:57:02
20240331,,23453539032.38,15957955013.41,2000980557.77,1055732985.66,,11531351022.28,,38758157326.33,2010924852.14,856501798.75,856501798.75,,,,,,5111761946.75,,,,,88445508.45,,,930604689.57,145241395.6,,,10568373.0,,,,,,,667217175.45,,,667217175.45,,263854743.68,324807949.91,75920803.93,,,,584436783.59,949617653.27,87763931612.85,,,,5031034193.22,1120285583.33,1784990213.69,83834183.81,18791200039.77,1115626050.22,1115626050.22,,1019908476.63,83878314.18,,,,19738420261.58,,,,,1675254.51,,43855548.52,,10615449285.03,,,,,,35810732.62,254208672.53,1444413.28,9103374751.72,68824995974.64,,2340452915.0,,,,5746906471.63,,-83558457.79,,1263210449.15,3020095471.22,,6213233055.64,,18500339904.85,438595733.36,18938935638.21,87763931612.85,定期报告,未审计,20240430,CNY,合并期末,2024-04-30T02:12:02
20231231,,18941934418.91,14387960254.19,3469502138.6,2565186549.79,,12139617136.26,,38735760404.12,1289174521.49,262823477.12,262823477.12,,,,,,4769878304.21,,,,,61034215.12,,,908743450.61,146572754.52,,,10767324.0,,,1292671637.64,625929169.38,666742468.26,,666742468.26,,,666742468.26,,264795490.1,331824268.22,75920803.93,,,,566655749.75,692609616.33,83334356541.55,,,,5981399012.87,2570604183.34,2370811093.39,13634236.3,14228789644.15,936180100.03,936180100.03,,1154325028.67,111024364.8,,,,19106947564.42,,,,,1675254.51,,43841358.69,,11115519786.94,,,,,,31906781.59,262108959.28,,6506425611.95,64435192980.93,,2340452915.0,,,,5746906471.63,,-83408632.27,,1263210449.15,3008153277.64,,6204099567.16,,18479414048.31,419749512.31,18899163560.62,83334356541.55,定期报告,是,20250426,CNY,合并期末,2024-04-18T22:37:11
