报告日,资产,货币资金,客户资金存款,结算备付金,客户备付金,拆出资金,融出资金,融出证券,交易性金融资产,买入返售金融资产,应收票据及应收账款,应收账款,应收票据,应收款项融资,预付账款,应收股利,应收利息,应收保证金,应收投资款项,其他应收款,存货净额,待转承销费用,衍生金融资产,可供出售金融资产,划分为持有待售的资产,长期股权投资,投资性房地产,债权投资,其他债权投资,其他权益工具投资,以公允价值计量且其变动计入其他综合收益的金融资产,以摊余成本计量的金融资产,固定资产原值,累计折旧,固定资产净值,固定资产减值准备,固定资产净额,在建工程,固定资产清理,固定资产合计,合同资产,使用权资产,无形资产,商誉,开发支出,交易席位费,长期待摊费用,递延税款借项,其他长期资产,资产总计,负债,短期借款,质押借款,应付短期融资款,拆入资金,交易性金融负债,衍生金融负债,卖出回购金融资产款,应付票据及应付账款,应付账款,预收账款,应付职工薪酬,应交税金,应付股利,应付利息,其他应付款,代买卖证券款,代理承销证券款,代兑付证券款,信用交易代理买卖证券款,预提费用,预计负债,划分为持有待售的负债,长期递延收益,长期借款,应付债券款,应付债券：优先股,应付债券：永续债,长期应付职工薪酬,长期应付款,专项应付款,合同负债,租赁负债,递延税款贷项,其他负债,负债合计,股东权益,实收资本净额,其他权益工具,其中：优先股,其中：永续债,资本公积,库存股,其他综合收益,专项储备,盈余公积,一般风险准备,交易风险准备,未分配利润,外币折算差额,归属于母公司的股东权益合计,少数股东权益,所有者权益合计,负债及股东权益总计,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,,75759628616.7,68281647823.56,9843424614.32,8913709255.07,,45821777662.75,,28895680143.43,7030682320.78,1553664702.88,1553664702.88,,,,,,5036376137.15,,,,,189119985.0,,,2294001358.45,77155.52,,21705610264.43,60225748.59,,,,,,,1014255488.05,8038840.56,,1022294328.61,,269045430.91,71042427.94,21236736.23,,,,1757397268.05,396748227.11,201728033128.85,,19815467.19,,9551026840.94,5440527144.45,352371554.24,256188767.11,14712492415.41,2476872221.29,2476872221.29,,4496393777.9,664700273.79,,,,80678338484.59,,,,,156676333.68,,,,38509790179.05,,,,,,38287830.43,286242354.78,468024232.7,669251334.23,158776999211.78,,5530072948.0,6011873287.75,,6011873287.75,11288357670.64,,517207556.72,,2860312606.69,6543610646.05,,10094276982.38,,42845711698.23,105322218.84,42951033917.07,201728033128.85,定期报告,未审计,20260430,CNY,合并期末,2026-04-29T20:30:07
20251231,,64057872717.75,57453919011.84,9385225435.88,8183672091.81,,46040912990.02,,28914935215.43,3422849566.32,1896644148.54,1896644148.54,,,,,,4706232363.11,,,,,62466073.5,,,2205616669.23,80228.81,,42273746580.88,60225748.59,,,1824190087.21,779732406.25,1044457680.96,,1044457680.96,4974424.75,,1049432105.71,,273369696.67,80020614.81,21236736.23,,,,1526300400.75,240246258.99,206217413551.22,,19803661.66,,13048440208.59,3950420894.45,391184568.28,153347848.27,33832166929.82,1853737573.02,1853737573.02,,3962780558.18,459971261.08,,,,69211469584.41,,,,,157628192.44,,,,35627667993.9,,,,,,33831208.09,294948086.11,375901714.08,825243464.85,164198543747.23,,5530072948.0,6000000000.0,,6000000000.0,11288357670.64,,1032415018.29,,2860312606.69,6539627882.47,,8663899733.85,,41914685859.94,104183944.05,42018869803.99,206217413551.22,定期报告,是,20260430,CNY,合并期末,2026-04-27T20:54:03
20250930,,62638260990.57,54213738782.63,9936205012.82,9000361101.17,,44145957730.81,,31324848841.18,1132959101.45,1310377634.15,1310377634.15,,,,,,4355196687.47,,,,,126390704.38,,,2363165634.94,83302.06,,31095972570.24,64911497.4,,,,,,,1030078039.85,11504307.24,,1041582347.09,,298876259.23,65999514.79,32882308.6,,,,1443073356.22,166823875.56,191543567368.96,,,,12956386707.45,2370601533.33,351590006.4,142726207.41,26800013255.38,1837692724.25,1837692724.25,,3476380454.8,601917358.51,,,,66418603913.64,,,,,95026009.3,,,,33205907942.01,,,,,,45129943.79,317171765.76,459268179.69,770205834.25,149848621835.96997,,5530072948.0,6000000000.0,,6000000000.0,11288357670.64,,978039231.51,,2561186364.39,5903759121.8,,9328439398.65,,41589854734.99,105090798.0,41694945532.99,191543567368.96,定期报告,未审计,20251031,CNY,合并期末,2025-10-30T17:02:06
20250630,,56847758680.4,51193577802.54,7381797783.79,6604054006.64,,33558714887.83,,33587186535.44,1278830941.19,1017273492.71,1017273492.71,,,,,,3190595715.49,,,,,130981361.47,,,1931027869.91,86375.35,,32788765055.11,64998366.08,,,1783955221.92,730977406.23,1052977815.69,,1052977815.69,8039062.73,,1061016878.42,,318937073.42,70170920.23,32882308.6,,,,1385772287.67,441122715.88,175087919248.99002,,,,994342857.85,6221385286.08,286478990.71,76480416.26,29347573847.46,1813334073.48,1813334073.48,,2807753600.49,524352751.91,,,,60199291159.29,,,,,22295657.08,,,,30825037304.92,,,,,,58019468.29,332835549.39,341489724.96,713127548.54,134563798236.71,,5530072948.0,6000000000.0,,6000000000.0,11288357670.64,,1385762178.42,,2561186364.39,5900027615.64,,7749549419.24,,40414956196.33,109164815.95,40524121012.28,175087919248.99002,定期报告,未审计,20250830,CNY,合并期末,2025-08-29T18:48:03
20250331,,53131772602.23,46349685793.46,8693215167.68,7747707565.81,,35053696429.77,,21312505957.38,3228729110.89,843268827.61,843268827.61,,,,,,3401586409.18,,,,,135773073.04,,,1908737910.8,89448.64,,28082625998.04,63093012.9,,,,,,,1082209682.54,7972702.22,,1090182384.76,,308542895.77,76492115.99,32882308.6,,,,1577556013.71,103848516.21,159044598183.2,,,,4668252824.28,7892122597.21,782431250.16,92976002.33,11879559211.12,1887798762.83,1887798762.83,,2675081920.48,963723968.9,,,,56541970088.09,510911843.76,,,,21039054.43,,,,29495787147.27,,,,,,41117470.64,316819377.61,352309869.64,642669507.48,118764570896.23,,5530072948.0,6011873287.75,,6011873287.75,11288357670.64,,1005395153.52,,2561186364.39,5896898382.26,,7877297335.7,,40171081142.26,108946144.71,40280027286.97,159044598183.2,定期报告,未审计,20250429,CNY,合并期末,2025-04-29T00:54:05
20241231,,52599140486.75,45778089181.57,9024740606.16,8107310356.04,,33965149503.47,,23254140430.26,1210322280.04,1066747160.22,1066747160.22,,,,,,3423415249.4,,,,,403333949.7,,,2003536968.74,92521.93,,42308235395.86,63154237.38,,,1882760992.82,769859703.64,1112901289.18,,1112901289.18,6662509.25,,1119563798.43,,327796439.99,87232412.64,32882308.6,,,,768518016.29,113513101.28,171771514867.14,,,,4846526781.12,7126703929.18,237560977.09,181886871.64,22306217267.57,3223530529.99,3223530529.99,,2979762296.55,448261951.48,,,,56086799968.23,5610000.0,,,,21198259.15,,,,33540023350.76,,,,,,32765611.37,337574505.62,313013075.31,775886161.21,132463321536.27,,5530072948.0,4500000000.0,,4500000000.0,11289159557.43,,2473837509.42,,2561186364.39,5893836172.32,,6951869101.63,,39199961653.19,108231677.68,39308193330.87,171771514867.14,定期报告,是,20260428,CNY,合并期末,2025-04-29T00:54:05
20240930,,52240884732.86,44763859712.79,6653968952.44,5755383704.97,,25933575961.51,,28027320328.6,217266660.42,1593370757.76,1593370757.76,,,,,,3228759509.16,,,,,777777602.74,,,1803682671.9,95595.18,,32848449001.66,59465478.68,,,,,,,1108189310.26,31294677.3,,1139483987.56,,355091241.27,72622419.25,52921408.6,,,,823815105.3,293411939.88,156121963354.77,,,,1961823490.72,8332245091.74,372160717.44,338623531.47,19012903952.83,3721636117.86,3721636117.86,,2558265936.58,182738431.28,,,,52373808021.45,,,,,613206.21,,,,27965461625.63,,,,,,34956099.92,358105634.95,264997827.85,726930361.89,118205270047.82,,5530072948.0,4500000000.0,,4500000000.0,11289159557.43,,1439342427.24,,2414554923.33,5581658422.41,,7054183775.66,,37808972054.07,107721252.88,37916693306.95,156121963354.77,定期报告,未审计,20241031,CNY,合并期末,2024-10-30T20:12:02
20240630,,41959335867.34,34823496103.06,5820831697.2,5077188207.8,,25516568303.8,,28838608011.83,363062184.63,1652358091.8,1652358091.8,,,,,,2847812910.54,,,,,1330319658.61,,,1770582555.02,98668.47,,35055976545.43,61516773.31,,,1848221159.94,724357618.13,1123863541.81,,1123863541.81,24981801.56,,1148845343.37,,390634783.22,81415807.68,52921408.6,,,,842014533.99,107962411.86,147840865556.7,,,,2843246960.76,8852389622.22,502869265.95,308654536.38,18158700750.39,3999277341.87,3999277341.87,,2319495944.03,114761176.44,,,,41765967286.87,5000000.0,,,,147619.05,,,,30134997246.67,,,,,,58962861.16,392042672.67,253025935.77,678017599.99,110387556820.22,,5530072948.0,4500000000.0,,4500000000.0,11289159557.43,,1586528425.78,,2414554923.33,5579196823.62,,6454101900.26,,37353614578.42,99694158.06,37453308736.48,147840865556.7,定期报告,未审计,20240828,CNY,合并期末,2024-08-27T20:12:02
20240331,,42225623387.01,32822422125.39,6315553292.8,5580695148.8,,26829147246.14,,28618095392.8,1624353677.02,1420273297.65,1420273297.65,,,,,,2818398700.01,,,,,1127301596.62,,,1809184308.57,101741.76,,37920046762.44,61516773.31,,,,,,,1145363868.75,12833370.66,,1158197239.41,,403115407.14,90439683.33,52921408.6,,,,868350906.86,146520124.69,153489140946.16,,,,3207850111.74,4351434236.12,576313408.43,270733822.48,25936420808.82,3895138594.32,3895138594.32,,2975958328.2,90326169.21,,,,40297528320.47,5000000.0,,,,147619.05,,,,33026115416.28,,,,,,64250659.44,398918194.91,220302438.64,625634790.69,115942072918.8,,5530072948.0,4504383561.64,,4504383561.64,11289159557.43,,1348110002.11,,2414554923.33,5576289883.24,,6779751404.58,,37442322280.33,104745747.03,37547068027.36,153489140946.16,定期报告,未审计,20240430,CNY,合并期末,2024-04-29T17:37:35
20231231,,42349522071.26,33764562263.64,6016105291.89,5272310878.78,,29091136744.22,,32945269949.68,1375196531.2,1485256683.17,1485256683.17,,,,,,3119195198.55,,,,,623586962.6,,,1839090631.06,104815.05,,49039504104.25,61516773.31,,,1830146840.99,664089905.17,1166056935.82,,1166056935.82,7960498.61,,1174017434.43,,337732577.62,99812714.2,52921408.6,,,,1020601841.94,98866192.45,170729437925.48,,,,3094164973.13,7002672763.93,1042455749.19,206191816.35,34665297970.48,4133469533.74,4133469533.74,,2933994496.35,205999951.37,,,,40903166228.61,,,,,147619.05,,,,40415676407.11,,,,,,56742690.07,335196120.61,252415191.14,711018971.74,135958610482.87,,5529961478.0,3429160700.99,,2500000000.0,10360391318.23,,943657487.24,,2414554923.33,5573752870.85,,6410601882.23,,34662080660.87,108746781.74,34770827442.61,170729437925.48,定期报告,是,20250429,CNY,合并期末,2024-04-26T19:47:03
