报告日,营业收入,净利息收入,利息收入,利息支出,手续费及佣金净收入,手续费及佣金收入,手续费及佣金支出,中间业务净收入,中间业务收入,中间业务支出,净交易收入,衍生金融工具交易净收入,投资收益,对联营公司的投资收益,以摊余成本计量的金融资产终止确认产生的收益,汇兑收益,租赁收入,净敞口套期收益,公允价值变动收益/(损失),其他业务收入,资产处置收益,其他收益,营业支出,营业税金及附加,业务及管理费用,资产减值损失,信用减值损失,其他资产减值损失,折旧费,提取呆账准备,研发费用,其他业务支出,营业利润,加:营业外收入,非流动资产处置利得,减:营业外支出,非流动资产处置损失,利润总额,减:所得税,未确认投资损失,净利润,持续经营净利润,终止经营净利润,归属于母公司的净利润,少数股东权益,加:年初未分配利润,其他因素调整,可供分配的利润,一般风险准备转入,盈余公积转入,减:提取法定盈余公积,提取法定公益金,提取一般风险准备,提取信托赔偿准备金,盈余公积补亏,提取职工奖福基金,应付永续债利息,其他,可供股东分配的利润,减:应付优先股股利,提取任意盈余公积,应付普通股股利,转作股本的普通股股利,未分配利润,其他综合收益,归属于母公司所有者的其他综合收益,（一）以后不能重分类进损益的其他综合收益,重新计量设定受益计划变动额,权益法下不能重分类进损益的其他综合收益,其他权益工具投资公允价值变动,企业自身信用风险公允价值变动,（二）以后将重分类进损益的其他综合收益,权益法下重分类进损益的其他综合收益,可供出售金融资产公允价值变动损益,其他债权投资公允价值变动,金融资产重分类计入其他综合收益的金额,其他债权投资信用减值准备,持有至到期投资重分类为可供出售金融资产损益,现金流量套期储备,现金流量套期损益的有效部分,外币财务报表折算差额,归属于少数股东的其他综合收益,综合收益总额,归属于母公司所有者的综合收益总额,归属于少数股东的综合收益总额,基本每股收益,稀释每股收益,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,3605190414.0,2564576624.0,5440834474.0,2876257850.0,402507538.0,428411312.0,25903774.0,,,,159786995.0,,403487273.0,16492491.0,76076895.0,159786995.0,,,53206567.0,19120535.0,-291670.0,2796552.0,1545922996.0,36603114.0,1016653299.0,,479144645.0,,,,,13521938.0,2059267418.0,5092842.0,,5836709.0,,2058523551.0,312337680.0,,1746185871.0,,,1682216061.0,63969810.0,,,,,,,,,,,,,,,,,,,,213824749.0,213824749.0,,,,,,213824749.0,-350675.0,,289004446.0,,-74829022.0,,,,,,1960010620.0,1896040810.0,63969810.0,0.35,0.35,定期报告,未审计,20260429,CNY,合并期末,2026-04-28T20:58:03
20251231,12355561062.0,8659865701.0,20734252848.0,12074387147.0,1065657969.0,1194237171.0,128579202.0,,,,239282159.0,,2730882995.0,60916819.0,419890983.0,239282159.0,,,-557309613.0,145426708.0,30093669.0,41661474.0,5739292656.0,153079152.0,4279043186.0,,1181630740.0,,,,,125539578.0,6616268406.0,16930517.0,,29774056.0,,6603424867.0,1024985941.0,,5578438926.0,,,5348303234.0,230135692.0,15443704712.0,,20792007946.0,,,318789730.0,,1477322892.0,,,,313800000.0,,18995895324.0,,,1832971425.0,,16849123899.0,-1260123985.0,-1260123985.0,,,,,,-1260123985.0,-51101895.0,,-1215139334.0,,6117244.0,,,,,,4318314941.0,4088179249.0,230135692.0,1.14,1.13,定期报告,是,20260429,CNY,合并期末,2026-04-28T21:02:02
20250930,9477267299.0,6507737475.0,15591347887.0,9083610412.0,931577117.0,1002764259.0,71187142.0,,,,157657026.0,,1947277944.0,62787589.0,420415395.0,157657026.0,,,-234201482.0,126901626.0,267047.0,40050546.0,3937428768.0,120467827.0,2965665549.0,,742687499.0,,,,,108607893.0,5539838531.0,11895617.0,,11114053.0,,5540620095.0,888993127.0,,4651626968.0,,,4477086035.0,174540933.0,,,,,,,,,,,,,,,,,,,,-1282517343.0,-1282517343.0,,,,,,-1282517343.0,-38207407.0,,-1254228360.0,,9918424.0,,,,,,3369109625.0,3194568692.0,174540933.0,0.96,0.95,定期报告,未审计,20251031,CNY,合并期末,2025-10-30T21:18:05
20250630,6503726012.0,4262781618.0,10392855657.0,6130074039.0,734632131.0,773454980.0,38822849.0,,,,92291071.0,,1301736885.0,41963633.0,232149130.0,92291071.0,,,-38638134.0,111034055.0,267047.0,39621339.0,2701520691.0,80158075.0,1954793882.0,,570883337.0,,,,,95685397.0,3802205321.0,11755841.0,,4304515.0,,3809656647.0,570805272.0,,3238851375.0,,,3134361965.0,104489410.0,15443704712.0,,18578066677.0,,,304155597.0,,1108302.0,,,,233100000.0,,18272802778.0,,,894132402.0,,17145570376.0,-460337403.0,-460337403.0,,,,,,-460337403.0,-11972144.0,,-444349429.0,,-4015830.0,,,,,,2778513972.0,2674024562.0,104489410.0,0.66,0.65,定期报告,未审计,20250829,CNY,合并期末,2025-08-28T19:14:05
20250331,3249636546.0,2106784985.0,5195417194.0,3088632209.0,496734096.0,509433402.0,12699306.0,,,,59465387.0,,700140499.0,16349141.0,232149130.0,59465387.0,,,-228902987.0,81299256.0,-996530.0,35111840.0,1348166303.0,33916374.0,978977525.0,,268294017.0,,,,,66978387.0,1901470243.0,8929556.0,,4112093.0,,1906287706.0,296407441.0,,1609880265.0,,,1554338583.0,55541682.0,,,,,,,,,,,,,,,,,,,,-765526644.0,-765526644.0,,,,,,-765526644.0,-13995912.0,,-723003347.0,,-28527385.0,,,,,,844353621.0,788811939.0,55541682.0,0.34,0.32,定期报告,未审计,20260429,CNY,合并期末,2025-04-28T22:40:09
20241231,12223786393.0,7905110078.0,20808845406.0,12903735328.0,1059248432.0,1179753630.0,120505198.0,,,,18791987.0,,2325804599.0,66935589.0,48474807.0,18791987.0,,,723610762.0,129904533.0,7598575.0,53717427.0,5834250354.0,136395918.0,4454482966.0,,1127890151.0,,,,,115481319.0,6389536039.0,11857025.0,,25779745.0,,6375613319.0,1102657615.0,,5272955704.0,,,5068207399.0,204748305.0,13723272898.0,,18791480297.0,,,83171931.0,,848510698.0,,,,233100000.0,,17859797668.0,,,2182992956.0,,15443704712.0,691132692.0,691132692.0,,,,,,691132692.0,26290477.0,,665101014.0,,-258799.0,,,,,,5964088396.0,5759340091.0,204748305.0,1.31,1.14,定期报告,是,20260429,CNY,合并期末,2025-04-28T23:06:11
20240930,9289236263.0,5975740388.0,15631137877.0,9655397489.0,926903742.0,992655065.0,65751323.0,,,,-21612397.0,,1788393736.0,60840000.0,48474807.0,-21612397.0,,,460150888.0,106691054.0,6311160.0,46657692.0,4103554969.0,110694015.0,3248945269.0,,650227494.0,,,,,93688191.0,5185681294.0,4698655.0,,8470257.0,,5181909692.0,852033260.0,,4329876432.0,,,4179498995.0,150377437.0,,,,,,,,,,,,,,,,,,,,201422340.0,201422340.0,,,,,,201422340.0,12208268.0,,-12021509.0,,201235581.0,,,,,,4531298772.0,4380921335.0,150377437.0,1.08,0.93,定期报告,未审计,20251031,CNY,合并期末,2024-10-30T19:40:03
20240630,6387985925.0,4149919427.0,10486158509.0,6336239082.0,673993256.0,719295428.0,45302172.0,,,,-79533888.0,,1182234927.0,39800000.0,48474807.0,-79533888.0,,,326981336.0,86198242.0,6311160.0,41881465.0,2804811828.0,73075543.0,2156890494.0,,499094136.0,,,,,75751655.0,3583174097.0,1213421.0,,3410143.0,,3580977375.0,537162106.0,,3043815269.0,,,2952705454.0,91109815.0,13723272898.0,,16675978352.0,,,,,1645812.0,,,,233100000.0,,16674332540.0,,,1430030079.0,,15011202461.0,487049456.0,487049456.0,,,,,,487049456.0,,,318485213.0,,168564243.0,,,,,,3530864725.0,3439754910.0,91109815.0,0.74,0.64,定期报告,未审计,20250829,CNY,合并期末,2024-08-30T16:50:05
20240331,3225008986.0,2118946155.0,5289688402.0,3170742247.0,405571732.0,424357753.0,18786021.0,,,,-62458816.0,,475917338.0,15947418.0,48474807.0,-62458816.0,,,207413258.0,67996392.0,,11622927.0,1439222666.0,37424756.0,1073215873.0,,269598168.0,,,,,58983869.0,1785786320.0,672373.0,,3171392.0,,1783287301.0,278021276.0,,1505266025.0,,,1455406827.0,49859198.0,,,,,,,,,,,,,,,,,,,,154474537.0,154474537.0,,,,,,154474537.0,15735449.0,,143754722.0,,-5015634.0,,,,,,1659740562.0,1609881364.0,49859198.0,0.37,0.31,定期报告,未审计,20250429,CNY,合并期末,2024-04-26T20:20:05
20231231,11866120329.0,8482893044.0,20317627244.0,11834734200.0,1238596558.0,1390380704.0,151784146.0,,,,-131835128.0,,1766666917.0,79363133.0,95709438.0,-131835128.0,,,264651526.0,63696160.0,2103734.0,179347518.0,6125483676.0,115565849.0,4306573575.0,,1647963768.0,,,,,55380484.0,5740636653.0,7754026.0,,10504210.0,,5737886469.0,940757894.0,,4797128575.0,,,4600648945.0,196479630.0,11564032218.0,,16164681163.0,,,3706.0,,1117381776.0,,,,114000000.0,,15047295681.0,,,1210022783.0,,13723272898.0,672721011.0,672721011.0,,,,,,672721011.0,2158437.0,,505786668.0,,164775906.0,,,,,,5469849586.0,5273369956.0,196479630.0,1.22,1.07,定期报告,是,20250429,CNY,合并期末,2024-04-26T21:15:05
