报告日,营业总收入,营业收入,利息收入,已赚保费,手续费及佣金收入,房地产销售收入,其他业务收入,营业总成本,营业成本,手续费及佣金支出,房地产销售成本,退保金,赔付支出净额,提取保险合同准备金净额,保单红利支出,分保费用,其他业务成本,营业税金及附加,研发费用,销售费用,管理费用,财务费用,利息费用,利息支出,投资收益,对联营企业和合营企业的投资收益,以摊余成本计量的金融资产终止确认产生的收益,汇兑收益,净敞口套期收益,公允价值变动收益,期货损益,托管收益,补贴收入,其他收益,资产减值损失,信用减值损失,其他业务利润,资产处置收益,营业利润,营业外收入,非流动资产处置利得,营业外支出,非流动资产处置损失,利润总额,所得税费用,未确认投资损失,净利润,持续经营净利润,终止经营净利润,归属于母公司所有者的净利润,被合并方在合并前实现净利润,少数股东损益,其他综合收益,归属于母公司所有者的其他综合收益,（一）以后不能重分类进损益的其他综合收益,重新计量设定受益计划变动额,权益法下不能转损益的其他综合收益,其他权益工具投资公允价值变动,企业自身信用风险公允价值变动,（二）以后将重分类进损益的其他综合收益,权益法下可转损益的其他综合收益,可供出售金融资产公允价值变动损益,其他债权投资公允价值变动,金融资产重分类计入其他综合收益的金额,其他债权投资信用减值准备,持有至到期投资重分类为可供出售金融资产损益,现金流量套期储备,现金流量套期损益的有效部分,外币财务报表折算差额,其他,归属于少数股东的其他综合收益,综合收益总额,归属于母公司所有者的综合收益总额,归属于少数股东的综合收益总额,基本每股收益,稀释每股收益,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,2542799029.66,2542799029.66,,,,,,2492047899.82,2244911512.03,,,,,,,,,16482664.03,86672725.57,6060490.47,54565434.5,83355073.22,82600970.83,,-1532504.54,-1533390.42,,,,,,,,11473948.83,-1573668.88,-7732870.41,,70335.92,51456370.76,76879.16,,356311.82,,51176938.1,9048406.23,,42128531.87,42128531.87,,40089718.43,,2038813.44,-41732200.89,-41732200.89,-44078527.14,,,-44078527.14,,2346326.25,,,,,,,,,2346326.25,,,396330.98,-1642482.46,2038813.44,0.0233,0.0233,定期报告,未审计,20260423,CNY,合并期末,2026-04-22T19:08:17
20251231,7328097724.7,7328097724.7,,,,,,7515675454.01,6614676521.87,,,,,,,,,51253865.13,244263062.67,34872011.29,221245467.83,349364525.22,270087958.9,,46239454.63,14280972.24,,,,,,,,51214591.33,-43096562.03,-3805249.65,,-5986713.59,-143012208.62,2716812.13,,152435823.9,,-292731220.39,19475208.78,,-312206429.17,-312206429.17,,-298505714.31,,-13700714.86,228770822.47,228770822.47,230777185.49,,,230777185.49,,-2006363.02,,,,,,,696740.0,,-2703103.02,,,-83435606.7,-69734891.84,-13700714.86,-0.1734,-0.1734,定期报告,是,20260423,CNY,合并期末,2026-04-22T19:10:05
20250930,4792782286.06,4792782286.06,,,,,,4922116012.83,4309590573.09,,,,,,,,,36124296.7,161801977.51,25380505.74,156030369.24,233188290.55,188800445.99,,14982946.47,13364102.74,,,,,,,,35037057.71,-5550202.57,-106729.98,,-3214490.27,-88185145.41,376534.75,,775657.5,,-88584268.16,9482859.36,,-98067127.52,-98067127.52,,-93741245.69,,-4325881.83,285284680.95,285284680.95,286850253.4,,,286850253.4,,-1565572.45,,,,,,,,,-1565572.45,,,187217553.43,191543435.26,-4325881.83,-0.0544,-0.0544,定期报告,未审计,20251023,CNY,合并期末,2025-10-22T17:30:04
20250630,3015515774.5,3015515774.5,,,,,,3120545918.48,2725369052.73,,,,,,,,,23241403.29,99710400.31,14780651.21,107802625.05,149641785.89,120891508.01,,11028582.7,10824913.08,,,,,,,,29278389.06,-5193340.92,-2477561.17,,-12415.83,-72406490.14,226049.88,,712742.68,,-72893182.94,7958803.13,,-80851986.07,-80851986.07,,-72432934.74,,-8419051.33,17107411.78,17107411.78,18094598.25,,,18094598.25,,-987186.47,,,,,,,696740.0,,-1683926.47,,,-63744574.29,-55325522.96,-8419051.33,-0.0421,-0.0421,定期报告,未审计,20250830,CNY,合并期末,2025-08-29T17:10:05
20250331,1409357659.98,1409357659.98,,,,,,1461382823.73,1269366365.0,,,,,,,,,11376819.71,46291126.68,6511976.66,54684613.96,73151921.72,54560617.55,,8626124.89,8456694.3,,,,,,,,18594134.92,-3893283.75,-7340203.5,,3380.73,-36035010.46,68394.02,,44884.01,,-36011500.45,6515407.44,,-42526907.89,-42526907.89,,-37672258.1,,-4854649.79,94924448.55,94924448.55,95030639.99,,,95030639.99,,-106191.44,,,,,,,276170.0,,-382361.44,,,52397540.66,57252190.45,-4854649.79,-0.0219,-0.0219,定期报告,未审计,20260423,CNY,合并期末,2025-04-21T20:42:06
20241231,5277316433.27,5277316433.27,,,,,,5656293782.98,4944244290.18,,,,,,,,,41960115.83,151144462.26,34909026.22,212870793.81,271165094.68,247654652.65,,3356167.07,-7126015.3,,,,-3610830.0,,,,85519933.56,-69119778.98,-16506126.89,,-1657.09,-379339642.04,3495428.1,,1838966.45,,-377683180.39,-8809833.3,,-368873347.09,-368873347.09,,-351685960.57,,-17187386.52,-35346854.13,-35346854.13,-36998131.89,,,-36998131.89,,1651277.76,,,,,,,-639675.0,,2290952.76,,,-404220201.22,-387032814.7,-17187386.52,-0.2029,-0.2029,定期报告,是,20260423,CNY,合并期末,2025-04-21T20:42:06
20240930,3709361323.87,3709361323.87,,,,,,3969035361.8,3459613636.58,,,,,,,,,30076666.46,130915934.33,26054671.23,133728148.91,188646304.29,183566583.02,,9871861.69,-1201604.66,,,,-3610830.0,,,,52524559.67,-22414896.5,-3175457.2,,13739.16,-226465061.11,3041629.15,,1361273.81,,-224784705.77,3022898.83,,-227807604.6,-227807604.6,,-217483323.65,,-10324280.95,-103467744.2,-103467744.2,-102983572.68,,,-102983572.68,,-484171.52,,,,,,,57065.0,,-541236.52,,,-331275348.8,-320951067.85,-10324280.95,-0.1245,-0.1245,定期报告,未审计,20251023,CNY,合并期末,2024-10-29T17:22:05
20240630,2386225096.16,2386225096.16,,,,,,2577133520.35,2255206731.28,,,,,,,,,19364056.44,72408852.56,18022886.32,85433216.33,126697777.42,120588819.48,,7802984.24,-1428064.72,,,,-3610830.0,,,,43005675.4,-21729261.05,-2697813.24,,-176451.38,-168314120.22,1882057.0,,1314083.96,,-167746147.18,-2367725.21,,-165378421.97,-165378421.97,,-159089200.93,,-6289221.04,-77508729.29,-77508729.29,-77732048.44,,,-77732048.44,,223319.15,,,,,,,-490090.0,,713409.15,,,-242887151.26,-236597930.22,-6289221.04,-0.0911,-0.0911,定期报告,未审计,20250830,CNY,合并期末,2024-08-27T17:57:05
20240331,1049451204.12,1049451204.12,,,,,,1158659034.6,995432874.54,,,,,,,,,8609417.44,24322219.8,9495769.34,51536073.64,69262679.84,66138622.45,,1172105.77,-2110807.17,,,,-720520.0,,,,20545832.74,-2571475.84,-2790378.31,,-225315.47,-93797581.59,877231.02,,1138646.53,,-94058997.1,1275276.69,,-95334273.79,-95334273.79,,-94390655.97,,-943617.82,-52804612.8,-52804612.8,-50382335.96,,,-50382335.96,,-2422276.84,,,,,,,-2504382.5,,82105.66,,,-148138886.59,-147195268.77,-943617.82,-0.054,-0.054,定期报告,未审计,20250422,CNY,合并期末,2024-04-29T18:08:13
20231231,4571598482.3,4571598482.3,,,,,,4657852343.0,4096349523.29,,,,,,,,,32572304.21,151317049.71,33567213.24,141306430.61,202739821.94,222442380.02,,81413610.66,892750.5,70000000.0,,,3610830.0,,,,117758737.98,-13447996.8,-9596363.74,,259025.08,93743982.48,4385385.38,,2222762.07,,95906605.79,47160724.28,,48745881.51,48745881.51,,27313484.06,,21432397.45,-4566401.59,-4566401.59,-4439496.8,,,-4439496.8,,-126904.79,,,,,,,1709185.0,,-1836089.79,,,44179479.92,22747082.47,21432397.45,0.0166,0.0166,定期报告,是,20250422,CNY,合并期末,2024-04-09T20:12:03
