报告日,资产,货币资金,现金,银行存款,存放中央银行款项,存放同业款项,存放联行款项,贵金属,结算备付金,应收保证金,融出资金,拆出资金,拆放同业,拆放金融性公司,交易性金融资产,买入返售金融资产,应收票据及应收账款,应收票据,应收账款,应收款项融资,预付账款,应收股利,应收利息,应收手续费及佣金,应收租赁款,应收投资款项,其他应收款,其他应收款合计,发放贷款及垫款总额,贷款损失准备,发放贷款及垫款净额,代理证券,存货净额,待处理抵债资产总额,抵债资产减值准备,待处理抵债资产净额,待摊费用,划分为持有待售的资产,可供出售金融资产,衍生金融资产,以公允价值计量且其变动计入其他综合收益的金融资产,以摊余成本计量的金融资产,长期股权投资,投资性房地产,债权投资,其他债权投资,其他权益工具投资,其他非流动金融资产,长期应收款,未确认的收益,固定资产原值,累计折旧,固定资产净值,固定资产减值准备,固定资产净额,在建工程合计,在建工程,固定资产及清理合计,固定资产清理,固定资产合计,融资租赁资产,预付租赁资产款,合同资产,使用权资产,无形资产,商誉,长期待摊费用,递延税款借项,其他长期资产,一年内到期的非流动资产,其他流动资产,流动资产合计,非流通资产合计,资产总计,流动负债,短期借款,拆入资金,向中央银行借款,同业存放款项,联行存放款项,吸收存款,交易性金融负债,卖出回购金融资产款,应付票据及应付账款,应付票据,应付账款,预收账款,应付职工薪酬,应付工资,应付福利费,应交税金,应付股利,应付利息,其他应付款,其他应付款合计,应付手续费及佣金,应付代理证券款,应付保证金,其他应交款,委托资金,衍生金融负债,合同负债,预提费用,预计负债,递延收益,租赁负债,一年内到期的长期负债,其他流动负债,流动负债合计,长期借款,应付债券款,应付债券：优先股,应付债券：永续债,长期应付职工薪酬,长期应付款,长期应付款合计,专项应付款,递延税款贷项,其他负债,其他长期负债,长期负债合计,负债合计,所有者权益,实收资本净额,其他权益工具,优先股,永续债,资本公积,其他综合收益,库存股,盈余公积,一般风险准备,信托赔偿准备金,未分配利润,外币折算差额,归属于母公司的股东权益合计,少数股东权益,所有者权益合计,负债及股东权益总计,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,,871642748.5,,,,,,,,,,,,,9560333735.19,127946296.59,,,42635069.19,,53992.26,,26660884.0,,,,265744898.38,,,,832919943.32,,,,,,,,,,,,3952718986.18,,1407306226.89,,2395511052.09,,,,,,,,19616312.33,,,,,19616312.33,,,,125749627.68,32688685.43,,757055.43,2442925477.5,4155500000.0,,139811175.46,,,26400522166.42,,,,,,,,987523689.24,755566408.98,,,34531922.98,46652467.45,109475635.97,,,17161472.75,905251.45,,8164916709.26,,,,,,,,10115015.46,,207360206.47,,119576520.92,,606900.93,,,,,,,,,,,,,,10454392201.86,,9844448254.0,,,,13480837555.4,225743639.31,,984876518.04,730980755.11,,-9972886839.53,,15293999882.33,652130082.23,15946129964.56,26400522166.42,定期报告,未审计,20260429,CNY,合并期末,2026-04-28T18:28:04
20251231,,538374441.4,,,,,,,,,,,,,9764614501.81,239320115.56,,,40012396.16,,,12637441.88,26660884.0,,,,274053555.92,,5378353590.4,4545433647.08,832919943.32,,,,,,,,,,,,,,1458035715.1,,5082636853.45,,,,411999037.59,129934775.86,282064261.73,261299101.84,20765159.89,,,,,20765159.89,,,,132659779.32,33508412.45,,805329.72,2675457482.97,4155500000.0,,136811175.46,,,25424773188.41,,,,,,,,1111876606.01,483629013.64,,,45973666.2,19765675.0,147608344.52,,,58459842.94,905251.45,,8306094267.71,,,,,,,,34596755.85,,216472280.64,,125547068.55,,462597.8,,,,,,,,,,,,,,10551391370.31,,9844448254.0,,,,13480837555.4,540303336.08,,984876518.04,730980755.11,,-11360508129.21,,14220938289.42,652443528.68,14873381818.1,25424773188.41,定期报告,是,20260429,CNY,合并期末,2026-04-22T21:43:07
20250930,,134587318.08,,,,,,,,,,,,,7791281941.41,500325588.25,,,232789824.74,,248748.82,,,,,,285844227.53,,,,681021300.79,,,,,,,,,,,,,,1888760579.69,,3597024439.98,,,,,,,,7176045.13,,7520207.83,,,14696252.96,,,,139940374.0,26946521.79,,332063.13,2727718789.18,4459236795.81,,201036226.83,,,22681790992.99,,,,,,,,791863122.09,365479739.24,,,101772096.96,19722217.93,147994258.91,,,5990965.77,,,6364697151.88,,,,,,,,4937104.1,,155954311.22,,139322105.03,,296226.25,,,,,,,,,,,,,,8098029299.38,,9844448254.0,,,,13480837555.4,273153844.39,,984876518.04,725326045.65,,-11428631139.43,,13880011078.05,703750615.56,14583761693.61,22681790992.99,定期报告,未审计,20251029,CNY,合并期末,2025-10-28T18:13:05
20250630,,134016649.53,,,,,,,,,,,,,9844591935.51,412904047.87,,,229088320.4,,206289.65,,26660884.0,,,,259081794.96,,5228138590.36,4547117289.57,681021300.79,,,,,,,,,,,,,,2006572449.39,,4011713031.44,,,,405651078.54,136572294.55,269078783.99,261299101.84,7779682.15,,6600541.08,,,14380223.23,,,,124013378.05,20849493.32,,355101.57,2626394115.98,4459236795.81,,267743004.88,,,25118828816.38,,,,,,,,840332091.2,477560598.75,,,101746976.8,19765675.0,149792557.52,,,7214434.29,905251.45,,8586984417.05,,,,,,,,5106011.12,,,,118499340.05,,306360.67,,,,,,,,,,,,,,10308213713.9,,9844448254.0,,,,13480837555.4,514648724.28,,984876518.04,725326045.65,,-11443626513.57,,14106510583.8,704104518.68,14810615102.48,25118828816.38,定期报告,未审计,20250813,CNY,合并期末,2025-08-12T21:08:03
20250331,,182562085.9,,,,,,,,,,,,,8098283132.15,702813798.35,,,232291590.63,,292645.3,,26660884.0,,,,262619065.4,,,,681021300.79,,,,,,,,,,,,,,1994475270.93,,3118832297.33,,,,,,,,8330688.45,,7600181.48,,,15930869.93,,,,130012380.28,15326072.78,,378140.01,2695014430.11,4645730874.18,,,,,22802244838.07,,,,,,,,927807278.89,335333612.1,,,101296347.04,19765675.0,152653638.54,,,6716852.57,905251.45,,6561418968.39,,,,,,,,5637678.37,,,,124677250.82,,,,,,,,,,,,,338260.7,,,8236550813.87,,9844448254.0,,,,13480837555.4,284285568.92,,984876518.04,725326045.65,,-11458559225.61,,13861214716.4,704479307.8,14565694024.2,22802244838.07,定期报告,未审计,20250425,CNY,合并期末,2025-04-24T20:43:06
20241231,,402120757.07,,,,,,,,,,,,,11184807702.61,223990425.76,,,226652141.37,,30747.47,,26660884.0,,,,253904492.43,,5280026983.84,4557822494.25,722204489.59,,,,,,,,,,,,,,2021440332.78,,1388164113.01,,,,405741764.79,135418007.22,270323757.57,261299101.84,9024655.73,,7720852.7,,,16745508.43,,,,5956320.85,13282706.56,,401178.45,2745968264.96,4459236795.81,,186494078.37,,,23878060939.52,,,,,,,,923256007.13,371171421.66,,,106882439.28,19765675.0,193331543.62,,,4727206.45,905251.45,,7844412381.09,,,,,,,,6494203.75,,,,5919748.23,,389652.23,,,,,,,,,,,389652.23,,,9477255529.89,,9844448254.0,,,,13480837555.4,145388129.14,,984876518.04,725326045.65,,-11484900934.75,,13695975567.48,704829842.15,14400805409.63,23878060939.52,定期报告,是,20260423,CNY,合并期末,2025-02-27T20:33:03
20240930,,95107635.64,,,,,,,,,,,,,10302072550.43,55197935.03,,,228639625.39,,464216.15,,26660884.0,,,,301475082.86,,,,722204489.59,,,,,,,,,,,,,,2239478302.33,,1235968354.16,,,,,,,,9134074.88,,8521185.13,,,17655260.01,,,,5003670.05,11728118.7,,424216.89,2745977485.5,4660012270.56,,,,,22648070097.29,,,,,,,,875305256.88,290596987.04,,,334639501.63,19765675.0,192616020.87,,,8997032.25,905251.45,89567.98,6610574846.94,,,,,,,,,,158483.22,,2342522.14,,,,,,,,,,,,,2787907.05,,,8338779052.45,,9844448254.0,,,,13480837555.4,65054066.35,,984876518.04,722598533.68,,-11493833982.95,,13603980944.52,705310100.32,14309291044.84,22648070097.29,定期报告,未审计,20241009,CNY,合并期末,2024-10-08T18:13:02
20240630,,61227547.04,,,,,,,,,,,,,11126302111.54,5902011.8,,,225766711.05,,1150968.51,,26660884.0,,,,271877099.38,,5349574929.04,4627370439.45,722204489.59,,,,,,,,,,,,,,1302017745.53,,1171661299.63,,,,402834466.07,134226155.06,268608311.01,261299101.84,7309209.17,,11027384.42,,142298.66,18478892.25,,,,5467502.13,5968131.25,,301995.4,2874431437.53,4662668231.47,,,,,22482087058.1,,,,,,,,856382920.39,110998293.5,,,114185150.84,19765675.0,194699323.6,,,1599048.22,905251.45,37359.69,7329191556.94,,,,,,,,,,158483.22,,,,,,,,,,,,,,,5812361.82,,,8633735424.67,,9844448254.0,,,,13073909164.46,16823775.45,,984876518.04,722598533.68,,-11499794503.38,,13142861742.25,705489891.18,13848351633.43,22482087058.1,定期报告,未审计,20240809,CNY,合并期末,2024-08-08T18:13:03
20240331,,60458107.26,,,,,,,,,,,,,11836605488.63,6502297.45,,,438757400.91,,856080.38,,26660884.0,,,,272682354.44,,,,722204489.59,,,,,,,,,,,,,,1198171904.79,,159004358.19,,,,,,,,5505013.76,,7201278.26,,,12706292.02,,,,6576252.87,5025505.17,,15208.02,2883184741.13,4662668231.47,,,,,22292079596.32,,,,,,,,825114093.57,,,,193712321.19,19765675.0,201944101.85,,,6217249.25,905251.45,,7225120674.2,,,,,,,,,,158483.22,,3236565.72,,,,,,,,,,,,,3739062.69,,,8479913478.14,,9844448254.0,,,,13073909164.46,-5118106.36,,984876518.04,722598533.68,,-11514686716.43,,13106027647.39,706138470.79,13812166118.18,22292079596.32,定期报告,未审计,20240425,CNY,合并期末,2024-04-24T21:38:03
20231231,,2447839425.02,,,,,,,,,,,,,9546373636.76,98054659.87,,,453145991.2,,,,26660884.0,,,,273502790.48,,5349574929.04,4627370439.45,722204489.59,,,,,,,,,,,,,,988488570.68,,165828500.0,,,,400841519.8,134209117.82,266632401.98,261299101.84,5333300.14,,7645268.84,,14269.96,12992838.94,,,,2393524.01,2185581.53,,60831.9,2886460619.38,4662668231.47,,,,,22288860574.83,,,,,,,,825114093.57,,,,200960870.41,19765675.0,221976319.27,,,17976522.21,905251.45,,6992476815.28,,,,,,,,,,210388298.73,,,,,,,,,,,,,,,2662285.88,,,8492226131.8,,9844448254.0,,,,13073909164.46,,,984876518.04,722598533.68,,-11535336497.94,,13090495972.24,706138470.79,13796634443.03,22288860574.83,定期报告,是,20250228,CNY,合并期末,2024-04-24T21:18:03
