报告日,营业收入,净利息收入,利息收入,利息支出,手续费及佣金净收入,手续费及佣金收入,手续费及佣金支出,租赁收入,投资收益,对联营公司的投资收益,以摊余成本计量的金融资产终止确认产生的收益,净敞口套期收益,公允价值变动收益/(损失),汇兑收益,其他业务收入,资产处置收益,其他收益,营业总收入,营业支出,营业费用,营业税金及附加,业务及管理费用,管理费用,财务费用,研发费用,营业总成本,资产减值损失,信用减值损失,其他资产减值损失,其他业务支出,营业利润,加:营业外收入,非流动资产处置利得,减:营业外支出,非流动资产处置损失,利润总额,减:所得税,净利润,持续经营净利润,终止经营净利润,归属于母公司的净利润,少数股东权益,加:年初未分配利润,其他因素调整,可供分配的利润,减:提取法定盈余公积,提取法定公益金,提取一般风险准备,提取信托赔偿准备金,应付永续债利息,其他,可供股东分配的利润,减:应付优先股股利,提取任意盈余公积,应付普通股股利,转作股本的普通股股利,未分配利润,其他综合收益,归属于母公司所有者的其他综合收益,（一）以后不能重分类进损益的其他综合收益,重新计量设定受益计划变动额,权益法下不能重分类进损益的其他综合收益,其他权益工具投资公允价值变动,企业自身信用风险公允价值变动,（二）以后将重分类进损益的其他综合收益,权益法下重分类进损益的其他综合收益,可供出售金融资产公允价值变动损益,其他债权投资公允价值变动,金融资产重分类计入其他综合收益的金额,其他债权投资信用减值准备,现金流量套期储备,现金流量套期损益的有效部分,外币财务报表折算差额,归属于少数股东的其他综合收益,综合收益总额,归属于母公司所有者的综合收益总额,归属于少数股东的综合收益总额,基本每股收益,稀释每股收益,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,41585915.47,11714532.48,16404507.57,4689975.09,25181407.9,25181407.9,,,40606065.54,,,,35755363.14,,,,281572.13,,68050590.85,,1026023.01,62334592.75,,,,,,858777.87,,,51037103.3,1315452332.18,,11329512.5,,1355159922.98,337378363.16,1017781559.82,1017781559.82,,1018095006.27,-313446.45,,,,,,,,,,,,,,,,54966586.64,54966586.64,54966586.64,,,54966586.64,,,,,,,,,,,,1072748146.46,1073061592.91,-313446.45,0.1034,0.1034,定期报告,未审计,20260429,CNY,合并期末,2026-04-28T18:28:02
20251231,1046805120.47,54845878.45,69865328.96,15019450.51,976939791.51,976939791.51,,,350937397.87,,,,-394937465.25,,,-679344.26,210134.61,,271403106.4,,8325305.54,248058350.35,,,,,-287892768.2,-238244578.75,,,204795390.09,,,190913328.54,,13882061.55,-50769512.5,64651574.05,64651574.05,,117037887.52,-52386313.47,-11484900934.75,,-11367863047.23,,,,5654709.46,,,-11373517756.69,,,,,-11360508129.21,407924834.42,407924834.42,407924834.42,,,407924834.42,,,,,,,,,,,,472576408.47,524962721.94,-52386313.47,0.0119,0.0119,定期报告,是,20260423,CNY,合并期末,2026-04-22T22:13:03
20250930,188626321.76,43857448.62,53241566.48,9384117.86,135384755.28,135384755.28,,,273558461.91,,,,-190603137.42,,,-21085.83,210134.61,,184484440.19,,3355166.72,171745155.61,,,,,,57396918.54,,,144683173.38,,,118548940.52,,26134232.86,-24353049.42,50487282.28,50487282.28,,51566508.87,-1079226.59,,,,,,,,,,,,,,,,127765715.25,127765715.25,127765715.25,,,127765715.25,,,,,,,,,,,,178252997.53,179332224.12,-1079226.59,0.0052,0.0052,定期报告,未审计,20251029,CNY,合并期末,2025-10-28T18:13:03
20250630,149734198.32,30248185.07,37091851.55,6843666.48,112642346.77,112642346.77,,,145751898.79,,,,-103369105.99,,,-21085.83,210134.61,,121908576.39,,2383511.34,112681398.57,,,,,,1047226.71,,,71444690.22,,,35400604.8,,36044085.42,-3520276.87,39564362.29,39564362.29,,40289685.76,-725323.47,-11484900934.75,,-11444611248.99,,,,,,,-11444611248.99,,,,,-11443626513.57,369260595.14,369260595.14,369260595.14,,,369260595.14,,,,,,,,,,,,408824957.43,409550280.9,-725323.47,0.0041,0.0041,定期报告,未审计,20250813,CNY,合并期末,2025-08-12T21:18:05
20250331,67954405.22,18439927.92,21289566.77,2849638.85,46664838.45,46664838.45,,,51883086.45,,,,-9344821.33,,,-22502.03,210134.61,,60295312.95,,1727272.24,55718401.86,,,,,,-2122027.74,,,48262962.23,1406.2,,17618505.38,,30645863.05,4654688.26,25991174.79,25991174.79,,26341709.14,-350534.35,,,,,,,,,,,,,,,,138897439.78,138897439.78,138897439.78,,,138897439.78,,,,,,,,,,,,164888614.57,165239148.92,-350534.35,0.0027,0.0027,定期报告,未审计,20260429,CNY,合并期末,2025-04-24T20:23:03
20241231,310333741.81,27579372.08,32514877.42,4935505.34,273134179.71,273134179.71,,,129618341.15,,,,-107828987.66,,,-185985.19,681052.32,,256269841.14,,7361534.24,239288116.88,,,,,,92547985.28,,,168896306.57,216860.56,,137633575.91,,31479591.22,-20374855.3,51854446.52,51854446.52,,53163075.16,-1308628.64,-11535336497.94,,-11482173422.78,,,2727511.97,2727511.97,,,-11484900934.75,,,,,-11484900934.75,145388129.14,145388129.14,145388129.14,,,145388129.14,,,,,,,,,,,,197242575.66,198551204.3,-1308628.64,0.0054,0.0054,定期报告,是,20260423,CNY,合并期末,2025-02-27T20:33:02
20240930,250214803.96,19477663.78,20917804.79,1440141.01,229296999.17,229296999.17,,,89369056.72,,,,35444453.73,,,,681052.32,,173500626.85,,2473716.98,169586768.86,,,,,,-16301014.15,,,185907725.73,215559.3,,139055195.41,,47068089.62,6393945.1,40674144.52,40674144.52,,41502514.99,-828370.47,,,,,,,,,,,,,,,,65054066.35,65054066.35,65054066.35,,,65054066.35,,,,,,,,,,,,105728210.87,106556581.34,-828370.47,0.0042,0.0042,定期报告,未审计,20251029,CNY,合并期末,2024-10-08T17:43:02
20240630,80985749.89,6423623.15,6659409.96,235786.81,74326339.93,74326339.93,,,31092903.56,,,,88135248.96,,,,231460.92,,111533490.27,,920621.63,110377081.83,,,,,,-11969370.28,,,76942502.78,215559.3,,35843390.43,,41314671.65,6421256.7,34893414.95,34893414.95,,35541994.56,-648579.61,-11535336497.94,,-11499794503.38,,,,,,,-11499794503.38,,,,,-11499794503.38,16823775.45,16823775.45,16823775.45,,,16823775.45,,,,,,,,,,,,51717190.4,52365770.01,-648579.61,0.0036,0.0036,定期报告,未审计,20250813,CNY,合并期末,2024-08-08T17:38:02
20240331,43632530.82,3545335.9,3620765.12,75429.22,40011765.7,40011765.7,,,5914028.87,,,,47749362.29,,,,231460.92,,51901467.41,,161176.57,51664861.62,,,,,,-2176484.36,,,43449431.13,118959.3,,17936695.22,,25631695.21,4981913.7,20649781.51,20649781.51,,20649781.51,,,,,,,,,,,,,,,,,-5118106.36,-5118106.36,-5118106.36,,,-5118106.36,,,,,,,,,,,,15531675.15,15531675.15,,0.0021,0.0021,定期报告,未审计,20250425,CNY,合并期末,2024-04-24T20:38:02
20231231,334234130.92,16553470.49,29065851.83,12512381.34,305168279.09,305168279.09,,,99539692.07,,,,-55011881.83,,,,46372019.23,,200739354.5,,3678758.82,184548214.34,,,,,,46341043.69,,,270735649.58,386040.7,,253336829.33,,17784860.95,-24393356.77,42178217.72,42178217.72,,42479536.84,-301319.12,-11575656086.78,,-11533176549.94,,,2159948.0,,,,-11535336497.94,,,,,-11535336497.94,,,,,,,,,,,,,,,,,,42178217.72,42479536.84,-301319.12,0.0051,0.0051,定期报告,是,20250228,CNY,合并期末,2025-02-27T20:33:02
