报告日,资产,货币资金,其中：现金,其中：存放中央银行款项,存放同业款项,存放联行款项,贵金属,结算备付金,进出口押汇,拆出资金,其中：拆放同业,其中：拆放金融性公司,交易性金融资产,买入返售金融资产,应收票据及应收账款,应收账款,应收票据,应收款项融资,预付账款,应收股利,应收利息,应收租赁款,应收保证金,其他应收款,贴现,发放贷款及垫款总额,减：贷款损失准备,发放贷款及垫款净额,代理证券,委托资金,合同资产,存货净额,待处理抵债资产总额,减：抵债资产减值准备,待处理抵债资产净额,待摊费用,可供出售金融资产,划分为持有待售的资产,长期股权投资,投资子公司,投资性房地产,债权投资,其他债权投资,以公允价值计量且其变动计入其他综合收益的金融资产,以摊余成本计量的金融资产,衍生金融资产,其他权益工具投资,应收投资款项,长期应收款,未确认的收益,递延税款贷项,固定资产原值,减：累计折旧,固定资产净值,减：固定资产减值准备,在建工程,固定资产净额,固定资产清理,固定资产合计,融资租赁资产,预付租赁资产款,使用权资产,无形资产,商誉,长期待摊费用,递延税款借项,其他长期资产,一年内到期的非流动资产,其他流动资产,流动资产合计,非流动资产合计,资产总计,负债,短期借款,拆入资金,向中央银行借款,同业存入及拆入,其中：同业存放款项,联行存放款项,吸收存款及同业存放,吸收存款,应解汇款及临时存款,交易性金融负债,卖出回购金融资产款,应付票据及应付账款,应付票据,应付账款,预收账款,应付职工薪酬,其中：应付工资,其中：应付福利费,应交税金,应付股利,应付利息,应付债券款,应付债券：优先股,应付债券：永续债,应付次级债,应付保证金,应付代理证券款,其他应付款,衍生金融负债,预提费用,汇出汇款,长期借款,合同负债,专项应付款,划分为持有待售的负债,预计负债,长期应付款,长期递延收益,租赁负债,其他负债,货币兑换,一年内到期的长期负债,其他流动负债,流动负债合计,其他长期负债,长期负债合计,负债合计,所有者权益,实收资本净额,其他权益工具,优先股,永续债,资本公积,其他综合收益,库存股,盈余公积,一般风险准备,未分配利润,其中：拟分配现金股利,外币折算差额,其他储备,归属于母公司的股东权益合计,少数股东权益,所有者权益合计,负债及股东权益总计,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,,6551152170.98,,,,,,,,,,,,,3436163.66,3436163.66,,,,,,164579250507.78,,,,,,,,,,,,,,,,,,,74935666.82,599701937.69,,,,7370434.67,,,,,,,,,,,1413007776.64,,1413007776.64,,682752788.87,,106239045.62,,,1372413503.71,3326498369.77,,,,,178716758366.21,,2279878501.53,119722948142.93,,119722948142.93,,,,,,,,2864928962.48,,2864928962.48,,185387363.15,,,257624060.26,,,14641505832.84,,,,,,,,,,9722484017.56,,,,,,,,2707992902.9,,,,,,,152382749783.65,,5791866431.0,,,,6793435648.17,-5597916.74,1658420.01,2059704980.92,2382167574.61,8844209348.1,,,,25864127646.05,469880936.51,26334008582.56,178716758366.21,定期报告,未审计,20260424,CNY,合并期末,2026-04-23T18:01:02
20251231,,6530479475.2,,,,,,,,1998087763.28,,,,,7038771.03,7038771.03,,,,,,145114338913.36,,,,,,,,,,,,,,,,,,,81493991.5,,,,,27906052.71,,,,,,1786846011.06,337878017.02,1448967994.04,10479832.26,,1438488161.78,,1438488161.78,,771198987.62,,110250154.95,,,1355360381.09,3458947138.21,,,,,160893589790.72998,,1910906852.42,102814395552.45,,102814395552.45,,,,,,,,3362785649.54,,3362785649.54,,273181488.17,,,363358126.27,,,14675226539.75,,,,,,,,,,8658180430.63,,,,,,,,3312283068.68,,,,,,,135370317707.91,,5791866431.0,,,,6793435648.17,13844174.14,1658420.01,2059704980.92,2382167574.61,8022374646.57,,,,25061735035.4,461537047.42,25523272082.82,160893589790.72998,定期报告,是,20260424,CNY,合并期末,2026-04-23T18:01:02
20250930,,7256116778.62,,,,,,,,,,,,,13080480.47,13080480.47,,,,,,147495604211.5,,,,,,,,,,,,,,,,,,,82455401.54,,,,,588998.7,,,,,,,,,,,1472901018.96,,1472901018.96,,846534137.91,,87049897.53,,,1310429932.31,3446372720.85,,,,,162011133578.39,,1925441905.13,103048578384.06,,103048578384.06,,,,,,,,3138305258.12,,3138305258.12,,226878847.62,,,347614826.77,,,14635280254.68,,,,,,,1210119.34,,,8892387813.19,,,,,,,,4333063490.52,,,,,,,136548760899.43,,5792379763.0,,,,6793591115.19,4381756.46,2649637.91,1746978796.21,2037818308.85,8637585025.97,,,,25010085127.77,452287551.19,25462372678.96,162011133578.39,定期报告,未审计,20251025,CNY,合并期末,2025-10-24T21:05:02
20250630,,6474424317.37,,,,,,,,,,,,,8645159.09,8645159.09,,,,,,143555379088.24,,,,,,,,,,,,,,,,,,,83416811.53,,,,,1062165.03,,,,,,1798106961.27,302209679.52,1495897281.75,,,1495897281.75,,1495897281.75,,572142013.58,,90172910.45,,,1256127563.66,3270301484.57,,,,,156807568795.27002,,1744791691.07,98858268243.34,,98858268243.34,,,,,,,,2125907029.41,,2125907029.41,,199118491.75,,,259456399.35,,,14139695690.68,,,,,,,,,,12253303572.43,,,,,,,,2644496072.82,,,,,,,132225037190.85,,5792379763.0,,,,6793591115.19,7381917.07,3306277.91,1746978796.21,2037818308.85,7755967739.33,,,,24130811361.74,451720242.68,24582531604.42,156807568795.27002,定期报告,未审计,20250816,CNY,合并期末,2025-08-15T18:17:02
20250331,,4894309139.32,,,,,,,,,,,,,3162506.69,3162506.69,,,,,,138309122088.44,,,,,,,,,,,,,,,,,,,84378221.57,,,,,,,,,,,,,,,,1518815573.97,,1518815573.97,,496316594.67,,90725257.07,,,1184391079.74,2942482361.75,,,,,149523702823.22,,1137546964.0,97560280716.33,,97560280716.33,,,,,,,,1917659080.52,,1917659080.52,,171378787.03,,,187347772.98,,,12108488266.36,,,,,,,,,,8051848515.7,,,,,,,,3035754056.22,,,,,,,124170304159.14,,5792379763.0,,,,6793591115.19,7654945.81,3824137.91,1746978796.21,2037818308.85,8527547639.71,,,,24902146430.86,451252233.22,25353398664.08,149523702823.22,定期报告,未审计,20250426,CNY,合并期末,2025-04-25T19:59:04
20241231,,5853966904.14,,,,,,,,1797375742.76,,,,,14196863.02,14196863.02,,,,,,123482810287.48,,,,,,,,,,,,,,,,,,,92223731.07,,,,,,,,,,,1790991979.43,256715068.01,1534276911.42,,,1534276911.42,,1534276911.42,,513548077.51,,93983000.51,,,1211493393.63,2660903308.13,,,,,137254778219.67,,1477667060.51,87392909622.49,,87392909622.49,,,,,,,,2385276126.62,,2385276126.62,,250773583.65,,,301112537.03,,,10119891556.84,,,,,,,,,,7597103725.67,,,,,,,,3148602421.02,,,,,,,112673336633.83,,5792379763.0,,,,6793591115.19,7985076.85,3824137.91,1746978796.21,2037818308.85,7755791155.7,,,,24130720077.89,450721507.95,24581441585.84,137254778219.67,定期报告,是,20260424,CNY,合并期末,2025-04-25T19:51:22
20240930,,5179269043.88,,,,,,,,,,,,,17203853.2,17203853.2,,,,,,123740559297.25,,,,,,,,,,,,,,,,,,,93259405.22,,,,,,,,,,,,,,,,1522949542.14,,1522949542.14,,384402768.68,,71656514.85,,,1171942091.93,2339636209.9,,,,,134520878727.05,,1790504173.93,83034246746.77,,83034246746.77,,,,,,,,3810119662.71,,3810119662.71,,203029697.93,,,304756987.65,,,10165854510.24,,,,,,,,,,7208168121.71,,,,,,,,4211561061.61,,,,,,,110728240962.55,,5770997524.0,4770174.46,,,6744626402.25,2704445.19,5387637.91,1460584903.31,1814215995.27,7550027688.15,,,,23342539494.72,450098269.78,23792637764.5,134520878727.05,定期报告,未审计,20241029,CNY,合并期末,2024-10-28T19:11:04
20240630,,4212677872.02,,,,,,,,798744179.65,,,,,7128708.67,7128708.67,,,,,,122787732327.44,,,,,,,,,,,,,,,,,,,94295079.33,,,,,,,,,,,1774316448.8,215913739.71,1558402709.09,,,1558402709.09,,1558402709.09,,352314102.08,,74234765.93,,,1116275350.92,2047091263.71,,,,,133048896358.84,,1814666304.76,87990069303.78,,87990069303.78,,,,,,,,3076097431.57,,3076097431.57,,180468066.42,,,232199144.67,,,12363871668.6,,,,,,,,,,5770219860.09,,,,,,,,3333152592.8,,,,,,,114760744372.69,,4369861778.0,297522069.29,,,3603139576.39,6166794.92,20816349.48,1460584903.31,1814215995.27,6757477218.45,,,,18288151986.15,,18288151986.15,133048896358.84,定期报告,未审计,20240817,CNY,合并期末,2024-08-16T19:01:04
20240331,,4512914432.27,,,,,,,,798844304.36,,,,,1799590.72,1799590.72,,,,,,117123803910.55,,,,,,,,,,,,,,,,,,,95330753.48,,,,,,,,,,,,,,,,1574370431.4,,1574370431.4,,344715836.67,,76457047.42,,,1009779262.82,1750138347.07,,,,,127288153916.76,,2423136699.56,79022987927.58,,79022987927.58,,,,,,,,1802866202.73,,1802866202.73,,157294697.51,,,252016045.98,,,14984814488.63,,,,,,,,,,5691886592.35,,,,,,,,4041164529.27,,,,,,,108376167183.61,,4356480420.0,300611211.62,,,3566335475.39,5180832.08,24733372.2,1460584903.31,1814215995.27,7433311267.68,,,,18911986733.15,,18911986733.15,127288153916.76,定期报告,未审计,20240427,CNY,合并期末,2024-04-26T23:06:03
20231231,,4807952125.72,,,,,,,,998800354.63,,,,,2117856.26,2117856.26,,,,,,110142925556.39,,,,,,,,,,,,,,,,,,,109905766.32,,,,,,,,,,,852764079.26,176440915.94,676323163.32,,,676323163.32,,676323163.32,,443090450.82,,79143165.28,,,1039812157.31,1619985762.7,,,,,119920056358.75,,2627378037.49,74699413904.46,,74699413904.46,,,,,,,,2807183534.93,,2807183534.93,,233154770.4,,,305262662.89,,,12226763350.25,,,,,,,,,,5015317171.57,,,,,,,,4156496544.22,,,,,,,102070969976.21,,4250178641.0,325152198.35,,,3297370206.88,4919642.74,24733372.2,1460584903.31,1814215995.27,6721398167.19,,,,17849086382.54,,17849086382.54,119920056358.75,定期报告,是,20250426,CNY,合并期末,2024-04-26T23:06:03
