报告日,营业总收入,营业收入,净利息收入,利息收入,利息支出,手续费及佣金净收入_中间业务,手续费及佣金收入_中间业务,手续费及佣金支出_中间业务,中间业务净收入,中间业务收入,中间业务支出,委托管理资产业务净收入,净交易收入,衍生产品业务收入,汇兑收益,租赁收益,投资收益,对联营公司的投资收益,以摊余成本计量的金融资产终止确认产生的收益,净敞口套期收益,公允价值变动收益,其他业务收入,资产处置收益,其他收益,营业总成本,营业成本,营业税金及附加,销售费用,管理费用,财务费用,研发费用,业务及管理费用,资产减值损失,信用减值损失,其他资产减值损失,不良资产处置损失专项准备,其他业务成本,营业利润,加：营业外收入,非流动资产处置利得,加：营业外支出,非流动资产处置损失,利润总额,减：所得税,含少数股东损益的净利润,持续经营净利润,终止经营净利润,少数股东损益,归属于母公司所有者的净利润,加:年初未分配利润,其他因素调整,可供分配的利润,盈余公积转入,一般风险准备转入,减:提取法定盈余公积,提取法定公益金,提取一般风险准备,提取信托赔偿准备金,提取职工奖福基金,盈余公积补亏,应付永续债利息,其他,可供股东分配的利润,减:应付优先股股利,提取任意盈余公积,应付普通股股利,转作股本的普通股股利,未分配利润,其他综合收益,归属于母公司所有者的其他综合收益,（一）以后不能重分类进损益的其他综合收益,重新计量设定受益计划变动额,权益法下不能重分类进损益的其他综合收益,其他权益工具投资公允价值变动,企业自身信用风险公允价值变动,（二）以后将重分类进损益的其他综合收益,权益法下重分类进损益的其他综合收益,可供出售金融资产公允价值变动损益,持有至到期投资重分类为可供出售金融资产损益,其他债权投资公允价值变动,现金流量套期储备,金融资产重分类计入其他综合收益的金额,现金流量套期损益的有效部分,其他债权投资信用减值准备,外币财务报表折算差额,归属于少数股东的其他综合收益,综合收益总额,归属于母公司所有者的综合收益总额,归属于少数股东的综合收益总额,基本每股收益,稀释每股收益,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,1798361998.69,1798361998.69,1878877760.62,2564850371.9,685972611.28,-126573153.01,125500.94,685972611.28,,,,,,,-3294729.95,,17194.85,,,,,2091310.64,,17394366.62,685781479.22,685781479.22,9297173.04,,,,,160293894.23,,499971670.86,,,1201269.79,1112580519.47,10000.46,,4084448.69,,1108506071.24,278327480.62,830178590.62,830178590.62,,8343889.09,821834701.53,,,,,,,,,,,,,,,,,,,,-19442090.88,-19442090.88,,,,,,-19442090.88,,,,,-14179301.08,,,,-5262789.8,,810736499.74,802392610.65,8343889.09,0.14,0.14,定期报告,未审计,20260424,CNY,合并期末,2026-04-23T18:39:33
20251231,6109215981.0,6109215981.0,6282610819.93,8879089462.59,2596478642.66,-312808826.5,507838.64,2596478642.66,,,,,,,-193578.0,,839233.45,,,,,4182117.41,-5982.69,14764006.02,1762772469.11,1762772469.11,14292257.3,,,,,632843539.86,10479832.26,1022648558.48,,,21438692.92,4346443511.89,35971.79,,4162212.51,,4342317271.17,1090957618.32,3251359652.85,,,10815539.47,3240544113.38,7755791155.7,,10996335269.08,,,312726184.71,,344349265.76,,,,,,10339259818.61,,,2316885172.04,,8022374646.57,5859097.29,,,,,,,5859097.29,,,,,12646283.32,,,,-6787186.03,,3257218750.14,,,0.56,0.56,定期报告,是,20260424,CNY,合并期末,2026-04-23T18:53:43
20250930,4638137183.31,4638137183.31,4724932887.32,6704688917.97,1979756030.65,-203485763.22,340943.38,1979756030.65,,,,,,,11684852.61,,839233.45,,,,,2468627.77,,12587017.9,1368607596.5,1368607596.5,10281274.23,,,,,436858839.82,,857232345.79,,,18495373.02,3269529586.81,35002.32,,556946.84,,3269007642.29,821705192.77,2447302449.52,2447302449.52,,1566043.24,2445736406.28,,,,,,,,,,,,,,,,,,,,-3603320.39,-3603320.39,,,,,,-3603320.39,,,,,-330617.05,,,,-3272703.34,,2443699129.13,2442133085.89,1566043.24,0.42,0.42,定期报告,未审计,20251025,CNY,合并期末,2025-10-24T21:33:14
20250630,3006212506.93,3006212506.93,3041440042.3,4357085696.78,1315645654.48,-119783839.04,147465.09,1315645654.48,,,,,,,11432817.48,,889217.07,,,,,1863381.49,,11256593.92,917502452.95,917502452.95,7231899.7,,,,,286874519.7,,580985656.34,,,11809849.32,2088710053.98,30002.15,,503966.81,,2088236089.32,523118234.95,1565117854.37,,,998734.73,1564119119.64,7755791155.7,,9319910275.34,,,,,,,,,,,9319910275.34,,,1563942536.01,,7755967739.33,-603159.78,,,,,,,-603159.78,,,,,526729.16,,,,-1129888.94,,1564514694.59,,,0.27,0.27,定期报告,未审计,20250816,CNY,合并期末,2025-08-15T18:27:01
20250331,1544197747.88,1544197747.88,1557299769.13,2207597250.89,650297481.76,-52352283.27,61509.42,650297481.76,,,,,,,7504386.2,,6173.11,,,,,1060421.58,,1099576.41,513490416.97,513490416.97,3980791.27,,,,,144682629.52,,346969813.76,,,2593637.58,1030707330.91,20002.06,,503966.8,,1030223366.17,257936156.89,772287209.28,772287209.28,,530725.27,771756484.01,,,,,,,,,,,,,,,,,,,,-330131.04,-330131.04,,,,,,-330131.04,,,,,,,,,-330131.04,,771957078.24,771426352.97,530725.27,0.13,0.13,定期报告,未审计,20260424,CNY,合并期末,2025-04-25T19:59:15
20241231,5278109069.64,5278109069.64,5208012034.9,8067922526.81,2859910491.91,-86845771.33,438152.09,2859910491.91,,,,,,,19904859.0,,19894.51,,,,,4174587.4,-53118.59,16726544.27,1356230699.95,1356230699.95,13435113.21,,,,,545938058.81,,716376982.46,,,26675633.09,3921878369.69,115809.68,,676969.77,,3921317209.6,977852205.54,2943465004.06,,,721507.95,2942743496.11,6721398167.19,,9664141663.3,,,286393892.9,,223602313.58,,,,,,9154145456.82,,,1398354301.12,,7755791155.7,3065434.11,,,,,,,3065434.11,,,,,,,,,3065434.11,,2946530438.17,,,0.62,0.53,定期报告,是,20260424,CNY,合并期末,2025-04-25T20:20:00
20240930,3959265769.31,3959265769.31,3894960863.2,6097397748.38,2202436885.18,-48356554.5,284050.02,2202436885.18,,,,,,,15718196.75,,,,,,,1807373.4,-53118.59,9375683.36,993530649.42,993530649.42,8345253.48,,,,,378920046.31,,552008994.65,,,15807682.33,2965735119.89,890069.82,,464230.54,,2966160959.17,739078867.31,2227082091.86,2227082091.86,,98269.78,2226983822.08,,,,,,,,,,,,,,,,,,,,-2215197.55,-2215197.55,,,,,,-2215197.55,,,,,,,,,-2215197.55,,2224866894.31,2224768624.53,98269.78,0.51,0.4,定期报告,未审计,20251025,CNY,合并期末,2024-10-28T19:51:07
20240630,2616189613.1,2616189613.1,2566386748.18,4045576845.05,1479190096.87,-24983123.51,206850.0,1479190096.87,,,,,,,6646397.61,58095453.58,,,,,,887561.41,-8217.82,9164793.65,707488961.03,707488961.03,6162381.14,,,,,245217475.23,,424908303.29,,,8049547.73,1908700652.07,878561.65,,461722.33,,1909117491.39,474684139.01,1434433352.38,,,,1434433352.38,6721398167.19,,8155831519.57,,,,,,,,,,,8155831519.57,,,1398354301.12,,6757477218.45,1247152.18,1247152.18,,,,,,1247152.18,,,,,,,,,1247152.18,,1435680504.56,,,0.33,0.26,定期报告,未审计,20250816,CNY,合并期末,2024-08-16T19:31:04
20240331,1281844340.69,1281844340.69,1259116308.81,2017677532.88,758561224.07,-9771481.75,83650.97,758561224.07,,,,,,,-782012.75,28757932.62,,,,,,406487.91,-8217.82,4125323.67,333210861.67,333210861.67,3737053.95,,,,,120296583.21,,198495208.44,,,2813992.47,948633479.02,825381.59,,357.03,,949458503.58,237545403.09,711913100.49,711913100.49,,,711913100.49,,,,,,,,,,,,,,,,,,,,261189.34,261189.34,,,,,,261189.34,,,,,,,,,261189.34,,712174289.83,712174289.83,,0.17,0.13,定期报告,未审计,20250426,CNY,合并期末,2024-04-26T23:01:17
20231231,4786842885.82,4786842885.82,4800088190.05,7523911273.6,2723823083.55,-111003572.92,351652.64,2723823083.55,,,,,,,53851233.75,36276806.04,,,,,,1494445.96,97209.84,6038573.1,1244789579.35,1244789579.35,9570301.78,,,,,498257269.61,,705313055.91,,,12713026.83,3542053306.47,1871491.6,,579357.58,,3543345440.49,883258205.64,2660087234.85,,,,2660087234.85,5573509972.06,,8233597206.91,,,256819018.67,,194203302.35,,,,,,7782574885.89,,,1061176718.7,,6721398167.19,1812825.13,,,,,,,1812825.13,,,,,,,,,1812825.13,,2661900059.98,,,0.63,0.49,定期报告,是,20250426,CNY,合并期末,2024-04-26T23:01:17
