报告日,营业收入,手续费净收入,代理买卖证券业务净收入,证券承销业务净收入,委托管理资产业务净收入,投资咨询服务净收入,期货经纪业务净收入,基金管理业务净收入,利息净收入,利息收入,利息支出,投资收益,对联营企业和合营企业的投资收益,以摊余成本计量的金融资产终止确认产生的收益,净敞口套期收益,公允价值变动收益,汇兑净收益,其他业务收入,资产处置收益,其他收益,营业支出,营业税金及附加,业务及管理费用,资产减值损失,信用减值损失,其他资产减值损失,研发费用,其他业务成本,营业利润,加:营业外收入,非流动资产处置利得,减:营业外支出,非流动资产处置损失,利润总额,减:所得税费用,净利润,持续经营净利润,终止经营净利润,归属于母公司的净利润,少数股东权益,年初未分配利润,其他因素调整,其他综合收益,归属于母公司所有者的其他综合收益,（一）以后不能重分类进损益的其他综合收益,重新计量设定受益计划净负债或净资产的变动,权益法下在被投资单位不能重分类进损益的其他综合收益中享有的份额,其他权益工具投资公允价值变动,企业自身信用风险公允价值变动,（二）以后将重分类进损益的其他综合收益,权益法下在被投资单位以后将重分类进损益的其他综合收益中享有的份额,可供出售金融资产公允价值变动损益,其他债权投资公允价值变动,金融资产重分类计入其他综合收益的金额,其他债权投资信用减值准备,持有至到期投资重分类为可供出售金融资产损益,现金流量套期储备,现金流量套期损益的有效部分,外币财务报表折算差额,其他,归属于少数股东的其他综合收益,综合收益总额,归属于母公司所有者的综合收益总额,归属于少数股东的综合收益总额,基本每股收益,稀释每股收益,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,734522485.09,439370153.37,294431624.26,83353927.42,57986705.09,,,,83179332.78,197262792.44,114083459.66,152738604.55,,,,37095291.06,-451233.83,20720811.35,-9471.06,1878996.87,402361382.84,4690653.0,371394869.89,,9911115.01,,,16364744.94,332161102.25,7108.23,,35166.3,,332133044.18,78722572.26,253410471.92,253410471.92,,253387767.04,22704.88,,,-2267326.74,-2267326.74,-2267326.74,,,-2267326.74,,,,,,,,,,,,,,251143145.18,251120440.3,22704.88,0.08,0.08,定期报告,未审计,20260430,CNY,合并期末,2026-04-29T15:53:42
20251231,2700106488.61,1566244450.35,1000028580.92,297241499.89,260963086.86,,,,206379610.16,712270885.99,505891275.83,927708481.55,,,,-95976403.11,-620955.36,93327583.98,-50256.83,3093977.87,1716606084.66,21565478.76,1604050916.26,,-959387.85,,,91949077.49,983500403.95,104173.4,,783103.23,,982821474.12,235561081.08,747260393.04,747260393.04,,747083879.1,176513.94,1299952111.18,,-6661152.45,-6661152.45,-6661152.45,,,-6661152.45,,,,,,,,,,,,,,740599240.59,740422726.65,176513.94,0.23,0.23,定期报告,是,20260425,CNY,合并期末,2026-04-24T18:33:05
20250930,2071821336.43,1178450443.54,750646363.0,235938495.11,184751392.72,,,,132728428.29,520911915.45,388183487.16,705739545.57,,,,-19813675.69,-339739.35,72318502.74,-62495.64,2800326.97,1227999306.11,16496250.71,1135660553.42,,3143840.31,,,72698661.67,843822030.32,98980.13,,420589.32,,843500421.13,179409548.88,664090872.25,664090872.25,,663942426.81,148445.44,,,-1985671.23,-1985671.23,-1985671.23,,,-1985671.23,,,,,,,,,,,,,,662105201.02,661956755.58,148445.44,0.2,0.2,定期报告,未审计,20251031,CNY,合并期末,2025-10-30T15:43:25
20250630,1239192975.77,725770329.46,433236072.58,160697178.26,130006612.29,,,,62644232.25,340130584.32,277486352.07,361773168.16,,,,43882023.53,-205358.01,43755165.56,-62495.64,1635910.46,769340791.36,10654721.28,705479165.84,,7609690.17,,,45597214.07,469852184.41,51227.28,,142610.37,,469760801.32,95150166.67,374610634.65,374610634.65,,374503906.73,106727.92,1299952111.18,,1211118.63,1211118.63,1211118.63,,,1211118.63,,,,,,,,,,,,,,375821753.28,375715025.36,106727.92,0.12,0.12,定期报告,未审计,20250829,CNY,合并期末,2025-08-28T18:23:55
20250331,486241621.52,361748890.96,231910394.81,62104244.21,66400708.23,,,,19992993.71,170849395.43,150856401.72,219757822.47,,,,-125260668.39,-54950.66,8600772.88,-32614.65,1489375.2,338349770.74,4756427.43,313991253.24,,10968803.98,,,8633286.09,147891850.78,3599.62,,28290.07,,147867160.33,29723908.27,118143252.06,118143252.06,,118112014.48,31237.58,,,3678013.69,3678013.69,3678013.69,,,3678013.69,,,,,,,,,,,,,,121821265.75,121790028.17,31237.58,0.04,0.04,定期报告,未审计,20260430,CNY,合并期末,2025-04-25T20:53:25
20241231,2438219826.52,1328784512.85,750738219.65,279753106.04,286911728.73,,,,131412835.34,701557621.86,570144786.52,808879439.76,,,,125820463.29,456709.05,38753509.73,108854.2,4003502.3,1559873571.01,19236190.12,1469368594.09,,34104490.29,7308828.02,,29855468.49,878346255.51,1786312.96,,922737.56,,879209830.91,192519365.58,686690465.33,686690465.33,,686540700.87,149764.46,1141833974.56,,-2943299.93,-2943299.93,-2943299.93,,,-2943299.93,,,,,,,,,,,,,,683747165.4,683597400.94,149764.46,0.21,0.21,定期报告,是,20260425,CNY,合并期末,2025-04-25T21:03:49
20240930,1704958065.4,870848922.8,410811265.01,238228812.5,218778645.31,,,,57616635.22,496407865.03,438791229.81,510611642.17,,,,9270536.75,-238418.23,253716119.25,8534.12,3124093.32,1245078556.37,12586099.0,946749421.26,,36630245.62,,,249112790.49,459879509.03,359800.68,,379040.98,,459860268.73,89870559.93,369989708.8,369989708.8,,369877559.24,112149.56,,,-2886968.83,-2886968.83,-2886968.83,,,-2886968.83,,,,,,,,,,,,,,367102739.97,366990590.41,112149.56,0.11,0.11,定期报告,未审计,20251031,CNY,合并期末,2024-10-30T16:48:12
20240630,1092824445.68,570239318.71,288471243.17,137275207.7,141201477.15,,,,43540888.89,339446532.05,295905643.16,268666230.43,,,,76281652.82,173798.11,132482936.34,-1918.89,1441539.27,790543975.26,8437632.62,623129494.2,,32508283.86,,,126468564.58,302280470.42,356288.49,,207578.56,,302429180.35,61680177.71,240749002.64,240749002.64,,240623463.72,125538.92,1141833974.56,,,,,,,,,,,,,,,,,,,,,240749002.64,240623463.72,125538.92,0.07,0.07,定期报告,未审计,20250829,CNY,合并期末,2024-08-28T17:53:09
20240331,430637780.21,288176140.2,151765692.75,57018632.22,77351194.92,,,,21660818.24,173522805.68,151861987.44,112721930.9,,,,-270233.98,34929.38,7019498.32,1577.06,1293120.09,294293320.25,3525286.35,257331981.36,,27980476.17,,,5455576.37,136344459.96,150279.64,,8468.0,,136486271.6,25369238.14,111117033.46,111117033.46,,111070608.83,46424.63,,,,,,,,,,,,,,,,,,,,,,111117033.46,111070608.83,46424.63,0.03,0.03,定期报告,未审计,20250426,CNY,合并期末,2024-04-25T20:33:02
20231231,2316877202.74,1007413065.37,558324582.43,302910626.97,130201419.1,,,,98927744.04,749131886.03,650204141.99,910590196.98,,,,231206511.45,423850.49,63698168.59,83311.51,4534354.31,1546210722.31,17629101.4,1499058901.77,,-21170662.83,,,50693381.97,770666480.43,3788314.14,,4576319.22,,769878475.35,163876155.54,606002319.81,606002319.81,,605831609.89,170709.92,875250742.48,,,,,,,,,,,,,,,,,,,,,606002319.81,605831609.89,170709.92,0.19,0.19,定期报告,是,20250426,CNY,合并期末,2024-04-25T20:33:02
