报告日,经营活动产生的现金流量,客户贷款及垫款净减少额,向中央银行借款净增加额,客户存款和同业存放款项净增加额,收回存放同业及其他金融机构净额,拆入资金收到的现金,收回拆出资金收到的现金,销售商品、提供劳务收到的现金,收到的税费返还,手续费收入收到的现金,利息收入收到的现金,卖出回购证券收到的现金,买入返售证券到期返售收到的现金,金融企业往来收入收到的现金,处置交易性金融资产净增加额,收取利息、手续费及佣金的现金,保证金流入的现金,吸收的存款,同业及其他金融机构存放款净增加额,处置抵债资产收到的现金,汇兑净收益收到的现金,证券投资收到的现金,中间业务收入收到的现金,其他营业及营业外净收入收到的现金,贴现收到的现金,收回的委托资金净额,受托资产管理收到的现金净额,收到的其他与经营活动有关的现金,经营活动现金流入小计,客户贷款及垫款净增加额,存放中央银行和同业款项净增加额,购买商品、接受劳务支付的现金,支付给职工以及为职工支付的现金,支付的各项税费,证券投资支付的现金,手续费支出支付的现金,利息支出支付的现金,金融企业往来支出支付的现金,买入返售证券支付的现金,处置可供出售金融资产净减少额,为交易目的而持有的金融资产净增加额,卖出回购证券到期回购支付的现金,以现金支付的营业费用,拆出资金支付的现金,支付利息、手续费及佣金的现金,存放中央银行款项净增加额,贵金属现金流出,支付的存款,存放同业及其他机构存款净增加额,偿还中央银行借款,减少同业及其他金融机构存放净额,贴现支付的现金,偿还同业及其他金融机构拆入净额,委托资金减少支付的现金,支付的其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,投资活动产生的现金流量,收回投资所收到的现金,处置子公司及其他营业单位收到的现金,取得投资收益所收到的现金,取得债权投资利息收入收到的现金,处置固定资产、无形资产和其他长期资产而收到的现金净额,分得股利或利润收到的现金,收到的其他与投资活动有关的现金,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产所支付的现金,投资所支付的现金,权益性投资支付的现金,债权性投资支付的现金,购买子公司及其他营业单位支付的现金,支付的其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,筹资活动产生的现金流量,发行债券收到的现金,吸收投资所收到的现金,借款所收到的现金,发行次级债所收到的现金,收到的其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务所支付的现金,分配股利、利润或偿付利息所支付的现金,偿付利息支付的现金,发生筹资费用支付的现金,支付的其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,汇率变动对现金的影响额,现金及现金等价物净增加额,现金的期末余额,现金的期初余额,现金等价物的期末余额,现金等价物的期初余额,期初现金及现金等价物余额,期末现金及现金等价物余额,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,,,,,,,,,,,,,,,476134624.34,331988734.87,,,,,,,,,,,,20633782266.51,21487595875.99,,,,230559405.68,43740591.42,,,,,,,,,59974637.7,,74504940.91,,,,,,,,,,20423356490.53,20832136066.24,655459809.75,,,,31354000.0,,161542.7,,,31515542.7,18618719.64,,,,,,18618719.64,12896823.06,,,,1253000000.0,,76242294.76,1329242294.76,446843000.0,5567157.02,,,21590167.83,474000324.85,855241969.91,-46672126.12,1476926476.6,,,,,20495167538.55,21972094015.15,定期报告,未审计,20260424,CNY,合并期末,2026-04-23T19:21:03
20251231,,,,,,,,,,,,,,,1827744643.4,1131005238.79,,,,,,,,,,,,29144607823.94,32103357706.13,,,,592729740.41,172238016.34,,,,,,,,,241285485.52,,171500960.13,,,,,,,,,,35889491746.82,37091455238.58,-4988097532.45,,,19795037.72,31354000.0,,272650.22,,,51421687.94,45503923.3,,,,,,45503923.3,5917764.64,,,,988064643.32,,,988064643.32,560178753.72,147305369.69,,,235472479.98,942956603.39,45108039.93,-43574642.4,-4980646370.28,20495167538.55,25475813908.83,,,25475813908.83,20495167538.55,定期报告,是,20260424,CNY,合并期末,2026-04-23T19:27:03
20250930,,,,,,,,19433198350.75,,,,,,,1149492879.38,830866047.06,,,,,,,,,,,,51783526.35,21465340803.54,,,18769967961.52,472350923.53,117879050.8,,,,,,,,,186728886.84,,118721448.62,,,,,,,,,,14691838097.63,34378434221.86,-12913093418.32,,,19792545.52,31354000.0,,34473.48,,,51181019.0,26739076.45,,,,,,26739076.45,24441942.55,,,,679337016.52,,30791742.16,710128758.68,451178753.72,113414524.63,,,26618808.04,591212086.39,118916672.29,-21827466.34,-12791562269.82,,,,,25475813908.83,12684251639.01,定期报告,未审计,20251029,CNY,合并期末,2025-10-28T18:45:05
20250630,,,,,,,,10071924782.36,,,,,,,672989637.43,549328514.42,,,,,,,,,,,,20685140.65,11496431040.11,,,9567133546.07,351154585.17,95330919.25,,,,,,,,,104809267.0,,79666800.52,,,,,,,,,,13861935442.24,24060030560.25,-12563599520.14,,,,31354000.0,,9071.82,,,31363071.82,19206368.47,,,,,,19206368.47,12156703.35,,,,342995071.52,,16171453.2,359166524.72,369093727.76,109397253.86,,,7775114.39,486266096.01,-127099571.29,-6250737.46,-12684793125.54,12791020783.29,25475813908.83,,,25475813908.83,12791020783.29,定期报告,未审计,20250828,CNY,合并期末,2025-08-27T21:01:02
20250331,,,,,,,,4989922873.88,,,,,,,158332145.54,299434518.29,,,,,,,,,,,,9778239272.0,10236005935.83,,,5624262736.82,166129943.52,16130085.98,,,,,,,,,49658037.94,,36952402.2,,,,,,,,,,16461705344.13,16748978940.72,-6512973004.89,,,,,,7003.88,,,7003.88,6336651.75,,,,,,6336651.75,-6329647.87,,,,342995071.52,,2845229.25,345840300.77,216000000.0,3529208.68,,,3833562.57,223362771.25,122477529.52,-1386853.04,-6398211976.28,,,,,25475813908.83,19077601932.55,定期报告,未审计,20260424,CNY,合并期末,2026-04-23T19:21:03
20241231,,,,,,,,25474576393.8,,,,,,,1817699081.69,1381431444.21,,,,,,,,,,,,30441739053.71,33640869579.61,,,26055377493.89,627769966.77,111250796.78,,,,,,,,,216801544.06,,277982694.0,,,,,,,,,,30178909059.89,31501035166.32,2139834413.29,,,13595545.51,,,152409.14,,,13747954.65,429900614.55,,,,,,429900614.55,-416152659.9,,,,630183682.2,,226551458.02,856735140.22,950900000.0,213489329.2,,,34573416.31,1198962745.51,-342227605.29,21188228.19,1402642376.29,25475813908.83,24073171532.54,,,24073171532.54,25475813908.83,定期报告,是,20260424,CNY,合并期末,2025-04-23T20:35:03
20240930,,,,,,,,20124833173.75,,,,,,,728190330.71,1019377196.34,,,,,,,,,,,,1335510727.61,23207911428.41,,,20033524511.67,512052424.27,74111430.96,,,,,,,,,171111703.9,,225259671.19,,,,,,,,,,10818418763.38,31934565259.42,-8726653831.01,,,13595545.51,,,79734.66,,,13675280.17,365489352.2,,,,,,365489352.2,-351814072.03,,,,521183682.2,,227503516.6,748687198.8,874900000.0,138660300.42,,,33192624.31,1046752924.73,-298065725.93,-13990544.55,-9390524173.52,,,,,24073171532.54,14682647359.02,定期报告,未审计,20251029,CNY,合并期末,2024-10-29T18:46:03
20240630,,,,,,,,13044632430.86,,,,,,,218435142.09,654499859.68,,,,,,,,,,,,2356419540.65,16273986973.28,,,14530791210.84,408911534.55,49522869.14,,,,,,,,,114257841.67,,175288872.13,,,,,,,,,,10789975254.16,26183493439.64,-9909506466.36,,,,,,69085.36,,,69085.36,84935237.37,,,,,,84935237.37,-84866152.01,,,,413687736.01,,179533075.71,593220811.72,576900000.0,132168275.87,,,27719010.81,736787286.68,-143566474.96,9265897.57,-10128673195.76,13944498336.78,24073171532.54,,,24073171532.54,13944498336.78,定期报告,未审计,20250828,CNY,合并期末,2025-08-27T21:17:02
20240331,,,,,,,,4804169037.58,,,,,,,1017731232.2,337552179.63,,,,,,,,,,,,1687811818.18,7847264267.59,,,7167825531.76,236517671.14,25619403.26,,,,,,,,,52064973.73,,95561866.49,,,,,,,,,,11765189266.67,19466626545.39,-11619362277.8,,,,,,59446.93,,,59446.93,2179996.33,,,,,,2179996.33,-2120549.4,,,,286000000.0,,26251020.23,312251020.23,507900000.0,9219943.27,,,4321302.46,521441245.73,-209190225.5,-913088.31,-11831586141.01,,,,,24073171532.54,12241585391.53,定期报告,未审计,20250424,CNY,合并期末,2024-04-25T19:41:03
20231231,,,,,,,,26684901659.1,,,,,,,,1803487849.39,,,,,,,,,,,,7629015252.74,36155741033.7,,,25431260778.4,637626687.91,229381241.84,,,,,,,2622463459.2,,196694485.66,,356794654.01,,,,,,,,,,11985273805.35,41459495112.37,-5303754078.67,,6418732.38,,132932941.47,,101092.01,,,139452765.86,27596726.92,,,,,,27596726.92,111856038.94,,,,1109919309.83,,,1109919309.83,1333937353.83,340243526.36,,,45432976.2,1719613856.39,-609694546.56,20805785.93,-5780786800.36,24073171532.54,29853958332.9,,,29853958332.9,24073171532.54,定期报告,是,20250424,CNY,合并期末,2024-04-25T20:11:03
20230930,,,,,,,,19865063793.58,,,,,,,,1359300633.75,,,,,,,,,,,,2659226114.95,23883590542.28,,,19664291145.92,526860558.8,159957506.42,,,,,,,3015099957.38,,138286793.04,,299485234.73,,,,,,,,,,6928465970.98,30800436972.66,-6916846430.38,,5234338.4,,38870941.47,,96524.06,,,44201803.93,21708120.77,,,,,,21708120.77,22493683.16,,,,1015919309.83,,,1015919309.83,1279918044.0,229595733.79,,,59595519.79,1569109297.58,-553189987.75,33910687.58,-7413632047.39,,,,,29853958332.9,22440326285.51,定期报告,未审计,20241030,CNY,合并期末,2023-10-26T18:56:07
20230630,,,,,,,,12758332177.73,,,,,,,,841685021.51,,,,,,,,,,,,5385017150.61,18985034349.85,,,12508965043.52,403408123.71,105613968.88,,,,,,,2666027033.03,,102349012.88,,145977624.18,,,,,,,,,,2978496141.86,18940537585.28,44496764.57,,4408578.4,,7516941.47,,90808.84,,,12016328.71,17511716.19,,,,,,17511716.19,-5495387.48,,,,902335000.0,,,902335000.0,1348433734.17,18436453.65,,,66098482.64,1432968670.46,-530633670.46,41869634.49,-449762658.88,29404195674.02,29853958332.9,,,29853958332.9,29404195674.02,定期报告,未审计,20240828,CNY,合并期末,2023-08-23T20:31:04
20230331,,,,,,,,5749757723.43,,,,,,,,342966072.37,,,,,,,,,,,,2008277633.67,8101001429.47,,,5858501773.67,257618814.37,45865359.31,,,,,,,1361759529.8,,50600131.99,,78608516.74,,,,,,,,,,5393401110.53,13094607022.67,-4993605593.2,,3796134.95,,,,86938.36,,,3883073.31,17367327.45,,,,,,17367327.45,-13484254.14,,,,561919309.83,,,561919309.83,854858010.0,11285980.17,,,62455884.94,928599875.11,-366680565.28,-19301846.26,-5393072258.88,,,,,29853958332.9,24460886074.02,定期报告,未审计,20240426,CNY,合并期末,2023-04-26T20:46:04
20221231,,,,,,,,36439463503.59,,,,,,,,1713802160.9,,,,,,,,,,,,5650242149.51,43803507814.0,,,36009883037.5,701010880.86,457893040.19,,,,,,,2795215505.05,,224628851.23,,240950556.13,,,,,,,,,,3354777256.41,43804066428.43,-558614.43,,1714368.33,,66750158.05,,1275159.41,,,69739685.79,16644780.34,,,,,,16644780.34,53094905.45,,,,1500649800.5,,26581332.76,1527231133.26,2881999515.67,479901248.81,,,49380717.21,3411281481.69,-1884050348.43,83887519.31,-1747626538.1,29853958332.9,31601584871.0,,,31601584871.0,29853958332.9,定期报告,是,20240426,CNY,合并期末,2023-04-26T20:46:04
