报告日,流动资产,货币资金,结算备付金,拆出资金,交易性金融资产,买入返售金融资产,衍生金融资产,应收票据及应收账款,应收票据,应收账款,应收款项融资,预付款项,应收股利,应收利息,应收保费,应收分保账款,应收分保合同准备金,应收出口退税,应收补贴款,应收保证金,内部应收款,其他应收款,其他应收款(合计),存货,划分为持有待售的资产,待摊费用,待处理流动资产损益,一年内到期的非流动资产,其他流动资产,流动资产合计,非流动资产,发放贷款及垫款,债权投资,其他债权投资,以公允价值计量且其变动计入其他综合收益的金融资产,以摊余成本计量的金融资产,可供出售金融资产,长期股权投资,投资性房地产,长期应收款,其他权益工具投资,其他非流动金融资产,其他长期投资,固定资产原值,累计折旧,固定资产净值,固定资产减值准备,在建工程合计,在建工程,工程物资,固定资产净额,固定资产清理,固定资产及清理合计,生产性生物资产,公益性生物资产,油气资产,合同资产,使用权资产,无形资产,开发支出,商誉,长期待摊费用,股权分置流通权,递延所得税资产,其他非流动资产,非流动资产合计,资产总计,流动负债,短期借款,向中央银行借款,吸收存款及同业存放,拆入资金,交易性金融负债,衍生金融负债,应付票据及应付账款,应付票据,应付账款,预收款项,合同负债,卖出回购金融资产款,应付手续费及佣金,应付职工薪酬,应交税费,应付利息,应付股利,应付保证金,内部应付款,其他应付款,其他应付款合计,其他应交款,担保责任赔偿准备金,应付分保账款,保险合同准备金,代理买卖证券款,代理承销证券款,国际票证结算,国内票证结算,预提费用,预计流动负债,应付短期债券,划分为持有待售的负债,一年内的递延收益,一年内到期的非流动负债,其他流动负债,流动负债合计,非流动负债,长期借款,应付债券,应付债券：优先股,应付债券：永续债,租赁负债,长期应付职工薪酬,长期应付款,长期应付款合计,专项应付款,预计非流动负债,长期递延收益,递延所得税负债,其他非流动负债,非流动负债合计,负债合计,所有者权益,实收资本(或股本),其他权益工具,优先股,永续债,资本公积,减:库存股,其他综合收益,专项储备,盈余公积,一般风险准备,未确定的投资损失,未分配利润,拟分配现金股利,外币报表折算差额,归属于母公司股东权益合计,少数股东权益,所有者权益(或股东权益)合计,负债和所有者权益(或股东权益)总计,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,,4507700162.75,,,2167209279.24,,,3376490251.98,,3376490251.98,148498097.58,224498923.38,,,,,,,,,,,156328091.23,2318996586.66,,,,10329431.11,417948921.53,13355160876.73,,,,,,,,289348917.09,,,44178000.0,183274742.46,,,,,,428596762.74,,,,,8337953783.84,1822446.04,,,27161131.27,217766608.09,229143117.93,,,51730691.24,,321436792.08,635332916.88,10740584778.39,24095745655.12,,681362512.77,,,,,,2923966586.0,1089198886.21,1834767699.79,,361292295.04,,,71019219.43,53845180.25,,,,,,77350871.13,,,,,,,,,,,,,,921878909.83,435840.29,5091151414.74,,2039622362.81,,,,183357455.83,,,1453876639.06,,19615604.21,31849777.54,4950802.28,13978555.02,3747251196.75,8838402611.49,,2060169156.0,,,,7639159780.74,303262099.73,1317345.82,3036350.09,593938826.34,,,5157509491.12,,,15151868850.38,105474193.25,15257343043.63,24095745655.12,定期报告,未审计,20260430,CNY,合并期末,2026-04-29T19:38:07
20251231,,4869226422.57,,,1868206337.39,,383177.11,3364151389.63,,3364151389.63,135619904.34,290395845.59,50657.81,,,,,,,,,385176039.02,385226696.83,2682309183.29,,,,15375378.36,409650449.24,14057921586.53,,,,,,,,300033330.36,,,44178000.0,193934113.5,,11558084858.69,2921134018.87,8636950839.82,11277910.85,466313421.15,406811646.98,59501774.17,8625672928.97,,8625672928.97,1852037.41,,,37376802.18,243711279.23,231107872.77,,,58796556.36,,319452419.97,661443555.68,11146495515.4,25204417101.93,,658455401.35,,,,,,3735165156.26,1357351325.35,2377813830.91,,239783714.37,,,170777063.61,102589247.12,,,,,110703042.57,110703042.57,,,,,,,,,,,,,,979390218.82,1232238.16,5998096082.26,,2122484495.06,,,,206885170.54,,1479046675.65,1479046675.65,,19389653.35,32966284.88,3810486.56,13413603.91,3877996369.95,9876092452.21,,2060169156.0,,,,7638807393.05,158023360.71,13062828.81,3036350.09,593938826.34,,,5097295781.96,,,15248286975.54,80037674.18,15328324649.72,25204417101.93,定期报告,是,20260430,CNY,合并期末,2026-04-29T19:38:07
20250930,,4889260698.02,,,1429111315.16,,73466.82,3611820742.98,,3611820742.98,70275800.87,199551222.93,,,,,,,,,,,815477799.48,3762267351.8,,,,6861504.69,335467696.91,15271210208.15,,,,,,,,310655947.01,,15015339.68,44878000.0,251323120.8,,,,,,264584930.26,,,,,7286297249.77,1798187.21,,,151042608.49,198049559.32,211008610.23,,,54517649.88,,266137522.91,720887404.35,9625153521.42,24896363729.57,,533808466.36,,,,,,3382285639.42,889804467.88,2492481171.54,,211863598.6,,,72208995.16,92473659.75,,,,,,82926636.92,,,,,,,,,,,,,,556663245.72,3673812.65,4935904054.58,,2221988222.88,,,,190633684.59,,,1883468977.99,,28803821.67,31085009.83,13266639.6,8223280.77,4377469637.33,9313373691.91,,2060169156.0,,,,7617738469.77,158023360.71,13064866.66,5979207.88,530231781.0,,,5455323130.5,,,15524483251.1,58506786.56,15582990037.66,24896363729.57,定期报告,未审计,20251031,CNY,合并期末,2025-10-30T17:56:11
20250630,,4484299709.38,,,1308157485.45,,,4331669876.08,,4331669876.08,25179693.92,86388194.66,,,,,,,,,,156157848.15,156157848.15,3260936727.32,,,,7050105.73,317505652.44,14139948689.4,,,,,,,,296354668.18,,22530962.32,44878000.0,242958491.77,,11287608109.6,2949709369.33,8337898740.27,11607549.16,238964383.97,235132237.02,3832146.95,8326291191.11,,8326291191.11,4664549.91,,,162603396.27,266508733.12,211735359.58,,,58552314.87,,255897382.5,623809203.52,10593145240.85,24733093930.25,,532477455.55,,,,,1235811.02,3191740425.93,778887148.31,2412853277.62,,168588182.47,,,72379073.01,101008822.13,,,,,94297746.05,94297746.05,,,,,,,,,,,,,,592133813.51,4073356.42,4757934686.09,,2153572824.13,,,,254290432.88,,1909845160.56,1909845160.56,,28817281.26,29669621.63,12596897.57,14440981.8,4403233199.83,9161167885.92,,2060169156.0,,,,7617738469.77,158023360.71,28860418.25,5979207.88,530231781.0,,,5420349261.39,,,15505304933.58,66621110.75,15571926044.33,24733093930.25,定期报告,未审计,20250828,CNY,合并期末,2025-08-27T20:08:07
20250331,,4464687638.02,,,1157956561.28,,,4320624829.64,,4320624829.64,133483470.55,106573465.96,,,,,,,,,,,157017213.63,2810571806.78,,,,6113583.56,297999497.17,13585220385.21,,,,,,,,295605891.9,,30051792.51,44878000.0,239285414.47,,,,,,123154693.19,,,,,8357788355.54,4744707.57,,,130192318.62,276037840.9,212201009.5,,,62995307.64,,236985417.08,604317771.11,10488046201.41,24073266586.62,,770644872.22,,,,,1300425.04,3010190385.99,928534753.41,2081655632.58,,207234865.75,,,60412648.91,85389048.88,,,,,,100966726.76,,,,,,,,,,,,,,470601293.07,34335894.15,4741076160.77,,2369658141.41,,,,268952769.17,,,1254997379.88,,28696039.61,30444220.07,11745351.63,14713812.52,3979207714.29,8720283875.06,,2060169156.0,,,,7617738469.77,164893921.99,15920940.51,4582819.85,530231781.0,,,5219989190.4,,,15283738435.54,69244276.02,15352982711.56,24073266586.62,定期报告,未审计,20250426,CNY,合并期末,2025-04-25T22:48:09
20241231,,4575625579.06,,,1741929242.95,,49111.94,4308031460.3,,4308031460.3,94109805.19,91051714.38,,,,,,,,,,161541001.72,161541001.72,2776148454.41,,,,6207359.81,312226940.7,14276032768.66,,,,,,,,288947624.91,,,44878000.0,239979255.47,,11080939447.69,2674672075.37,8406267372.32,11607549.16,128070119.42,86302861.81,41767257.61,8394659823.16,,8394659823.16,4824865.23,,,209112098.2,277420315.91,216094083.1,,,66803952.64,,233682564.02,517502989.75,10412863593.61,24688896362.27,,605026700.24,,,,,,3981704764.51,1101713306.6,2879991457.91,,174476460.2,,,162774508.71,212427867.81,,,,,143225176.93,143225176.93,,,,,,,,,,,,,,444876644.28,11628098.67,5736140221.35,,1880803968.2,,,,262806655.1,,983553814.61,985563494.4,2009679.79,28641939.25,30363895.57,12664196.51,13583189.95,3214427338.98,8950567560.33,,2060169156.0,,,,7616627798.21,194252410.71,4554495.81,4582819.85,530231781.0,,,5643422289.68,,,15665335929.84,72992872.1,15738328801.94,24688896362.27,定期报告,是,20260430,CNY,合并期末,2025-04-25T22:48:09
20240930,,4318060513.25,,,2142001423.11,,,4391389952.39,129000.0,4391260952.39,73191175.54,288783938.71,,,,,,,,,,,250088927.08,2142522444.83,12689790.0,,,6237155.61,287823993.47,14076108368.62,,,,,,,,293051420.92,,,43912367.27,315108063.42,,,,,,184809843.46,,,,,8429380814.36,4905022.89,,,163319054.63,346030740.35,210559004.15,,,73784780.7,,131602314.6,406846382.49,10439990754.61,24516099123.23,,484430345.91,,,,,,4224500767.4,1415783908.46,2808716858.94,,311860726.27,,,73255646.67,178474389.43,,8220000.0,,,,119489652.32,,,,,,,,,,,,,,725630763.42,11456420.98,6129098712.4,,2051033195.01,,,,354527567.91,,,,,28702138.43,11391854.67,33181168.8,23247836.89,2502083761.71,8631182474.11,,2060169156.0,,,,7609022366.72,194042313.88,12521215.23,4377753.59,467131594.28,,,5863553352.35,,,15822733124.29,62183524.83,15884916649.12,24516099123.23,定期报告,未审计,20241030,CNY,合并期末,2024-10-29T19:30:04
20240630,,4816203054.04,,,1650834874.92,,,4255820931.49,,4255820931.49,7254623.34,265206151.96,,,,,,,,,,294217202.63,294217202.63,1633238142.84,12689790.0,,,9585055.07,313757508.24,13522776628.76,,,,,,,,244231194.43,,,43912367.27,315108063.42,,10454248863.98,2441160769.13,8013088094.85,11719262.58,667359694.15,578059506.75,89300187.4,8001368832.27,,8001368832.27,4985180.55,,,263969294.23,264462620.99,235585100.93,,,64247154.68,,142497976.91,327126065.94,10310884251.54,23833660880.3,,494448165.36,,,,,,4169000260.71,1355551300.89,2813448959.82,,180356737.06,,,74130279.97,175397352.73,,8220000.0,,,111022681.14,119242681.14,,,,,,,,,,,,,,693149762.81,11725696.51,5917450936.29,,1955601597.51,,,,256100041.48,,,,,28669138.08,11733471.98,33338075.59,22182977.63,2307625302.27,8225076238.56,,2060169156.0,,,,7613416512.35,194042313.88,6915738.52,2757036.35,467131594.28,,,5552027375.42,,,15508375099.04,100209542.7,15608584641.74,23833660880.3,定期报告,未审计,20240820,CNY,合并期末,2024-08-19T18:35:14
20240331,,4757741956.3,,,933388100.03,,,4855551370.54,1142304.0,4854409066.54,14934787.55,162059975.42,,,,,,,,,,,681969766.26,1542882017.95,12689790.0,,,7943257.3,325747180.07,13356173445.08,,,,,,,,231985653.3,,,43912367.27,315108063.42,,,,,,565190660.1,,,,,7553797979.31,5065338.21,,,61265243.66,267568806.34,232604901.14,,,67533645.28,,116961271.68,260211118.76,9659939804.81,23016113249.89,,249789977.51,,,,,,3579142954.04,1011556809.54,2567586144.5,,53368386.97,,,67688960.06,151111575.29,,7620000.0,,,,201545239.79,,,,,,,,,,,,,,642454669.02,4008262.83,4949110025.51,,1880368711.97,,,,255301851.9,,,,,28672104.22,12095566.61,33173415.85,20101084.73,2229712735.28,7178822760.79,,2060169156.0,,,,7611003446.17,194042313.88,7412102.95,2016272.38,467131594.28,,,5789790085.38,,,15743480343.28,93810145.82,15837290489.1,23016113249.89,定期报告,未审计,20240427,CNY,合并期末,2024-04-26T21:00:05
20231231,,4929655280.71,,,1550121418.99,,,4522735273.16,1142304.0,4521592969.16,165759097.23,116421213.56,,,,,,,,,,653517739.86,653517739.86,1333222658.59,,,,11548481.35,299729967.05,13652142700.31,,,,,,,,246058697.61,,,43912367.27,315108063.42,,9690376934.97,2203598398.0,7486778536.97,11719262.58,543297231.46,450251418.49,93045812.97,7475059274.39,,7475059274.39,5145495.87,,,69431569.81,224643161.01,217624189.07,,,69991285.39,,118340695.05,274549360.63,9533729821.17,23185872521.48,,240052540.01,,,,,,3723709070.25,1249338522.83,2474370547.42,,246440888.73,,,143983638.04,214106189.47,,7020000.0,,,165738303.62,172758303.62,,,,,,,,,,,,,,653421174.04,6089248.95,5400561053.11,,1895996293.97,,,,212267806.59,,,,,28708643.93,12490797.65,33269227.44,19035914.37,2201768683.95,7602329737.06,,2060169156.0,,,,7606962554.26,230061301.26,8807363.88,2016272.38,467131594.28,,,5571912424.49,,,15486938064.03,96604720.39,15583542784.42,23185872521.48,定期报告,是,20250426,CNY,合并期末,2024-04-26T21:00:05
