报告日,经营活动产生的现金流量,处置交易性金融资产净增加额,处置可供出售金融资产净增加额,收取利息、手续费及佣金的现金,拆入资金净增加额,拆出资金净减少额,融出资金净减少额,卖出回购金融资产收到的现金,证券投资收到的现金,买入返售金融资产收到的现金,代理买卖业务的现金净增加额,代理兑付证券净增加额,代理承销证券收到的现金净额,保证金现金流入,收到的资产管理业务,销售商品、提供劳务收到的现金,收到的税费返还,收到的其他与经营活动有关的现金,经营活动现金流入小计,处置交易性金融资产的净减少额,处置可供出售金融资产净减少额,支付利息、手续费及佣金的现金,偿还拆入资金支付的现金,拆出资金净增加额,融出资金净增加额,回购金融资产支付的现金,买入返售金融资产支付的现金,证券投资支付的现金,代理买卖证券净减少额,代兑付债券支付的现金净额,保证金现金流出,为交易目的而持有的金融资产净增加额,以现金支付的营业费用,购买商品、接受劳务支付的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,投资活动产生的现金流量,收回投资收到的现金,取得投资收益收到的现金,处置固定资产、无形资产及其他长期资产收回的现金净额,处置子公司和其他营业单位收到的现金,收到其他与投资活动有关的现金,投资活动现金流入小计,投资支付的现金,购建固定资产、无形资产和其他长期资产支付的现金,取得子公司及其他营业单位支付的现金净额,支付其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,筹资活动产生的现金流量,吸收投资收到的现金,吸收权益性投资所收到的现金,子公司吸收少数股东投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息所支付的现金,子公司支付给少数股东的股利、利润,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,汇率变动对现金及现金等价物的影响,现金及现金等价物净增加额,现金的期末余额,现金的期初余额,现金等价物的期末余额,现金等价物的期初余额,期初现金及现金等价物余额,期末现金及现金等价物,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,,,,2355874860.0,3550000000.0,,,9900974629.18,,,5556889654.21,,,,,,,163231507.91,21526970651.3,,,793740922.39,,,16444247.61,,,,,,,8264032701.14,,,906801279.0,306213400.79,1802267193.13,12089499744.06,9437470907.24,,9373333237.6,574957262.14,164156.0,,,9948454655.74,16966619505.15,5909932.41,,,16972529437.56,-7024074781.82,,,,,11087152412.16,3700000000.0,,14787152412.16,9931188052.71,181105664.34,,,10130044125.65,4657108286.51,8733025.37,7079237437.3,,,,,57261854190.54,64341091627.84,定期报告,未审计,20260429,CNY,合并期末,2026-04-28T17:14:02
20251231,,,,7306758768.16,,,,12441378386.8,,,15549626923.22,,,,,,,82656320.65,35380420398.83,,,2288209923.91,480000000.0,,7888994829.27,,,,,,,421124884.27,,,2424393365.69,1391413171.84,6488678613.88,21382814788.86,13997605609.97,,60243317085.26,1901221617.68,1650017.42,,,62146188720.36,69634590716.88,232914274.51,251992800.0,29969860.48,70149467651.87,-8003278931.51,,96700000.0,,96700000.0,34585074324.64,14300000000.0,,48981774324.64,39947266540.34,2906833946.86,5802000.0,,42945043873.78,6036730450.86,-6883012.7,12024174116.62,57261854190.54,45237680073.92,,,45237680073.92,57261854190.54,定期报告,是,20260429,CNY,合并期末,2026-04-28T17:18:03
20250930,,,,5361210743.62,,,,23245597065.42,,,9148875807.64,,,,,,,127940256.04,37883623872.72,,,1721379642.42,1480000000.0,,7168515283.63,,,,,,,14288770385.79,,,1968398637.53,951549421.18,4686581944.07,32265195314.62,5618428558.1,,55114927850.51,1437185960.67,4204685.11,,,56556318496.29,60854768289.78,154750784.1,,,61009519073.88,-4453200577.59,,,,,21156311244.62,11300000000.0,,32456311244.62,25955105879.99,1996061725.6,,4201827.91,28020833699.18,4435477545.44,-5700782.53,5595004743.42,,,,,45237680073.92,50832684817.34,定期报告,未审计,20251031,CNY,合并期末,2025-10-30T17:30:03
20250630,,,,3313459787.75,,,537274476.86,,,,2818476289.27,,,,,,,406482013.83,7075692567.71,,,1056406707.33,1480000000.0,,,7309229680.92,,,,,,1085701125.13,,,1329269912.03,666046400.14,2375368924.17,15302022749.72,-8226330182.01,,49154139470.92,907564325.1,1446924.98,,,50063150721.0,37319550774.16,126395625.27,,,37445946399.43,12617204321.57,,,,,10349664580.09,8700000000.0,,19049664580.09,20405043382.34,1812893748.3,,,22265413044.87,-3215748464.78,7686601.51,1182812276.29,46420492350.21,45237680073.92,,,45237680073.92,46420492350.21,定期报告,未审计,20250828,CNY,合并期末,2025-08-27T16:10:03
20250331,,,,1648444175.74,1500000000.0,,,25391262615.46,,,,,,,,,,657098195.57,29196804986.77,,,539876732.51,,,1166286094.65,,,,1274672959.87,,,16747091372.41,,,539755483.5,266060100.52,2396205863.47,22929948606.93,6266856379.84,,21332024100.63,473449734.65,2462236.15,,,21807936071.43,24125783287.88,53634969.48,,,24179418257.36,-2371482185.93,,,,,2725961122.23,,,2725961122.23,8881255929.25,327762568.36,,,9239462180.97,-6513501058.74,-3061800.02,-2621188664.85,,,,,45237680073.92,42616491409.07,定期报告,未审计,20260429,CNY,合并期末,2025-04-25T17:32:03
20241231,,15138531627.48,,6285927355.94,5900000000.0,,,,,,14985466735.56,,,,,,,431188767.72,42741114486.7,,,2200983256.57,,,1577136103.96,1238553623.81,,,,,,,,,2243576497.51,963698580.17,3643118508.33,11867066570.35,30874047916.35,,50875589459.0,1512106848.67,8153433.74,,,52395849741.41,68021008289.37,436866850.43,,,68457875139.8,-16062025398.39,,,,,31659245280.91,6000000000.0,,37659245280.91,36316734913.37,2321949672.83,9670000.0,,38742599637.01,-1083354356.1,21728569.97,13750396731.83,45237680073.92,31487283342.09,,,31487283342.09,45237680073.92,定期报告,是,20260429,CNY,合并期末,2025-04-25T17:22:03
20240930,,,,4374494182.77,5900000000.0,,1698534190.02,6680486243.46,,,11441011596.02,,,,,,,343002668.36,30437528880.63,,,1556852995.7,,,,,,,,,,765690149.52,,,1697453119.19,748626738.42,2648667075.77,7417290078.6,23020238802.03,,41333788245.68,1101105263.18,5683185.79,,,42440576694.65,50986525372.04,387133033.6,,,51373658405.64,-8933081710.99,,,,,21417473937.63,6000000000.0,,27417473937.63,29858683379.19,1808926400.23,,,31755331002.38,-4337857064.75,-8053256.39,9741246769.9,,,,,31487283342.09,41228530111.99,定期报告,未审计,20251031,CNY,合并期末,2024-10-29T15:52:03
20240630,,13512709701.0,,2992148515.07,4900000000.0,,946507249.14,,,,1898921815.53,,,,,,,202827082.05,24453114362.79,,,1041393335.42,,,,7402868452.97,,,,,,,,,1203223580.0,514688462.36,2134511026.01,12296684856.76,12156429506.03,,20902782715.01,696583193.74,5358158.93,,,21604724067.68,32361682321.67,362509503.74,,,32724191825.41,-11119467757.73,,,,,17876794092.0,6000000000.0,,23876794092.0,23296571632.46,1599044038.22,,,24950427809.43,-1073633717.43,6316501.35,-30355467.78,31456927874.31,31487283342.09,,,31487283342.09,31456927874.31,定期报告,未审计,20250828,CNY,合并期末,2024-08-23T15:57:02
20240331,,,,1486864148.13,3000000000.0,,1264289435.97,16103880313.95,,,983375546.38,,,,,,,1724913748.57,24563323193.0,,,533768495.86,,,,,,,,,,5639036609.26,,,517863901.06,436890433.92,2028950848.32,9156510288.42,15406812904.58,,10348300951.37,43749866.99,4100446.42,,,10396151264.78,21746452981.44,337137594.05,,,22083590575.49,-11687439310.71,,,,,8242786244.0,3000000000.0,,11242786244.0,12689886632.46,408178068.28,,,13128172349.78,-1885386105.78,-402480.84,1833585007.25,,,,,31487283342.09,33320868349.34,定期报告,未审计,20250426,CNY,合并期末,2024-04-29T20:32:03
20231231,,,,6114611068.18,1470000000.0,,,16611079572.56,,,,,,,,,,6035015566.56,30230706207.3,,,1775994086.92,,,2143983848.89,,,,3020789797.27,,,21311480761.53,,,2593619826.29,1146632260.81,7841510439.72,39834011021.43,-9603304814.13,,45259361160.1,1435985186.02,5838536.01,,,46701184882.13,40337522437.93,704158443.73,,,41041680881.66,5659504000.47,,24000000.0,,24000000.0,52646847540.46,2958800000.0,,55629647540.46,52251161884.02,2031766769.83,32104400.0,,54388307682.39,1241339858.07,23512716.53,-2678948239.06,31487283342.09,34166231581.15,,,34166231581.15,31487283342.09,定期报告,是,20250426,CNY,合并期末,2024-04-29T21:32:02
