报告日,资产,现金及存放中央银行款项,其中:现金,存放中央银行款,结算准备金,贵金属,存放同业款项,专项央行票据,央行专项扶持资金,存出保证金,拆出资金,其中:拆放同业,拆放金融性公司,存放联行款项,存出发钞基金,交易性金融资产,买入返售金融资产,应收账款,应收票据,应收款项融资,预付账款,应收利息,应收股利,应收租赁款,贴现,进出口押汇,发放贷款及垫款净额,发放贷款及垫款,减:贷款损失准备,代理业务资产,委托贷款及委托投资,存货,待处理抵债资产,减:抵债资产减值准备,待处理抵债资产净额,待摊费用,可供出售金融资产,以公允价值计量且其变动计入其他综合收益的金融资产,以摊余成本计量的金融资产,长期股权投资,其中:投资子公司,债权投资,其他债权投资,投资性房地产,衍生金融工具资产,其他权益工具投资,长期应收款,固定资产原值,减:累计折旧,固定资产净值,减:固定资产减值准备,在建工程,固定资产净额,固定资产清理,固定资产合计,融资租赁资产,预付租赁资产款,划分为持有待售的资产,减:未确认的收益,应收投资款项,其他应收款,合同资产,使用权资产,无形资产,商誉,长期待摊费用,递延税款借项,其他资产,减:不良资产处置损失专项准备,资产总计,负债,短期借款,向中央银行借款,发行货币债务,同业存入及拆入,其中:同业存放款项,拆入资金,客户存款(吸收存款),联行存放款项,外国政府借款,借入其他资金,央行拨付专项票据资金,保证款项,财政拨款,委托存款,衍生金融工具负债,交易性金融负债,卖出回购金融资产款,票据融资,应解汇款及临时存款,发行存款证,汇出汇款,应付票据,应付账款,预收账款,应付职工薪酬,其中:应付工资,应付福利费,应交税费,应付利息,应付股利,其他应付款,代理业务负债,划分为持有待售的负债,存入保证金,合同负债,贴现负债,预提费用,预计负债,递延收益,长期借款,应付债券,其中:应付次级债券,应付债券：优先股,应付债券：永续债,长期应付款,租赁负债,专项应付款,递延所得税负债,货币兑换,其他负债,负债合计,股东权益,股本,其他权益工具,其中:优先股,其中：永续债,资本公积,其他综合收益,可供出售类投资未实现损益(公允价值变动储备),持有至到期投资未结转损益,减:库藏股,盈余公积,一般风险准备,未确定的投资损失,信托赔偿准备金,未分配利润,其中:拟分配现金股利,外币报表折算差额,其他储备,归属于母公司股东的权益,少数股东权益,负债及股东权益总计,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,,57577485000.0,,,,,10462318000.0,,,,13316356000.0,,,,,160979991000.0,59324682000.0,,,,,,,,,,629867051000.0,646907976000.0,20907696000.0,,,,,,,,,,,,,249506051000.0,122335548000.0,,184051000.0,115060000.0,,,,,,49411000.0,1292642000.0,,1342053000.0,,,,,,,,917151000.0,1784811000.0,,,4851681000.0,2556899000.0,,1315121188000.0,,,66727660000.0,,71156362000.0,30986308000.0,40170054000.0,824057006000.0,,,,,,,,342203000.0,34457861000.0,24955310000.0,,,,,,,,1318910000.0,,,1205973000.0,,,,,,,,,,324271000.0,,,202677306000.0,,,,,975928000.0,,,,1792199000.0,1229990989000.0,,4021554000.0,9000000000.0,,9000000000.0,11186574000.0,259890000.0,,,,2021865000.0,14160601000.0,,,42135766000.0,,,,82786250000.0,2343949000.0,1315121188000.0,定期报告,未审计,20260429,CNY,合并期末,2026-04-28T19:26:06
20251231,,50270337000.0,,,,,8392415000.0,,,,25600760000.0,,,,,135062811000.0,51711745000.0,,,,,,,,,,595523883000.0,611684859000.0,19791085000.0,,,,,,,,,,,,,265175386000.0,125200316000.0,,301405000.0,354905000.0,,3484044000.0,2174742000.0,1309302000.0,,60270000.0,1309302000.0,,1369572000.0,,,,,,,,932406000.0,1833413000.0,,,5122092000.0,1297589000.0,,1268149035000.0,,,55709708000.0,,84000366000.0,43505762000.0,40494604000.0,802154177000.0,,,,,,,,308036000.0,15672788000.0,28264425000.0,,,,,,,,1726616000.0,,,899209000.0,,,,,,,,,,348472000.0,,,194063596000.0,,,,,971966000.0,,,,1691256000.0,1185810615000.0,,4021554000.0,9000000000.0,,9000000000.0,11186574000.0,18949000.0,,,,2021865000.0,14160601000.0,,,39607208000.0,,,,80016751000.0,2321669000.0,1268149035000.0,定期报告,是,20260429,CNY,合并期末,2026-04-28T19:06:08
20250930,,65449125000.0,,,,,11570275000.0,,,,21248136000.0,,,,,151280223000.0,44085153000.0,,,,,,,,,,588470030000.0,606525645000.0,22338363000.0,,,,,,,,,,,,,242855978000.0,106208046000.0,,277844000.0,497806000.0,,,,,,96736000.0,1268820000.0,,1365556000.0,,,377733000.0,,,,,1003392000.0,1320911000.0,,,5694282000.0,1993170000.0,,1243697660000.0,,,39152808000.0,,83422205000.0,40605282000.0,42816923000.0,763428190000.0,,,,,,,,327948000.0,30341946000.0,14047318000.0,,,,,,,,1408838000.0,,,1429509000.0,,,,,,,,,,450855000.0,,,221941683000.0,,,,,941393000.0,,,,3594266000.0,1160486959000.0,,4021554000.0,10991585000.0,5991585000.0,5000000000.0,11199405000.0,216219000.0,,,,2021865000.0,14127266000.0,,,38248095000.0,,,,80825989000.0,2384712000.0,1243697660000.0,定期报告,未审计,20251031,CNY,合并期末,2025-10-30T19:00:05
20250630,,47867174000.0,,,,,13199675000.0,,,,21341065000.0,,,,,182428726000.0,42355753000.0,,,,,,,,,,584948742000.0,602691594000.0,22091541000.0,,,,,,,,,,,,,252188453000.0,88219825000.0,,318244000.0,419433000.0,,3310560000.0,2076784000.0,1233776000.0,,109346000.0,1233776000.0,,1343122000.0,,,377733000.0,,,,,1010651000.0,1312478000.0,,,5281675000.0,4772337000.0,,1247385086000.0,,,62048629000.0,,53186489000.0,10536892000.0,42649597000.0,772538061000.0,,,,,,,,423674000.0,18663923000.0,28027477000.0,,,,,,,,1215743000.0,,,961602000.0,,,,,,,,,,450341000.0,,,224519714000.0,,,,,961597000.0,,,,2093024000.0,1165090274000.0,,4021554000.0,10991585000.0,5991585000.0,5000000000.0,11199405000.0,640430000.0,,,,2021865000.0,14127266000.0,,,36941317000.0,,,,79943422000.0,2351390000.0,1247385086000.0,定期报告,未审计,20250830,CNY,合并期末,2025-08-29T17:52:02
20250331,,52250270000.0,,,,,12384859000.0,,,,10952624000.0,,,,,177219332000.0,40941747000.0,,,,,,,,,,570939112000.0,587940511000.0,17001399000.0,,,,,,,,,,,,,266136111000.0,68404259000.0,,443305000.0,432939000.0,,,,,,73444000.0,1293725000.0,,1367169000.0,,,,,,,,1039474000.0,1683039000.0,,,5496670000.0,1551345000.0,,1211242255000.0,,,53204773000.0,,53919842000.0,16753772000.0,37166070000.0,763832625000.0,,,,,,,,482577000.0,22701758000.0,17626616000.0,,,,,,,,1123867000.0,,,1187065000.0,,,,,,,,,,526817000.0,,,211597035000.0,,,,,978386000.0,,,,2407526000.0,1129588887000.0,,4021554000.0,10991585000.0,5991585000.0,5000000000.0,11199405000.0,464747000.0,,,,2021865000.0,14127266000.0,,,36474582000.0,,,,79301004000.0,2352364000.0,1211242255000.0,定期报告,未审计,20250426,CNY,合并期末,2025-04-25T19:02:05
20241231,,51594767000.0,,,,,5355545000.0,,,,12686042000.0,,,,,110517038000.0,46136726000.0,,,,,,,,,,529229498000.0,545108561000.0,20310457000.0,,,,,,,,,,,,,272281367000.0,107132072000.0,,639963000.0,407671000.0,,3285204000.0,1959336000.0,1325868000.0,,83197000.0,1325868000.0,,1409065000.0,,,,,,,,1104708000.0,1726150000.0,,,4997568000.0,1529741000.0,,1146747921000.0,,,38297665000.0,,48616517000.0,16580376000.0,32036141000.0,736737742000.0,,,,,,,,725639000.0,4987365000.0,29914616000.0,,,,,,,,1483149000.0,,,726009000.0,,,,,,,,,,571251000.0,,,201337703000.0,,,,,1048489000.0,,,,1951484000.0,1066397629000.0,,4021554000.0,10991585000.0,5991585000.0,5000000000.0,11199405000.0,1350503000.0,,,,2021865000.0,14127266000.0,,,34301467000.0,,,,78013645000.0,2336647000.0,1146747921000.0,定期报告,是,20260429,CNY,合并期末,2025-04-25T19:02:05
20240930,,54153547000.0,,,,,5756737000.0,,,,10488226000.0,,,,,144501533000.0,46423511000.0,,,,,,,,,,527198493000.0,543229886000.0,19786482000.0,,,,,,,,,,,,,246243140000.0,76732261000.0,,399100000.0,266782000.0,,,,,,100310000.0,1316362000.0,,1416672000.0,,,,,,,,1126212000.0,1631230000.0,,,5110037000.0,1686920000.0,,1123134401000.0,,,41472348000.0,,56805319000.0,23250556000.0,33554763000.0,702103230000.0,,,,,,,,577461000.0,9019955000.0,7040965000.0,,,,,,,,1000137000.0,,,1100054000.0,,,,,,,,,,537635000.0,,,221542516000.0,,,,,1041715000.0,,,,2567994000.0,1044809329000.0,,4021554000.0,10991585000.0,5991585000.0,5000000000.0,11188495000.0,729370000.0,,,,2021865000.0,12243594000.0,,,34863121000.0,,,,76059584000.0,2265488000.0,1123134401000.0,定期报告,未审计,20241030,CNY,合并期末,2024-10-29T17:15:03
20240630,,56293807000.0,,,,,5384282000.0,,,,14780710000.0,,,,,137276181000.0,40301381000.0,,,,,,,,,,517592375000.0,533591185000.0,19570666000.0,,,,,,,,,,,,,247386588000.0,65952128000.0,,666949000.0,257883000.0,,3234172000.0,1861963000.0,1372209000.0,,88237000.0,1372209000.0,,1460446000.0,,,,,,,,1161713000.0,1628321000.0,,,5064104000.0,1715043000.0,,1096921911000.0,,,35902315000.0,,50725251000.0,21266552000.0,29458699000.0,695002859000.0,,,,,,,,738161000.0,5077002000.0,16612118000.0,,,,,,,,891343000.0,,,940376000.0,,,,,,,,,,496067000.0,,,214440197000.0,,,,,1099380000.0,,,,3820397000.0,1025745466000.0,,4021554000.0,5991585000.0,5991585000.0,,11189856000.0,659059000.0,,,,2021865000.0,12236434000.0,,,32804489000.0,,,,68924842000.0,2251603000.0,1096921911000.0,定期报告,未审计,20240830,CNY,合并期末,2024-08-29T20:40:03
20240331,,50469134000.0,,,,,4793741000.0,,,,14639990000.0,,,,,130915605000.0,33377202000.0,,,,,,,,,,507038020000.0,522317081000.0,18749950000.0,,,,,,,,,,,,,246091612000.0,62540605000.0,,710999000.0,251416000.0,,,,,,63583000.0,1423181000.0,,1486764000.0,,,,,,,,1211184000.0,1605144000.0,,,5211505000.0,960419000.0,,1061303340000.0,,,35545843000.0,,59233314000.0,30740296000.0,28493018000.0,688446726000.0,,,,,,,,743234000.0,5332697000.0,22723568000.0,,,,,,,,930229000.0,,,1279562000.0,,,,,,,,,,535306000.0,,,172666246000.0,,,,,1131763000.0,,,,2208592000.0,990777080000.0,,4021554000.0,5991585000.0,5991585000.0,,11189856000.0,533437000.0,,,,2021865000.0,12236434000.0,,,32305189000.0,,,,68299920000.0,2226340000.0,1061303340000.0,定期报告,未审计,20240427,CNY,合并期末,2024-04-26T20:35:08
20231231,,56779762000.0,,,,,4185852000.0,,,,13423461000.0,,,,,121020036000.0,36853691000.0,,,,,,,,,,473853111000.0,488391053000.0,17636116000.0,,,,,,,,,,,,,247876479000.0,53821948000.0,,524631000.0,240910000.0,,3229240000.0,1738713000.0,1490527000.0,,66815000.0,1490527000.0,,1557342000.0,,,,,,,,1245974000.0,1655260000.0,,,5244927000.0,1749559000.0,,1020032943000.0,,,44967569000.0,,77006219000.0,48715276000.0,28290943000.0,670857623000.0,,,,,,,,715731000.0,1083106000.0,6424933000.0,,,,,,,,1239726000.0,,,1114368000.0,,,,,,,,,,506158000.0,,,143982477000.0,,,,,1167184000.0,,,,2648470000.0,951713564000.0,,4021554000.0,5991585000.0,5991585000.0,,11187858000.0,437788000.0,,,,2021865000.0,12225884000.0,,,30222464000.0,,,,66108998000.0,2210381000.0,1020032943000.0,定期报告,是,20250426,CNY,合并期末,2024-04-26T20:15:04
