报告日,经营活动产生的现金流量,客户贷款及垫款净减少额,向央行借款净增加额,客户存款和同业存放款项净增加额,客户存款,同业及其他金融机构存放款,收回存放同业及其他金融机构净额,拆入资金现金流入,收回的拆出资金净额,吸收的卖出回购项净额,收回的买入返售项净额,处置交易性金融资产净增加额,收取利息、手续费及佣金的现金,收到利息,收到的手续费,金融企业往来收入收到的现金,中间业务收入收到的现金,证券投资收益收到的现金,汇兑净收益收到的现金,存入保证金收到的现金,销售商品、提供劳务收到的现金,贵金属现金流入,收到的委托资金,贴现收到的现金,其他负债增加流入的现金,收回的已于以前年度核销的贷款及应收款项,已核销呆账贷款及利息收回,处置抵债资产收到的现金,其他营业及营业外净收入收到的现金,收到的税费返还,收到其他与经营活动有关的现金,经营活动现金流入小计,客户贷款及垫款净增加额,存放中央银行和同业款项净增加额,存放中央银行,存放同业及其他机构存款,拆出资金净现金流出,偿还中央银行借款,支付的存款,减少同业及其他金融机构存放净额,偿还同业及其他金融机构拆入净额,偿还卖出回购款项净额,证券投资支出的现金,支付买入返售款项净额,处置可供出售金融资产净减少额,支付利息、手续费及佣金的现金,支付的利息,手续费支出支付的现金,支付给职工以及为职工支付的现金,以现金支付的营业费用,与金融机构往来支出的现金净额,贴现支付的现金,委托及代理业务减少额,贵金属现金流出,购买商品、接受劳务支付的现金,借入其他资金净减少额,其他资产减少支出的现金,为交易目的而持有的金融资产净增加额,支付的各项税费,支付其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,投资活动产生的现金流量,收回投资收到的现金,取得投资收益收到的现金,分得股利或利润所收到的现金,取得债券利息收入收到的现金,处置固定资产、无形资产及其他资产而收到的现金,处置股权投资所收到的现金,处置子公司及其他单位收到的现金,取得子公司及其他营业单位所收到的现金净额,收到其他与投资活动有关的现金,投资活动现金流入小计,投资支付的现金,权益性投资增加支付的现金,债券投资所支付的现金,购买子公司、联营企业及合营企业投资所支付的现金净额,增加在建工程所支付的现金,购建固定资产、无形资产和其他长期资产支付的现金,取得子公司及其他营业单位支付的现金净额,支付的其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,筹资活动产生的现金流量,吸收投资所收到的现金,发行证券化资产所吸收的现金,取得借款收到的现金,发行债券收到的现金,发行次级债券收到的现金,增加股本所收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务所支付的现金,分配股利、利润或偿付利息支付的现金,偿付利息所支付的现金,支付新股发行费用,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,汇率变动对现金及现金等价物的影响,现金及现金等价物净增加额,现金的期末余额,现金的期初余额,现金等价物的期末余额,现金等价物的期初余额,期初现金及现金等价物余额,期末现金及现金等价物余额,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,,,19426965000.0,60822749000.0,,,,,,,,4339032000.0,6758334000.0,6435094000.0,323240000.0,,,,,,,,,,,,,,,,2194243000.0,93541323000.0,32215524000.0,2133937000.0,,,12787692000.0,,,,,,,,,3603024000.0,3551659000.0,51365000.0,825570000.0,,,,,,,,,,478599000.0,907478000.0,52951824000.0,40589499000.0,,26830447000.0,2546382000.0,,,36946000.0,,,,,29413775000.0,22587594000.0,,,,,168536000.0,,,22756130000.0,6657645000.0,,,,,22695168000.0,,,,22695168000.0,32480000000.0,1091248000.0,506482000.0,,,33591184000.0,-10896016000.0,-16790000.0,36334338000.0,,,,,19880695000.0,56215033000.0,定期报告,未审计,20260429,CNY,合并期末,2026-04-28T19:26:03
20251231,,,28273526000.0,121998268000.0,,,,,,,,3888036000.0,24351091000.0,23431105000.0,919986000.0,,,,,,,,,,,,,,,,1070653000.0,179581574000.0,96063610000.0,2184902000.0,,,12265782000.0,,,,,,,,,12764716000.0,12554613000.0,210103000.0,2282935000.0,,,,,,,,,,2460346000.0,2123690000.0,130145981000.0,49435593000.0,,94415654000.0,10663005000.0,,,6325000.0,,,,,105084984000.0,156093841000.0,,,,,1320119000.0,,,157413960000.0,-52328976000.0,,,,,168892653000.0,,,,168892653000.0,159530000000.0,2744713000.0,1209648000.0,,,162369824000.0,6522829000.0,-18593000.0,3610853000.0,,,,,16269842000.0,19880695000.0,定期报告,是,20260325,CNY,合并期末,2026-03-24T19:10:04
20250930,,,30471243000.0,112657145000.0,,,,,,,,,18290544000.0,17451878000.0,838666000.0,,,,,,,,,,,,,,,,553769000.0,161972701000.0,83941779000.0,1883017000.0,,,5189691000.0,,,,,,,,,9835405000.0,9687423000.0,147982000.0,1808902000.0,,,,,,,,,1613696000.0,1776077000.0,1555908000.0,107604475000.0,54368226000.0,,82734199000.0,8392319000.0,,,7658000.0,,,,,91134176000.0,139478818000.0,,,,,1059521000.0,,,140538339000.0,-49404163000.0,,,,,128344474000.0,,,,128344474000.0,122590000000.0,2309477000.0,774449000.0,,,124971720000.0,3372754000.0,-2836000.0,8333981000.0,,,,,16269842000.0,24603823000.0,定期报告,未审计,20251025,CNY,合并期末,2025-10-24T17:38:04
20250630,,,25102513000.0,84074563000.0,,,,,,,,,11974087000.0,11365960000.0,608127000.0,,,,,,,,,,,,,,,,1332508000.0,122483671000.0,62299968000.0,1291322000.0,,,3904412000.0,,,,,,,,,4915510000.0,4810327000.0,105183000.0,1291892000.0,,,,,,,,,7135637000.0,1104394000.0,447017000.0,82390152000.0,40093519000.0,,47596378000.0,5621320000.0,,,5768000.0,,,,,53223466000.0,97947323000.0,,,,,707904000.0,,,98655227000.0,-45431761000.0,,,,,70042601000.0,,,,70042601000.0,65110000000.0,2012931000.0,516966000.0,,,67166895000.0,2875706000.0,-1693000.0,-2464229000.0,,,,,16269842000.0,13805613000.0,定期报告,未审计,20250823,CNY,合并期末,2025-08-22T18:28:04
20250331,,,16093673000.0,60825371000.0,,,,,,,,1183962000.0,5844791000.0,5425500000.0,419291000.0,,,,,,,,,,,,,,,,478690000.0,84426487000.0,34677917000.0,2159781000.0,,,1665399000.0,,,,,,,,,2513076000.0,2459717000.0,53359000.0,801535000.0,,,,,,,,,,488553000.0,744710000.0,43050971000.0,41375516000.0,,11952895000.0,2112899000.0,,,6412000.0,,,,,14072206000.0,50396372000.0,,,,,178342000.0,,,50574714000.0,-36502508000.0,,,,,15933031000.0,,,,15933031000.0,19520000000.0,868775000.0,316367000.0,,,20412098000.0,-4479067000.0,32644000.0,426585000.0,,,,,16269842000.0,16696427000.0,定期报告,未审计,20260429,CNY,合并期末,2025-04-25T19:26:04
20241231,,,,48055761000.0,,,,21209037000.0,,,,,22655413000.0,21423789000.0,1231624000.0,,,,,,,,,,,,,,,,1089562000.0,93507467000.0,50780360000.0,,,,,7761065000.0,,,,,,,,10272405000.0,10039280000.0,233125000.0,2207301000.0,,,,,,,,,39397593000.0,2611117000.0,1224512000.0,114254353000.0,-20746886000.0,,86392672000.0,10002144000.0,,,77647000.0,,,,,96472463000.0,110302000000.0,,,,,670484000.0,,,110972484000.0,-14500021000.0,,,,,174435723000.0,,,,174435723000.0,139730000000.0,2423110000.0,886897000.0,,,142227453000.0,32208270000.0,6050000.0,-3032587000.0,,,,,19302429000.0,16269842000.0,定期报告,是,20260325,CNY,合并期末,2025-03-21T20:20:10
20240930,,,,40274799000.0,,,,,,,,,17214407000.0,16164705000.0,1049702000.0,,,,,,,,,,,,,,,,1640714000.0,59129920000.0,42389360000.0,1162879000.0,,,12780548000.0,6328238000.0,,,,,,,,7272707000.0,7098959000.0,173748000.0,1736391000.0,,,,,,,,,17013934000.0,1931561000.0,899177000.0,91514795000.0,-32384875000.0,,72096264000.0,7893063000.0,,,26573000.0,,,,,80015900000.0,67290341000.0,,,,,418082000.0,,,67708423000.0,12307477000.0,,,,,133808326000.0,,,,133808326000.0,117890000000.0,2075031000.0,562898000.0,,,120024652000.0,13783674000.0,-4808000.0,-6298532000.0,,,,,19302429000.0,13003897000.0,定期报告,未审计,20251025,CNY,合并期末,2024-10-30T17:20:03
20240630,,,,28909465000.0,,,,,,,,,11257230000.0,10541647000.0,715583000.0,,,,,,,,,,,,,,,,1311717000.0,41478412000.0,28348789000.0,418933000.0,,,37640123000.0,948118000.0,,,,,,,,5138103000.0,5022187000.0,115916000.0,1295196000.0,,,,,,,,,3581563000.0,1211336000.0,810674000.0,79392835000.0,-37914423000.0,,54886740000.0,5656715000.0,,,26573000.0,,,,,60570028000.0,27262448000.0,,,,,297823000.0,,,27560271000.0,33009757000.0,,,,,75775687000.0,,,,75775687000.0,74920000000.0,533564000.0,439148000.0,,,75492481000.0,283206000.0,-4748000.0,-4626208000.0,,,,,19302429000.0,14676221000.0,定期报告,未审计,20250823,CNY,合并期末,2024-08-30T21:15:03
20240331,,,,20512516000.0,,,539140000.0,,,,,,5583394000.0,5206690000.0,376704000.0,,,,,,,,,,,,,,,,294996000.0,26930046000.0,15248423000.0,,,,23423874000.0,772783000.0,,,,,,,,2618898000.0,2547575000.0,71323000.0,851323000.0,,,,,,,,,1374916000.0,462659000.0,1458609000.0,46211485000.0,-19281439000.0,,27392609000.0,2538315000.0,,,12848000.0,,,,,29943772000.0,7475583000.0,,,,,174857000.0,,,7650440000.0,22293332000.0,,,,,24465725000.0,,,,24465725000.0,33650000000.0,378647000.0,378647000.0,,,34042100000.0,-9576375000.0,9634000.0,-6554848000.0,,,,,19302429000.0,12747581000.0,定期报告,未审计,20250426,CNY,合并期末,2024-04-26T20:50:03
20231231,,,22917913000.0,28428207000.0,,,,,,,,,20116060000.0,19396696000.0,719364000.0,,,,,,,,,,,,,,,,1261742000.0,72723922000.0,41362501000.0,126393000.0,,,9538435000.0,,,,,,,,,11014134000.0,10795273000.0,218861000.0,2110916000.0,,,,,,,,,426055000.0,2529487000.0,1166649000.0,68274570000.0,4449352000.0,,70288946000.0,10135016000.0,,,56370000.0,,,,,80480332000.0,101041967000.0,,,,,415467000.0,,,101457434000.0,-20977102000.0,,,,,159886647000.0,,,,162386841000.0,143820000000.0,2182238000.0,699144000.0,,,146067205000.0,16319636000.0,24064000.0,-184050000.0,,,,,19486479000.0,19302429000.0,定期报告,是,20250322,CNY,合并期末,2024-03-27T19:55:03
