report_date,report_name,report_period,quarter_name,metric_name,value,single,yoy,mom,single_yoy
2025-12-31,2025年报,2025-4,2025四季度,financing_cash_inflow_special,,,,,
2025-12-31,2025年报,2025-4,2025四季度,invest_cash_outflow_total,39253902058.93,-141331194.3700,0.02124056,-1.01469809,-1.00457151
2025-12-31,2025年报,2025-4,2025四季度,pay_other_related_financing_cash,478641567.63,106278714.9000,-0.50408659,1.59891073,0.98045534
2025-12-31,2025年报,2025-4,2025四季度,pay_debt_cash,235559924291.73,86192771669.0200,0.08905337,0.59616123,0.52698545
2025-12-31,2025年报,2025-4,2025四季度,financing_cash_outflow_total,248063408650.68,89812369350.9700,0.09590258,0.65732177,0.58173335
2025-12-31,2025年报,2025-4,2025四季度,subsidiary_pay_holder_dividends,65444744.25,4439961.1500,0.08762167,-0.72832631,-0.65081284
2025-12-31,2025年报,2025-4,2025四季度,dispose_fixed_intangible_long_term_assets_loss,34238453.85,,1.25198629,,
2025-12-31,2025年报,2025-4,2025四季度,deposits_and_funds_net_addition,,,,,
2025-12-31,2025年报,2025-4,2025四季度,cash_equivalents_net_addition_special,,,,,
2025-12-31,2025年报,2025-4,2025四季度,repurchase_funds_net_addition,,,,,
2025-12-31,2025年报,2025-4,2025四季度,pay_interest_fee_and_commission_cash,,,,,
2025-12-31,2025年报,2025-4,2025四季度,received_invest_cash,30315337269.42,7003104619.1800,4.60786270,4.49026365,1.23160498
2025-12-31,2025年报,2025-4,2025四季度,received_origin_insurance_cash,,,,,
2025-12-31,2025年报,2025-4,2025四季度,receive_issuance_bond_cash,,,,,
2025-12-31,2025年报,2025-4,2025四季度,borrow_other_net_addition,,,,,
2025-12-31,2025年报,2025-4,2025四季度,pay_origin_insurance_contract_cash,,,,,
2025-12-31,2025年报,2025-4,2025四季度,disposal_financial_assets_measure_net_addition,,,,,
2025-12-31,2025年报,2025-4,2025四季度,financing_cash_inflow_total,234590514921.2,81729597865.9700,0.07081097,0.55098245,0.49009840
2025-12-31,2025年报,2025-4,2025四季度,investment_loss,-147155879.24,,0.93912464,,
2025-12-31,2025年报,2025-4,2025四季度,pay_other_invest_cash,471504.49,0.0000,-0.98805925,,-1.00000000
2025-12-31,2025年报,2025-4,2025四季度,tax_payments,6854150915.76,1359880788.3500,0.01852189,0.09612481,-0.09644373
