item_name,"('000001.SZ', 2025)","('600585.SH', 2025)","('601318.SH', 2025)"
货币资金,,,745679.0
交易性金融资产,765101.0,,
应收账款,,,43678.0
流动资产合计,,88804755690.0,
长期股权投资,,,141251.0
固定资产,11155.0,,44624.0
无形资产,5760.0,,22196.0
非流动资产合计,,167195974479.0,
资产总计,5925777.0,256000730169.0,13898471.0
短期借款,,,84520.0
应付账款,,,5791.0
长期借款,,,150094.0
负债合计,5374593.0,,12482483.0
一年内到期的非流动资产 五、10,,1369409315.0,
一般风险准备,69478.0,,160677.0
买入返售金融资产,59526.0,,183497.0
交易性金融负债,186031.0,,
交易性金融资产 五、2,,12899352683.0,
代理买卖证券款,,,220555.0
以公允价值计量且其变动计入当期损益的金融负债,,,221829.0
以公允价值计量且其变动计入当期损益的金融资产,,,2713327.0
使用权资产,4001.0,,8322.0
使用权资产 五、17,,888246087.0,
保险合同负债,,,5360910.0
债权投资,781961.0,,1270569.0
其中：优先股,19953.0,,
其他债权投资,163904.0,,3231435.0
其他应收款 五、7,,1444659039.0,
其他权益工具,99953.0,,
其他权益工具投资,4727.0,,609550.0
其他权益工具投资 五、13,,1416433764.0,
其他流动资产 五、11,,4281263129.0,
其他综合收益,136.0,,-59972.0
其他负债,30002.0,,307700.0
其他资产,20412.0,,172080.0
其他非流动资产 五、21,,18103571261.0,
减：库存股,,,-5001.0
分出再保险合同负债,,,537.0
分出再保险合同资产,,,25515.0
卖出回购金融资产款,80856.0,,643547.0
发放贷款及垫款,,,3409074.0
发放贷款和垫款,3320386.0,,
同业及其他金融机构存放款项,565370.0,,
向中央银行借款,223537.0,,223537.0
吸收存款,3633569.0,,3588691.0
商誉 五、19,,1241748131.0,
固定资产 五、15,,92533715111.0,
在建工程 五、16,,6172122578.0,
存出资本保证金,,,15380.0
存放同业款项,143705.0,,
存货 五、8,,7596948434.0,
定期存款,,,361584.0
少数股东权益,,,415569.0
已发行债务证券,544534.0,,
应交税费,5501.0,,20302.0
应付债券,,,853661.0
应付职工薪酬,14959.0,,60831.0
应收款项融资 五、5,,1548405892.0,
应收票据 五、3,,5795292472.0,
应收账款 五、4,,2922319660.0,
归属于母公司股东权益合计,,,1000419.0
投资性房地产,289.0,,151411.0
投资性房地产 五、14,,63351166.0,
拆入资金,53367.0,,118295.0
拆出资金,273791.0,,272995.0
持有待售资产 五、9 -,,11442212.0,
无形资产 五、18,,37051103465.0,
未分配利润,270788.0,,766914.0
永续债,80000.0,,
现金及存放中央银行款项,254225.0,,
盈余公积,10781.0,,12164.0
租赁负债,4255.0,,8407.0
结算备付金,,,35330.0
股东权益合计,551184.0,,1415988.0
衍生金融负债,27391.0,,46862.0
衍生金融资产,28157.0,,30002.0
负债及股东权益总计,5925777.0,,
负债和股东权益总计,,,13898471.0
货币资金 五、1,,50252254165.0,
贵金属,30850.0,,
资本公积,80642.0,,102528.0
递延所得税负债,,,6647.0
递延所得税资产,50259.0,,114640.0
递延所得税资产 五、20,,1744279226.0,
银行同业及其他金融机构存放款项,,,528163.0
长期应收款,,,258202.0
长期股权投资 五、12,,7981403690.0,
预付款项 五、6,,694850901.0,
预收保费,,,31604.0
预计负债,5221.0,,
