item_name,"('000001.SZ', 2025)","('600585.SH', 2025)","('601318.SH', 2025)"
经营活动产生的现金流量净额,315858.0,2779450301.0,-591.0
筹资活动产生的现金流量净额,,,75388.0
一般风险准备,,,395.0
为交易目的而持有的金融资产净减少额,12071.0,,
为交易目的而持有的金融资产净增加额-,-79103.0,,
买入返售金融资产,,,8290.0
买入返售金融资产净减少额-,4024.0,,
买入返售金融资产净增加额,-2684.0,,
以公允价值计量且其变动计入当期损益的金融资产,,,50562.0
使用权资产–,,,85.0
使用权资产折旧,1927.0,,
保单质押贷款净减少额,,,6959.0
保险业务卖出回购业务资金净增加额,,,230683.0
保险业务拆入资金净减少额–,,,-1200.0
保险业务拆入资金净增加额,,,4199.0
信用减值损失,40407.0,,
债权投资,,,200.0
偿付债务证券利息支付的现金,-5231.0,,
偿还债务支付的现金,,10608173395.0,-1083496.0
偿还租赁负债支付的现金,-2611.0,,-4922.0
其中：子公司吸收少数股东投资收到的现金,,,76739.0
其中：子公司支付给少数股东的股利,,,-13246.0
其他债权投资,,,14683.0
其他综合收益,,,223.0
其他负债,,,727.0
其他资产,,,459.0
其他资产减值损失,160.0,,
净利润,42633.0,,
净损益,32.0,,
减：库存股–,,,-5001.0
减：现金的年初余额,-3687.0,,
减：现金等价物的年初余额,-294532.0,,
分配股利及偿付利息支付的现金,,,-77146.0
分配股利及利润支付的现金,-21576.0,,
分配股利或偿付利息支付的现金,,6288462518.0,
加：年初现金及现金等价物余额,256946.0,16337146843.0,479045.0
加：现金等价物的年末余额,338578.0,,
卖出回购金融资产款,,,307.0
卖出回购金融资产款净减少额,-50320.0,,
卖出回购金融资产款净增加额-,72924.0,,
发放贷款及垫款净增加额,,,-102755.0
发放贷款和垫款净增加额,-97655.0,,
发行债券收到的现金,,1000000000.0,878243.0
发行债券收到的现金-,,10000000000.0,
发行债务证券及其他权益工具收到的现金,725935.0,,
取得借款收到的现金,,7524911749.0,93075.0
取得子公司及其他营业单位支付的现金净额,,1313140838.0,
取得投资收益收到的现金,30272.0,5031085967.0,224837.0
向中央银行借款净减少额-,-121484.0,,
向中央银行借款净减少额–,,,-121484.0
向中央银行借款净增加额,137675.0,,137675.0
吸收存款和同业存放款项净增加额,165882.0,,
吸收投资收到的现金,,278209047.0,76739.0
固定资产,,,101.0
固定资产折旧,1328.0,,
