stock_code,year,period,statement_type,field_code,field_name,value,display_order
600970,2022,annual,cash_flow,F123N,净利润,2824000000.0,85
600970,2022,annual,cash_flow,F124N,资产减值准备,112000000.00000001,86
600970,2022,annual,cash_flow,F125N,固定资产折旧,343000000.0,87
600970,2022,annual,cash_flow,F134N,存货的减少,309000000.0,96
600970,2022,annual,cash_flow,F135N,经营性应收项目的减少,-1648999999.9999998,97
600970,2022,annual,cash_flow,F136N,经营性应付项目的增加,-1610000000.0000002,98
600970,2021,annual,cash_flow,F123N,净利润,2047000000.0,85
600970,2021,annual,cash_flow,F125N,固定资产折旧,313000000.0,87
600970,2021,annual,cash_flow,F131N,投资损失,-166000000.0,93
600970,2021,annual,cash_flow,F134N,存货的减少,-191000000.0,96
600970,2021,annual,cash_flow,F135N,经营性应收项目的减少,-3477000000.0000005,97
600970,2021,annual,cash_flow,F136N,经营性应付项目的增加,2831000000.0,98
600970,2020,annual,cash_flow,F123N,净利润,1695000000.0,85
600970,2020,annual,cash_flow,F124N,资产减值准备,269000000.0,86
600970,2020,annual,cash_flow,F125N,固定资产折旧,306000000.0,87
600970,2020,annual,cash_flow,F127N,长期待摊费用摊销,103000000.0,89
600970,2020,annual,cash_flow,F131N,投资损失,-147000000.0,93
600970,2020,annual,cash_flow,F132N,递延所得税资产减少,-105000000.0,94
600970,2020,annual,cash_flow,F135N,经营性应收项目的减少,-656000000.0,97
600970,2020,annual,cash_flow,F136N,经营性应付项目的增加,-153000000.0,98
