stock_code,year,period,statement_type,field_code,field_name,value,display_order
000001,2022,annual,cash_flow,F072N,客户存款和同业存放款项净增加额,411157000000.0,1
000001,2022,annual,cash_flow,F081N,收取利息、手续费及佣金的现金,248891000000.0,8
000001,2022,annual,cash_flow,F008N,收到其他与经营活动有关的现金,53676000000.0,12
000001,2022,annual,cash_flow,F009N,经营活动现金流入小计,771751000000.0,13
000001,2022,annual,cash_flow,F084N,客户贷款及垫款净增加额,332903000000.0,15
000001,2022,annual,cash_flow,F085N,存放中央银行和同业款项净增加额,21405000000.0,16
000001,2022,annual,cash_flow,F087N,支付利息、手续费及佣金的现金,74373000000.0,18
000001,2022,annual,cash_flow,F011N,支付给职工以及为职工支付的现金,21741000000.0,20
000001,2022,annual,cash_flow,F012N,支付的各项税费,27713000000.0,21
000001,2022,annual,cash_flow,F013N,支付其他与经营活动有关的现金,24009000000.0,22
000001,2022,annual,cash_flow,F014N,经营活动现金流出小计,637179000000.0,23
000001,2022,annual,cash_flow,F016N,收回投资收到的现金,491914000000.0,25
000001,2022,annual,cash_flow,F017N,取得投资收益收到的现金,38427000000.0,26
000001,2022,annual,cash_flow,F021N,投资活动现金流入小计,530632000000.0,30
000001,2022,annual,cash_flow,F022N,购建固定资产、无形资产和其他长期资产支付的现金,3543000000.0,31
000001,2022,annual,cash_flow,F023N,投资支付的现金,509231000000.0,32
000001,2022,annual,cash_flow,F026N,投资活动现金流出小计,512774000000.0,36
000001,2022,annual,cash_flow,F076N,发行债券收到的现金,679189000000.0,41
000001,2022,annual,cash_flow,F031N,筹资活动现金流入小计,679189000000.0,43
000001,2022,annual,cash_flow,F033N,分配股利、利润或偿付利息支付的现金,11887000000.0,45
000001,2022,annual,cash_flow,F035N,筹资活动现金流出小计,840594000000.0,48
000001,2022,annual,cash_flow,F066N,现金的期末余额,4162000000.0,76
000001,2021,annual,cash_flow,F072N,客户存款和同业存放款项净增加额,162932000000.0,1
000001,2021,annual,cash_flow,F081N,收取利息、手续费及佣金的现金,230719000000.0,8
000001,2021,annual,cash_flow,F008N,收到其他与经营活动有关的现金,43305000000.0,12
000001,2021,annual,cash_flow,F009N,经营活动现金流入小计,486048000000.0,13
000001,2021,annual,cash_flow,F084N,客户贷款及垫款净增加额,447389000000.0,15
000001,2021,annual,cash_flow,F087N,支付利息、手续费及佣金的现金,70444000000.0,18
000001,2021,annual,cash_flow,F011N,支付给职工以及为职工支付的现金,20560000000.0,20
000001,2021,annual,cash_flow,F012N,支付的各项税费,23411000000.0,21
000001,2021,annual,cash_flow,F013N,支付其他与经营活动有关的现金,39233000000.0,22
000001,2021,annual,cash_flow,F014N,经营活动现金流出小计,678781000000.0,23
000001,2021,annual,cash_flow,F016N,收回投资收到的现金,483160000000.0,25
000001,2021,annual,cash_flow,F017N,取得投资收益收到的现金,36017000000.0,26
000001,2021,annual,cash_flow,F021N,投资活动现金流入小计,519736000000.0,30
000001,2021,annual,cash_flow,F022N,购建固定资产、无形资产和其他长期资产支付的现金,6614000000.0,31
000001,2021,annual,cash_flow,F023N,投资支付的现金,553577000000.0,32
000001,2021,annual,cash_flow,F026N,投资活动现金流出小计,560191000000.0,36
000001,2021,annual,cash_flow,F076N,发行债券收到的现金,1112799000000.0,41
000001,2021,annual,cash_flow,F031N,筹资活动现金流入小计,1112799000000.0,43
000001,2021,annual,cash_flow,F033N,分配股利、利润或偿付利息支付的现金,11237000000.0,45
000001,2021,annual,cash_flow,F035N,筹资活动现金流出小计,931735000000.0,48
000001,2021,annual,cash_flow,F066N,现金的期末余额,3685000000.0,76
000001,2020,annual,cash_flow,F072N,客户存款和同业存放款项净增加额,335675000000.0,1
000001,2020,annual,cash_flow,F081N,收取利息、手续费及佣金的现金,218484000000.0,8
000001,2020,annual,cash_flow,F008N,收到其他与经营活动有关的现金,46996000000.0,12
000001,2020,annual,cash_flow,F009N,经营活动现金流入小计,653612000000.0,13
000001,2020,annual,cash_flow,F084N,客户贷款及垫款净增加额,405611000000.0,15
000001,2020,annual,cash_flow,F087N,支付利息、手续费及佣金的现金,80185000000.0,18
000001,2020,annual,cash_flow,F011N,支付给职工以及为职工支付的现金,17829000000.0,20
000001,2020,annual,cash_flow,F012N,支付的各项税费,24525000000.0,21
000001,2020,annual,cash_flow,F013N,支付其他与经营活动有关的现金,23657000000.0,22
000001,2020,annual,cash_flow,F014N,经营活动现金流出小计,669773000000.0,23
000001,2020,annual,cash_flow,F016N,收回投资收到的现金,661967000000.0,25
000001,2020,annual,cash_flow,F017N,取得投资收益收到的现金,36942000000.0,26
000001,2020,annual,cash_flow,F021N,投资活动现金流入小计,699286000000.0,30
000001,2020,annual,cash_flow,F022N,购建固定资产、无形资产和其他长期资产支付的现金,3490000000.0,31
000001,2020,annual,cash_flow,F023N,投资支付的现金,679852000000.0,32
000001,2020,annual,cash_flow,F026N,投资活动现金流出小计,683342000000.0,36
000001,2020,annual,cash_flow,F076N,发行债券收到的现金,806570000000.0,41
000001,2020,annual,cash_flow,F031N,筹资活动现金流入小计,806570000000.0,43
000001,2020,annual,cash_flow,F033N,分配股利、利润或偿付利息支付的现金,9904000000.0,45
000001,2020,annual,cash_flow,F035N,筹资活动现金流出小计,703169000000.0,48
000001,2020,annual,cash_flow,F066N,现金的期末余额,3805000000.0,76
000001,2019,annual,cash_flow,F072N,客户存款和同业存放款项净增加额,285850000000.0,1
000001,2019,annual,cash_flow,F081N,收取利息、手续费及佣金的现金,201527000000.0,8
000001,2019,annual,cash_flow,F008N,收到其他与经营活动有关的现金,46386000000.0,12
000001,2019,annual,cash_flow,F009N,经营活动现金流入小计,587214000000.0,13
000001,2019,annual,cash_flow,F084N,客户贷款及垫款净增加额,374197000000.0,15
000001,2019,annual,cash_flow,F087N,支付利息、手续费及佣金的现金,80989000000.0,18
000001,2019,annual,cash_flow,F011N,支付给职工以及为职工支付的现金,18090000000.0,20
000001,2019,annual,cash_flow,F012N,支付的各项税费,22879000000.0,21
000001,2019,annual,cash_flow,F013N,支付其他与经营活动有关的现金,26083000000.0,22
000001,2019,annual,cash_flow,F014N,经营活动现金流出小计,627239000000.0,23
000001,2019,annual,cash_flow,F016N,收回投资收到的现金,435711000000.0,25
000001,2019,annual,cash_flow,F017N,取得投资收益收到的现金,30934000000.0,26
000001,2019,annual,cash_flow,F021N,投资活动现金流入小计,466809000000.0,30
000001,2019,annual,cash_flow,F022N,购建固定资产、无形资产和其他长期资产支付的现金,3553000000.0,31
000001,2019,annual,cash_flow,F023N,投资支付的现金,565312000000.0,32
000001,2019,annual,cash_flow,F026N,投资活动现金流出小计,568865000000.0,36
000001,2019,annual,cash_flow,F076N,发行债券收到的现金,609328000000.0,41
000001,2019,annual,cash_flow,F031N,筹资活动现金流入小计,609328000000.0,43
000001,2019,annual,cash_flow,F033N,分配股利、利润或偿付利息支付的现金,7195000000.0,45
000001,2019,annual,cash_flow,F035N,筹资活动现金流出小计,450661000000.0,48
000001,2019,annual,cash_flow,F066N,现金的期末余额,5459000000.0,76
600000,2022,annual,cash_flow,F072N,客户存款和同业存放款项净增加额,269218000000.0,1
600000,2022,annual,cash_flow,F081N,收取利息、手续费及佣金的现金,293011000000.0,8
600000,2022,annual,cash_flow,F008N,收到其他与经营活动有关的现金,102486000000.0,12
600000,2022,annual,cash_flow,F009N,经营活动现金流入小计,914102000000.0,13
600000,2022,annual,cash_flow,F084N,客户贷款及垫款净增加额,172136000000.0,15
600000,2022,annual,cash_flow,F085N,存放中央银行和同业款项净增加额,2055000000.0,16
600000,2022,annual,cash_flow,F087N,支付利息、手续费及佣金的现金,129849000000.0,18
600000,2022,annual,cash_flow,F011N,支付给职工以及为职工支付的现金,31310000000.0,20
600000,2022,annual,cash_flow,F012N,支付的各项税费,28613000000.0,21
600000,2022,annual,cash_flow,F013N,支付其他与经营活动有关的现金,21356000000.0,22
600000,2022,annual,cash_flow,F014N,经营活动现金流出小计,549003000000.0,23
600000,2022,annual,cash_flow,F016N,收回投资收到的现金,1709002000000.0,25
600000,2022,annual,cash_flow,F017N,取得投资收益收到的现金,66212000000.0,26
600000,2022,annual,cash_flow,F020N,收到其他与投资活动有关的现金,539000000.0,29
600000,2022,annual,cash_flow,F021N,投资活动现金流入小计,1775753000000.0,30
600000,2022,annual,cash_flow,F022N,购建固定资产、无形资产和其他长期资产支付的现金,7999000000.0,31
600000,2022,annual,cash_flow,F023N,投资支付的现金,1938078000000.0,32
600000,2022,annual,cash_flow,F026N,投资活动现金流出小计,1946077000000.0,36
600000,2022,annual,cash_flow,F076N,发行债券收到的现金,1192526000000.0,41
600000,2022,annual,cash_flow,F031N,筹资活动现金流入小计,1192526000000.0,43
600000,2022,annual,cash_flow,F033N,分配股利、利润或偿付利息支付的现金,56410000000.0,45
600000,2022,annual,cash_flow,F034N,支付其他与筹资活动有关的现金,3087000000.0,47
600000,2022,annual,cash_flow,F035N,筹资活动现金流出小计,1239228000000.0,48
600000,2022,annual,cash_flow,F066N,现金的期末余额,372304000000.0,76
600000,2021,annual,cash_flow,F072N,客户存款和同业存放款项净增加额,68864000000.0,1
600000,2021,annual,cash_flow,F081N,收取利息、手续费及佣金的现金,291004000000.0,8
600000,2021,annual,cash_flow,F008N,收到其他与经营活动有关的现金,63190000000.0,12
600000,2021,annual,cash_flow,F009N,经营活动现金流入小计,427789000000.0,13
600000,2021,annual,cash_flow,F084N,客户贷款及垫款净增加额,324198000000.0,15
600000,2021,annual,cash_flow,F087N,支付利息、手续费及佣金的现金,124875000000.0,18
600000,2021,annual,cash_flow,F011N,支付给职工以及为职工支付的现金,27645000000.0,20
600000,2021,annual,cash_flow,F012N,支付的各项税费,26804000000.0,21
600000,2021,annual,cash_flow,F013N,支付其他与经营活动有关的现金,31800000000.0,22
600000,2021,annual,cash_flow,F014N,经营活动现金流出小计,684981000000.0,23
600000,2021,annual,cash_flow,F016N,收回投资收到的现金,1556457000000.0,25
600000,2021,annual,cash_flow,F017N,取得投资收益收到的现金,73018000000.0,26
600000,2021,annual,cash_flow,F020N,收到其他与投资活动有关的现金,425000000.0,29
600000,2021,annual,cash_flow,F021N,投资活动现金流入小计,1629900000000.0,30
600000,2021,annual,cash_flow,F022N,购建固定资产、无形资产和其他长期资产支付的现金,11285000000.0,31
600000,2021,annual,cash_flow,F023N,投资支付的现金,1575875000000.0,32
600000,2021,annual,cash_flow,F026N,投资活动现金流出小计,1587160000000.0,36
600000,2021,annual,cash_flow,F076N,发行债券收到的现金,1346368000000.0,41
600000,2021,annual,cash_flow,F031N,筹资活动现金流入小计,1346368000000.0,43
600000,2021,annual,cash_flow,F033N,分配股利、利润或偿付利息支付的现金,57392000000.0,45
600000,2021,annual,cash_flow,F034N,支付其他与筹资活动有关的现金,3324000000.0,47
600000,2021,annual,cash_flow,F035N,筹资活动现金流出小计,1231503000000.0,48
600000,2021,annual,cash_flow,F066N,现金的期末余额,216126000000.0,76
600000,2020,annual,cash_flow,F072N,客户存款和同业存放款项净增加额,630325000000.0,1
600000,2020,annual,cash_flow,F081N,收取利息、手续费及佣金的现金,294845000000.0,8
600000,2020,annual,cash_flow,F008N,收到其他与经营活动有关的现金,15568000000.0,12
600000,2020,annual,cash_flow,F009N,经营活动现金流入小计,1028480000000.0,13
600000,2020,annual,cash_flow,F084N,客户贷款及垫款净增加额,571450000000.0,15
600000,2020,annual,cash_flow,F087N,支付利息、手续费及佣金的现金,122867000000.0,18
600000,2020,annual,cash_flow,F011N,支付给职工以及为职工支付的现金,26595000000.0,20
600000,2020,annual,cash_flow,F012N,支付的各项税费,31354000000.0,21
600000,2020,annual,cash_flow,F013N,支付其他与经营活动有关的现金,65130000000.0,22
600000,2020,annual,cash_flow,F014N,经营活动现金流出小计,902095000000.0,23
600000,2020,annual,cash_flow,F016N,收回投资收到的现金,1926503000000.0,25
600000,2020,annual,cash_flow,F017N,取得投资收益收到的现金,85243000000.0,26
600000,2020,annual,cash_flow,F020N,收到其他与投资活动有关的现金,309000000.0,29
