stock_code,year,period,statement_type,field_code,field_name,value,display_order
000001,2022,annual,income_statement,F033N,利息收入,228878000000.0,2
000001,2022,annual,income_statement,F036N,二、营业总成本,51114000000.0,5
000001,2022,annual,income_statement,F043N,利息支出,98748000000.0,7
000001,2022,annual,income_statement,F008N,营业税金及附加,1727000000.0,14
000001,2022,annual,income_statement,F010N,管理费用,49387000000.0,16
000001,2022,annual,income_statement,F014N,加：公允价值变动净收益,1240000000.0,21
000001,2022,annual,income_statement,F015N,投资收益,13243000000.0,22
000001,2022,annual,income_statement,F037N,汇兑收益,4548000000.0,24
000001,2022,annual,income_statement,F059N,资产处置收益,180000000.0,28
000001,2022,annual,income_statement,F060N,持续经营净利润,45516000000.0,41
000001,2022,annual,income_statement,F031N,（一）基本每股收益,2.2,45
000001,2022,annual,income_statement,F032N,（二）稀释每股收益,2.2,46
000001,2022,annual,income_statement,F038N,七、其他综合收益,990000000.0,47
000001,2022,annual,income_statement,F039N,八、综合收益总额,46506000000.0,48
000001,2022,annual,income_statement,F040N,其中：归属于母公司,45516000000.0,49
000001,2021,annual,income_statement,F033N,利息收入,213536000000.0,2
000001,2021,annual,income_statement,F036N,二、营业总成本,49581000000.0,5
000001,2021,annual,income_statement,F043N,利息支出,93200000000.0,7
000001,2021,annual,income_statement,F008N,营业税金及附加,1644000000.0,14
000001,2021,annual,income_statement,F010N,管理费用,47937000000.0,16
000001,2021,annual,income_statement,F014N,加：公允价值变动净收益,2080000000.0,21
000001,2021,annual,income_statement,F015N,投资收益,12243000000.0,22
000001,2021,annual,income_statement,F037N,汇兑收益,1320000000.0,24
000001,2021,annual,income_statement,F059N,资产处置收益,12000000.0,28
000001,2021,annual,income_statement,F060N,持续经营净利润,36336000000.0,41
000001,2021,annual,income_statement,F031N,（一）基本每股收益,1.73,45
000001,2021,annual,income_statement,F032N,（二）稀释每股收益,1.73,46
000001,2021,annual,income_statement,F038N,七、其他综合收益,1323000000.0,47
000001,2021,annual,income_statement,F039N,八、综合收益总额,37659000000.0,48
000001,2021,annual,income_statement,F040N,其中：归属于母公司,36336000000.0,49
000001,2020,annual,income_statement,F033N,利息收入,201007000000.0,2
000001,2020,annual,income_statement,F036N,二、营业总成本,46215000000.0,5
000001,2020,annual,income_statement,F043N,利息支出,87537000000.0,7
000001,2020,annual,income_statement,F008N,营业税金及附加,1525000000.0,14
000001,2020,annual,income_statement,F010N,管理费用,44690000000.0,16
000001,2020,annual,income_statement,F014N,加：公允价值变动净收益,-614000000.0,21
000001,2020,annual,income_statement,F015N,投资收益,9921000000.0,22
000001,2020,annual,income_statement,F037N,汇兑收益,762000000.0,24
000001,2020,annual,income_statement,F059N,资产处置收益,57000000.0,28
000001,2020,annual,income_statement,F060N,持续经营净利润,28928000000.0,41
000001,2020,annual,income_statement,F031N,（一）基本每股收益,1.4,45
000001,2020,annual,income_statement,F032N,（二）稀释每股收益,1.4,46
000001,2020,annual,income_statement,F038N,七、其他综合收益,-1852000000.0,47
000001,2020,annual,income_statement,F039N,八、综合收益总额,27076000000.0,48
000001,2020,annual,income_statement,F040N,其中：归属于母公司,28928000000.0,49
000001,2019,annual,income_statement,F033N,利息收入,177549000000.0,2
000001,2019,annual,income_statement,F036N,二、营业总成本,42142000000.0,5
000001,2019,annual,income_statement,F043N,利息支出,87588000000.0,7
000001,2019,annual,income_statement,F008N,营业税金及附加,1290000000.0,14
000001,2019,annual,income_statement,F010N,管理费用,40852000000.0,16
000001,2019,annual,income_statement,F014N,加：公允价值变动净收益,49000000.0,21
000001,2019,annual,income_statement,F015N,投资收益,9710000000.0,22
000001,2019,annual,income_statement,F037N,汇兑收益,1196000000.0,24
000001,2019,annual,income_statement,F059N,资产处置收益,-30000000.0,28
000001,2019,annual,income_statement,F060N,持续经营净利润,28195000000.0,41
000001,2019,annual,income_statement,F031N,（一）基本每股收益,1.54,45
000001,2019,annual,income_statement,F032N,（二）稀释每股收益,1.45,46
000001,2019,annual,income_statement,F038N,七、其他综合收益,1528000000.0,47
000001,2019,annual,income_statement,F039N,八、综合收益总额,29723000000.0,48
000001,2019,annual,income_statement,F040N,其中：归属于母公司,28195000000.0,49
600000,2022,annual,income_statement,F033N,利息收入,299520000000.0,2
600000,2022,annual,income_statement,F036N,二、营业总成本,132349000000.0,5
600000,2022,annual,income_statement,F043N,利息支出,165851000000.0,7
600000,2022,annual,income_statement,F008N,营业税金及附加,2059000000.0,14
600000,2022,annual,income_statement,F010N,管理费用,52607000000.0,16
600000,2022,annual,income_statement,F014N,加：公允价值变动净收益,-3854000000.0,21
600000,2022,annual,income_statement,F015N,投资收益,19877000000.0,22
600000,2022,annual,income_statement,F037N,汇兑收益,6692000000.0,24
600000,2022,annual,income_statement,F059N,资产处置收益,84000000.0,28
600000,2022,annual,income_statement,F060N,持续经营净利润,51997000000.0,41
600000,2022,annual,income_statement,F028N,归属于母公司所有者的净利润,45252000000.0,43
600000,2022,annual,income_statement,F031N,（一）基本每股收益,1.56,45
600000,2022,annual,income_statement,F032N,（二）稀释每股收益,1.44,46
600000,2022,annual,income_statement,F038N,七、其他综合收益,-5869000000.0,47
600000,2022,annual,income_statement,F039N,八、综合收益总额,46128000000.0,48
600000,2022,annual,income_statement,F040N,其中：归属于母公司,51171000000.0,49
600000,2022,annual,income_statement,F041N,其中：归属于少数股东,876000000.0,50
600000,2021,annual,income_statement,F033N,利息收入,300693000000.0,2
600000,2021,annual,income_statement,F036N,二、营业总成本,131777000000.0,5
600000,2021,annual,income_statement,F043N,利息支出,164735000000.0,7
600000,2021,annual,income_statement,F008N,营业税金及附加,2004000000.0,14
600000,2021,annual,income_statement,F010N,管理费用,49978000000.0,16
600000,2021,annual,income_statement,F014N,加：公允价值变动净收益,4504000000.0,21
600000,2021,annual,income_statement,F015N,投资收益,17297000000.0,22
600000,2021,annual,income_statement,F037N,汇兑收益,813000000.0,24
600000,2021,annual,income_statement,F059N,资产处置收益,26000000.0,28
600000,2021,annual,income_statement,F060N,持续经营净利润,53766000000.0,41
600000,2021,annual,income_statement,F028N,归属于母公司所有者的净利润,51848000000.0,43
600000,2021,annual,income_statement,F031N,（一）基本每股收益,1.62,45
600000,2021,annual,income_statement,F032N,（二）稀释每股收益,1.5,46
600000,2021,annual,income_statement,F038N,七、其他综合收益,-1153000000.0,47
600000,2021,annual,income_statement,F039N,八、综合收益总额,52613000000.0,48
600000,2021,annual,income_statement,F040N,其中：归属于母公司,53003000000.0,49
600000,2021,annual,income_statement,F041N,其中：归属于少数股东,765000000.0,50
600000,2020,annual,income_statement,F033N,利息收入,294985000000.0,2
600000,2020,annual,income_statement,F036N,二、营业总成本,129648000000.0,5
600000,2020,annual,income_statement,F043N,利息支出,156404000000.0,7
600000,2020,annual,income_statement,F008N,营业税金及附加,2117000000.0,14
600000,2020,annual,income_statement,F010N,管理费用,46702000000.0,16
600000,2020,annual,income_statement,F014N,加：公允价值变动净收益,2220000000.0,21
600000,2020,annual,income_statement,F015N,投资收益,18980000000.0,22
600000,2020,annual,income_statement,F037N,汇兑收益,-215000000.0,24
600000,2020,annual,income_statement,F059N,资产处置收益,-8000000.0,28
600000,2020,annual,income_statement,F060N,持续经营净利润,58993000000.0,41
600000,2020,annual,income_statement,F028N,归属于母公司所有者的净利润,55034000000.0,43
600000,2020,annual,income_statement,F031N,（一）基本每股收益,1.88,45
600000,2020,annual,income_statement,F032N,（二）稀释每股收益,1.73,46
600000,2020,annual,income_statement,F038N,七、其他综合收益,-3307000000.0,47
600000,2020,annual,income_statement,F039N,八、综合收益总额,55686000000.0,48
600000,2020,annual,income_statement,F040N,其中：归属于母公司,58325000000.0,49
600000,2020,annual,income_statement,F041N,其中：归属于少数股东,652000000.0,50
600000,2019,annual,income_statement,F033N,利息收入,297767000000.0,2
600000,2019,annual,income_statement,F036N,二、营业总成本,120824000000.0,5
600000,2019,annual,income_statement,F043N,利息支出,153244000000.0,7
600000,2019,annual,income_statement,F008N,营业税金及附加,1946000000.0,14
600000,2019,annual,income_statement,F010N,管理费用,43052000000.0,16
600000,2019,annual,income_statement,F014N,加：公允价值变动净收益,3765000000.0,21
600000,2019,annual,income_statement,F015N,投资收益,13571000000.0,22
600000,2019,annual,income_statement,F037N,汇兑收益,312000000.0,24
600000,2019,annual,income_statement,F059N,资产处置收益,1470000000.0,28
600000,2019,annual,income_statement,F060N,持续经营净利润,59506000000.0,41
600000,2019,annual,income_statement,F028N,归属于母公司所有者的净利润,61519000000.0,43
600000,2019,annual,income_statement,F031N,（一）基本每股收益,1.95,45
600000,2019,annual,income_statement,F032N,（二）稀释每股收益,1.92,46
600000,2019,annual,income_statement,F038N,七、其他综合收益,2609000000.0,47
600000,2019,annual,income_statement,F039N,八、综合收益总额,62115000000.0,48
600000,2019,annual,income_statement,F040N,其中：归属于母公司,58911000000.0,49
600000,2019,annual,income_statement,F041N,其中：归属于少数股东,596000000.0,50
