stock_code,report_year,report_type,statement_type,item_code,item_name,value,display_order,source,match_type
000001,2021,annual,balance_sheet,F038N,资产总计,11974000000.0,49,rds,alias
000001,2021,annual,balance_sheet,F069N,非正常经营项目收益调整,3944000000.0,101,rds,cid_value
000001,2021,annual,balance_sheet,F078N,拆出资金,823934000000.0,2,rds,alias
000001,2021,annual,balance_sheet,F084N,买入返售金融资产,80816000000.0,15,rds,alias
000001,2021,annual,balance_sheet,F087N,向中央银行借款,58339000000.0,51,rds,alias
000001,2021,annual,balance_sheet,F088N,吸收存款及同业存放,154377000000.0,52,rds,alias
000001,2021,annual,balance_sheet,F098N,预计负债-流动负债,19953000000.0,67,rds,alias
000001,2021,annual,balance_sheet,F101N,永续债-非流动负债,7568000000.0,77,rds,alias
000001,2021,annual,balance_sheet,F110N,其他债权投资,738166000000.0,44,rds,alias
000001,2021,annual,balance_sheet,F111N,其他权益工具投资,152428000000.0,45,rds,alias
000001,2021,annual,balance_sheet,F116N,债权投资,6968000000.0,43,rds,exact
000001,2021,annual,cash_flow,F036N,筹资活动产生的现金流量净额,140077000000.0,49,rds,alias
000001,2021,annual,cash_flow,F041N,期末现金及现金等价物余额,145034000000.0,54,rds,alias
000001,2021,annual,income_statement,F006N,其中：营业收入,46207000000.0,1,rds,alias
000001,2021,annual,income_statement,F008N,营业税金及附加,56331000000.0,14,rds,alias
000001,2021,annual,income_statement,F010N,管理费用,8887000000.0,16,rds,alias
000001,2021,annual,income_statement,F021N,减：营业外支出,3878000000.0,34,rds,alias
000001,2021,annual,income_statement,F024N,四、利润总额,661000000.0,37,rds,alias
000001,2021,annual,income_statement,F025N,减：所得税,23000000.0,38,rds,alias
000001,2021,annual,income_statement,F042N,手续费及佣金收入,14000000.0,4,rds,alias
000001,2021,annual,income_statement,F043N,利息支出,170000000.0,7,rds,alias
000001,2021,annual,income_statement,F063N,其中：利息收入,78000000.0,52,rds,alias
000002,2020,annual,balance_sheet,F006N,货币资金,195230723369.88,0,rds,exact
000002,2020,annual,balance_sheet,F008N,其中：应收票据,9662433.79,5,rds,exact
000002,2020,annual,balance_sheet,F009N,其中：应收账款,2992423302.26,6,rds,exact
000002,2020,annual,balance_sheet,F010N,预付款项,62247503823.48,7,rds,exact
000002,2020,annual,balance_sheet,F011N,其他应收款,249498545525.5,13,rds,exact
000002,2020,annual,balance_sheet,F018N,其他流动资产,22662676635.96,24,rds,exact
000002,2020,annual,balance_sheet,F019N,流动资产合计,1547387061234.69,25,rds,exact
000002,2020,annual,balance_sheet,F023N,长期股权投资,141895190255.76,30,rds,exact
000002,2020,annual,balance_sheet,F024N,投资性房地产,79954139029.2,31,rds,exact
000002,2020,annual,balance_sheet,F025N,固定资产,12577342742.17,32,rds,exact
000002,2020,annual,balance_sheet,F026N,在建工程,3236850338.38,33,rds,exact
000002,2020,annual,balance_sheet,F031N,无形资产,6087781315.58,38,rds,exact
000002,2020,annual,balance_sheet,F034N,长期待摊费用,8947760570.31,41,rds,exact
000002,2020,annual,balance_sheet,F035N,递延所得税资产,27535430502.86,42,rds,exact
000002,2020,annual,balance_sheet,F036N,其他非流动资产,13840079267.94,47,rds,exact
000002,2020,annual,balance_sheet,F037N,非流动资产合计,321790032770.86,48,rds,exact
000002,2020,annual,balance_sheet,F038N,资产总计,1869177094005.55,49,rds,exact
000002,2020,annual,balance_sheet,F039N,短期借款,25111536842.11,50,rds,exact
000002,2020,annual,balance_sheet,F041N,其中：应付票据,607112827.28,57,rds,exact
000002,2020,annual,balance_sheet,F042N,其中：应付账款,295684502351.66,58,rds,exact
000002,2020,annual,balance_sheet,F043N,预收款项,912230827.79,59,rds,exact
